Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Mortad,0.0,19.0,26.9,70.0,100.0,0,8.4
2020-01-02,Nizamabad,Mortad,0.0,19.4,30.1,56.9,100.0,0,7.9
2020-01-03,Nizamabad,Mortad,2.6,19.5,29.0,66.2,100.0,0,2.4
2020-01-04,Nizamabad,Mortad,2.5,18.6,23.0,91.1,97.8,0,4.0
2020-01-05,Nizamabad,Mortad,0.0,16.0,23.6,95.4,100.0,0,4.0
2020-01-06,Nizamabad,Mortad,0.0,13.7,25.3,61.7,100.0,0,4.6
2020-01-07,Nizamabad,Mortad,0.0,17.3,28.0,55.2,100.0,0,3.4
2020-01-08,Nizamabad,Mortad,0.0,19.9,28.9,77.1,100.0,0,0.1
2020-01-09,Nizamabad,Mortad,0.0,20.5,29.9,71.3,100.0,0,3.3
2020-01-10,Nizamabad,Mortad,0.0,15.4,26.1,72.9,100.0,0,5.1
2020-01-11,Nizamabad,Mortad,0.0,13.8,25.6,75.9,100.0,0,4.8
2020-01-12,Nizamabad,Mortad,0.0,12.4,26.7,49.9,100.0,0,3.9
2020-01-13,Nizamabad,Mortad,0.0,10.9,27.2,20.1,100.0,0,3.2
2020-01-14,Nizamabad,Mortad,0.0,13.5,29.6,23.0,100.0,0,3.1
2020-01-15,Nizamabad,Mortad,0.0,16.1,30.4,41.0,100.0,0,0.1
2020-01-16,Nizamabad,Mortad,0.0,16.3,31.8,32.7,100.0,0,1.5
2020-01-17,Nizamabad,Mortad,0.0,18.4,29.4,42.1,100.0,0,0.2
2020-01-18,Nizamabad,Mortad,0.0,19.3,29.2,51.9,100.0,0,4.9
2020-01-19,Nizamabad,Mortad,0.0,18.4,30.4,58.7,100.0,0,0.5
2020-01-20,Nizamabad,Mortad,0.0,18.1,31.1,47.0,100.0,0,1.2
2020-01-21,Nizamabad,Mortad,0.0,19.1,28.5,85.4,100.0,0,2.3
2020-01-22,Nizamabad,Mortad,0.0,18.6,33.1,46.5,100.0,0,6.2
2020-01-23,Nizamabad,Mortad,0.0,16.4,31.7,43.5,100.0,0,5.3
2020-01-24,Nizamabad,Mortad,0.0,16.9,32.8,38.9,100.0,0,4.2
2020-01-25,Nizamabad,Mortad,0.0,16.5,31.7,44.4,100.0,0,0.1
2020-01-26,Nizamabad,Mortad,0.0,16.9,32.8,38.7,100.0,0,5.0
2020-01-27,Nizamabad,Mortad,0.0,15.5,32.1,30.3,100.0,0,1.5
2020-01-28,Nizamabad,Mortad,0.0,20.1,34.0,24.8,100.0,0,4.6
2020-01-29,Nizamabad,Mortad,0.0,18.3,31.5,34.5,99.1,0,4.7
2020-01-30,Nizamabad,Mortad,0.0,15.9,30.2,37.9,100.0,0,5.2
2020-01-31,Nizamabad,Mortad,0.0,13.8,28.7,42.7,100.0,0,2.2
2020-02-01,Nizamabad,Mortad,0.0,16.7,29.0,40.6,92.4,0,0.4
2020-02-02,Nizamabad,Mortad,0.0,17.3,32.3,47.5,90.6,0,5.4
2020-02-03,Nizamabad,Mortad,0.0,19.5,28.2,66.6,100.0,0,3.7
2020-02-04,Nizamabad,Mortad,0.0,19.3,31.4,42.0,100.0,0,2.2
2020-02-05,Nizamabad,Mortad,0.0,19.4,31.4,39.4,100.0,0,2.4
2020-02-06,Nizamabad,Mortad,0.0,19.4,31.9,45.7,100.0,0,3.3
2020-02-07,Nizamabad,Mortad,0.0,19.0,32.8,34.1,100.0,0,1.6
2020-02-08,Nizamabad,Mortad,0.0,20.3,31.3,43.1,100.0,0,4.3
2020-02-09,Nizamabad,Mortad,3.4,17.1,25.8,71.1,100.0,0,5.9
2020-02-10,Nizamabad,Mortad,0.0,17.3,26.9,64.8,100.0,0,3.4
2020-02-11,Nizamabad,Mortad,0.0,18.7,28.1,56.6,100.0,0,2.4
