Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Mugpal,0.0,19.8,26.7,69.6,93.5,0,9.8
2020-01-02,Nizamabad,Mugpal,0.0,20.6,30.0,61.4,95.6,0,7.1
2020-01-03,Nizamabad,Mugpal,3.0,20.2,29.3,65.1,97.9,0,5.8
2020-01-04,Nizamabad,Mugpal,1.0,18.4,24.4,90.2,96.7,0,1.8
2020-01-05,Nizamabad,Mugpal,0.0,16.4,23.7,84.0,96.8,0,7.8
2020-01-06,Nizamabad,Mugpal,0.0,15.7,25.8,63.1,95.6,0,9.7
2020-01-07,Nizamabad,Mugpal,0.0,18.2,28.4,57.0,96.2,0,5.9
2020-01-08,Nizamabad,Mugpal,0.0,20.7,30.2,62.1,96.1,0,2.8
2020-01-09,Nizamabad,Mugpal,0.0,21.5,31.1,59.2,95.1,0,4.6
2020-01-10,Nizamabad,Mugpal,0.0,15.5,26.3,76.6,94.7,0,7.9
2020-01-11,Nizamabad,Mugpal,0.0,14.4,26.6,62.6,94.5,0,9.5
2020-01-12,Nizamabad,Mugpal,0.0,14.3,28.3,54.3,96.8,0,7.1
2020-01-13,Nizamabad,Mugpal,0.0,12.7,28.8,20.7,87.4,0,10.6
2020-01-14,Nizamabad,Mugpal,0.0,14.6,29.4,33.1,91.6,0,8.2
2020-01-15,Nizamabad,Mugpal,0.0,18.4,30.6,42.7,95.1,0,6.3
2020-01-16,Nizamabad,Mugpal,0.0,18.3,29.4,36.3,92.4,0,12.2
2020-01-17,Nizamabad,Mugpal,0.0,18.4,30.3,38.2,91.1,0,9.0
2020-01-18,Nizamabad,Mugpal,0.0,19.1,29.4,53.5,94.5,0,6.1
2020-01-19,Nizamabad,Mugpal,0.0,19.1,29.6,53.3,94.8,0,5.3
2020-01-20,Nizamabad,Mugpal,0.0,19.3,31.2,50.4,95.4,0,7.6
2020-01-21,Nizamabad,Mugpal,0.0,19.7,30.4,64.0,96.5,0,9.0
2020-01-22,Nizamabad,Mugpal,0.0,20.4,31.4,49.5,92.5,0,9.5
2020-01-23,Nizamabad,Mugpal,0.0,17.8,31.0,44.8,96.5,0,9.3
2020-01-24,Nizamabad,Mugpal,0.0,17.2,31.7,39.2,94.2,0,7.2
2020-01-25,Nizamabad,Mugpal,0.0,17.8,29.9,45.6,94.0,0,7.3
2020-01-26,Nizamabad,Mugpal,0.0,17.2,32.2,41.7,94.8,0,5.4
2020-01-27,Nizamabad,Mugpal,0.0,16.8,31.5,38.5,91.7,0,8.1
2020-01-28,Nizamabad,Mugpal,0.0,19.1,33.9,29.8,89.0,0,7.5
2020-01-29,Nizamabad,Mugpal,0.0,17.9,30.5,41.2,93.6,0,5.3
2020-01-30,Nizamabad,Mugpal,0.0,16.5,30.2,47.4,94.2,0,7.3
2020-01-31,Nizamabad,Mugpal,0.0,16.3,28.2,54.2,96.3,0,7.4
2020-02-01,Nizamabad,Mugpal,0.0,18.1,29.0,54.3,92.9,0,8.5
2020-02-02,Nizamabad,Mugpal,0.0,18.3,31.2,52.2,93.6,0,10.1
2020-02-03,Nizamabad,Mugpal,0.0,20.3,28.9,60.0,93.2,0,5.9
2020-02-04,Nizamabad,Mugpal,0.0,20.9,30.9,48.8,88.8,0,11.4
2020-02-05,Nizamabad,Mugpal,0.0,19.6,33.6,39.4,93.5,0,6.8
2020-02-06,Nizamabad,Mugpal,0.0,18.4,33.2,47.8,96.1,0,7.1
2020-02-07,Nizamabad,Mugpal,0.0,20.7,33.8,35.6,87.3,0,10.2
2020-02-08,Nizamabad,Mugpal,0.0,19.7,31.0,44.9,95.0,0,6.9
2020-02-09,Nizamabad,Mugpal,0.0,17.8,24.7,85.8,94.2,0,11.5
2020-02-10,Nizamabad,Mugpal,0.0,17.9,25.5,75.9,96.8,0,11.0
2020-02-11,Nizamabad,Mugpal,0.0,19.8,28.0,66.0,96.7,0,7.1
2020-02-12,Nizamabad,Mugpal,0.0,19.1,28.9,66.0,97.6,0,7.2
2020-02-13,Nizamabad,Mugpal,0.0,17.0,30.6,54.1,95.7,0,7.3
2020-02-14,Nizamabad,Mugpal,0.0,18.6,31.2,28.8,76.5,0,9.0
2020-02-15,Nizamabad,Mugpal,0.0,15.4,31.8,31.4,90.6,0,6.6
2020-02-16,Nizamabad,Mugpal,0.0,18.3,31.9,35.3,90.3,0,9.4
2020-02-17,Nizamabad,Mugpal,0.0,16.5,32.5,37.6,92.8,0,5.5
2020-02-18,Nizamabad,Mugpal,0.0,14.8,31.6,31.6,90.4,0,7.2
2020-02-19,Nizamabad,Mugpal,0.0,16.6,32.8,22.3,73.0,0,7.8
2020-02-20,Nizamabad,Mugpal,0.0,19.8,33.9,26.4,91.6,0,6.9
2020-02-21,Nizamabad,Mugpal,0.0,19.7,31.7,42.7,92.5,0,9.5
2020-02-22,Nizamabad,Mugpal,0.0,19.6,31.4,37.2,77.7,0,10.9
2020-02-23,Nizamabad,Mugpal,0.0,19.4,32.9,39.4,79.9,0,7.8
2020-02-24,Nizamabad,Mugpal,0.0,20.7,32.5,35.0,79.8,0,9.3
2020-02-25,Nizamabad,Mugpal,0.0,19.9,34.8,30.8,91.6,0,7.1
2020-02-26,Nizamabad,Mugpal,0.0,15.1,31.9,29.5,89.9,0,6.2
2020-02-27,Nizamabad,Mugpal,0.0,17.4,31.1,28.5,83.3,0,6.7
2020-02-28,Nizamabad,Mugpal,0.0,17.0,32.4,26.3,78.7,0,8.1
2020-02-29,Nizamabad,Mugpal,0.0,19.1,32.6,33.5,92.3,0,9.0
2020-03-01,Nizamabad,Mugpal,0.0,19.7,33.2,36.9,92.3,0,6.7
2020-03-02,Nizamabad,Mugpal,0.0,20.9,32.1,44.3,91.1,0,6.5
2020-03-03,Nizamabad,Mugpal,0.0,20.9,34.1,40.3,86.5,0,4.9
2020-03-04,Nizamabad,Mugpal,0.0,20.2,34.1,31.7,85.2,0,5.2
2020-03-05,Nizamabad,Mugpal,0.0,16.1,34.2,30.0,95.2,0,2.5
2020-03-06,Nizamabad,Mugpal,0.0,21.6,33.5,28.8,93.5,0,7.0
2020-03-07,Nizamabad,Mugpal,0.0,21.1,34.0,34.9,89.5,0,10.3
2020-03-08,Nizamabad,Mugpal,0.0,21.5,32.1,38.5,94.4,0,6.8
2020-03-09,Nizamabad,Mugpal,1.8,21.3,31.4,58.6,92.0,0,9.5
2020-03-10,Nizamabad,Mugpal,1.3,21.9,31.2,63.0,100.0,0,6.2
2020-03-11,Nizamabad,Mugpal,0.0,23.9,35.8,39.0,82.4,0,7.4
2020-03-12,Nizamabad,Mugpal,0.0,23.3,33.4,43.3,91.0,0,6.2
2020-03-13,Nizamabad,Mugpal,1.5,22.3,31.1,62.4,93.0,0,8.5
