Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Navipet,0.0,18.7,28.7,67.1,100.0,0,4.0
2020-01-02,Nizamabad,Navipet,0.0,18.8,29.6,68.5,100.0,0,7.6
2020-01-03,Nizamabad,Navipet,7.0,19.7,32.3,59.1,100.0,0,5.7
2020-01-04,Nizamabad,Navipet,0.0,18.7,23.6,82.8,99.1,0,6.2
2020-01-05,Nizamabad,Navipet,0.0,16.3,25.6,86.8,100.0,0,9.9
2020-01-06,Nizamabad,Navipet,0.0,15.1,25.0,78.4,100.0,0,10.4
2020-01-07,Nizamabad,Navipet,0.0,17.8,27.2,66.3,100.0,0,8.1
2020-01-08,Nizamabad,Navipet,0.0,19.5,29.4,75.1,100.0,0,6.6
2020-01-09,Nizamabad,Navipet,0.0,20.5,31.8,63.3,100.0,0,5.0
2020-01-10,Nizamabad,Navipet,0.0,16.6,26.0,82.5,100.0,0,10.4
2020-01-11,Nizamabad,Navipet,0.0,15.7,25.3,69.4,100.0,0,9.0
2020-01-12,Nizamabad,Navipet,0.0,15.0,26.8,51.6,100.0,0,8.9
2020-01-13,Nizamabad,Navipet,0.0,12.0,27.2,35.0,100.0,0,9.2
2020-01-14,Nizamabad,Navipet,0.0,14.4,30.8,31.3,100.0,0,5.0
2020-01-15,Nizamabad,Navipet,0.0,16.4,30.4,44.0,100.0,0,7.9
2020-01-16,Nizamabad,Navipet,0.0,16.9,30.5,35.2,100.0,0,8.4
2020-01-17,Nizamabad,Navipet,0.0,16.9,29.2,56.2,100.0,0,4.7
2020-01-18,Nizamabad,Navipet,0.0,18.5,30.4,56.7,100.0,0,4.3
2020-01-19,Nizamabad,Navipet,0.0,18.4,30.0,70.9,100.0,0,0.1
2020-01-20,Nizamabad,Navipet,0.0,19.3,32.4,47.3,100.0,0,7.1
2020-01-21,Nizamabad,Navipet,0.0,18.9,28.3,84.5,100.0,0,8.5
2020-01-22,Nizamabad,Navipet,0.0,19.1,30.9,52.1,100.0,0,9.2
2020-01-23,Nizamabad,Navipet,0.0,17.4,31.1,47.7,100.0,0,9.6
2020-01-24,Nizamabad,Navipet,0.0,17.2,32.3,43.0,100.0,0,5.0
2020-01-25,Nizamabad,Navipet,0.0,17.4,30.3,52.5,100.0,0,7.2
2020-01-26,Nizamabad,Navipet,0.0,18.2,34.2,39.7,100.0,0,4.5
2020-01-27,Nizamabad,Navipet,0.0,16.0,32.5,40.3,100.0,0,3.4
2020-01-28,Nizamabad,Navipet,0.0,20.6,34.4,41.1,99.3,0,10.1
2020-01-29,Nizamabad,Navipet,0.0,17.3,33.4,32.9,100.0,0,2.1
2020-01-30,Nizamabad,Navipet,0.0,16.3,31.8,45.8,100.0,0,5.8
2020-01-31,Nizamabad,Navipet,0.0,16.1,28.8,50.4,100.0,0,6.3
2020-02-01,Nizamabad,Navipet,0.0,16.5,28.5,56.2,100.0,0,8.4
2020-02-02,Nizamabad,Navipet,0.0,17.3,32.1,61.1,98.1,0,9.6
