Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Sirkonda,0.0,19.8,25.5,67.8,96.7,0,17.9
2020-01-02,Nizamabad,Sirkonda,1.9,21.0,28.8,61.9,97.3,0,14.3
2020-01-03,Nizamabad,Sirkonda,2.5,20.9,29.3,64.1,98.6,0,14.3
2020-01-04,Nizamabad,Sirkonda,4.6,18.6,24.0,79.2,93.8,0,7.9
2020-01-05,Nizamabad,Sirkonda,0.0,16.2,24.5,81.3,99.2,0,9.9
2020-01-06,Nizamabad,Sirkonda,0.0,14.9,25.8,59.3,98.5,0,9.3
2020-01-07,Nizamabad,Sirkonda,0.0,18.6,27.3,61.7,96.8,0,11.1
2020-01-08,Nizamabad,Sirkonda,0.0,21.2,29.5,68.4,96.8,0,13.8
2020-01-09,Nizamabad,Sirkonda,0.0,21.3,30.3,59.6,97.6,0,16.2
2020-01-10,Nizamabad,Sirkonda,0.0,16.5,26.7,76.4,96.7,0,10.5
2020-01-11,Nizamabad,Sirkonda,0.0,15.0,26.1,61.5,96.9,0,11.2
2020-01-12,Nizamabad,Sirkonda,0.0,13.5,27.7,54.8,97.5,0,8.6
2020-01-13,Nizamabad,Sirkonda,0.0,12.1,27.6,21.4,93.4,0,5.1
2020-01-14,Nizamabad,Sirkonda,0.0,14.1,29.6,33.0,95.6,0,12.3
2020-01-15,Nizamabad,Sirkonda,0.0,18.1,31.1,43.8,97.5,0,8.6
2020-01-16,Nizamabad,Sirkonda,0.0,17.8,29.4,33.6,95.7,0,16.3
2020-01-17,Nizamabad,Sirkonda,0.0,18.7,29.9,43.9,97.3,0,14.9
2020-01-18,Nizamabad,Sirkonda,0.0,20.4,29.1,53.9,96.5,0,10.1
2020-01-19,Nizamabad,Sirkonda,0.0,19.4,29.7,44.0,97.0,0,8.1
2020-01-20,Nizamabad,Sirkonda,0.0,19.4,30.8,52.1,98.5,0,6.2
2020-01-21,Nizamabad,Sirkonda,0.0,20.0,28.9,69.9,97.5,0,8.8
2020-01-22,Nizamabad,Sirkonda,0.0,19.9,29.7,55.5,91.4,0,11.2
2020-01-23,Nizamabad,Sirkonda,0.0,16.6,30.9,49.7,95.2,0,10.3
2020-01-24,Nizamabad,Sirkonda,0.0,16.5,31.9,45.8,97.2,0,11.9
