Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Yergatla,0.0,18.3,26.1,62.5,100.0,0,8.4
2020-01-02,Nizamabad,Yergatla,0.0,19.5,29.1,56.7,100.0,0,7.9
2020-01-03,Nizamabad,Yergatla,3.8,19.2,28.5,62.5,100.0,0,3.9
2020-01-04,Nizamabad,Yergatla,7.8,18.3,22.9,95.5,100.0,0,1.9
2020-01-05,Nizamabad,Yergatla,0.0,15.8,23.9,83.0,100.0,0,0.7
2020-01-06,Nizamabad,Yergatla,0.0,13.6,27.3,46.2,100.0,0,0.8
2020-01-07,Nizamabad,Yergatla,0.0,17.2,28.1,47.4,95.5,0,5.5
2020-01-08,Nizamabad,Yergatla,0.0,20.2,28.9,57.6,100.0,0,4.7
2020-01-09,Nizamabad,Yergatla,0.0,20.3,29.9,58.1,100.0,0,4.8
2020-01-10,Nizamabad,Yergatla,0.5,14.9,27.5,70.2,95.3,0,6.8
2020-01-11,Nizamabad,Yergatla,0.0,13.7,27.1,47.9,86.1,0,4.6
2020-01-12,Nizamabad,Yergatla,0.0,12.5,28.8,40.1,98.3,0,1.1
2020-01-13,Nizamabad,Yergatla,0.0,13.0,29.3,19.4,93.8,0,6.3
2020-01-14,Nizamabad,Yergatla,0.0,13.7,30.0,26.3,96.3,0,5.3
2020-01-15,Nizamabad,Yergatla,0.0,16.8,32.1,32.3,100.0,0,0.1
2020-01-16,Nizamabad,Yergatla,0.0,16.3,29.5,36.2,100.0,0,9.7
2020-01-17,Nizamabad,Yergatla,0.0,18.3,29.5,41.2,96.3,0,7.4
2020-01-18,Nizamabad,Yergatla,0.0,19.0,29.9,46.6,97.8,0,7.7
2020-01-19,Nizamabad,Yergatla,0.0,18.7,30.5,47.8,100.0,0,3.6
2020-01-20,Nizamabad,Yergatla,0.0,18.7,31.3,38.8,100.0,0,0.3
2020-01-21,Nizamabad,Yergatla,0.0,18.5,28.8,62.5,100.0,0,4.3
2020-01-22,Nizamabad,Yergatla,0.0,18.6,30.3,46.1,100.0,0,10.3
2020-01-23,Nizamabad,Yergatla,0.0,17.5,30.9,42.1,100.0,0,7.5
2020-01-24,Nizamabad,Yergatla,0.0,17.6,31.4,36.5,100.0,0,5.6
2020-01-25,Nizamabad,Yergatla,0.0,17.8,30.8,37.6,100.0,0,4.2
2020-01-26,Nizamabad,Yergatla,0.0,18.5,31.9,36.8,97.3,0,8.9
