Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Chennaraopeta,0.0,17.8,27.3,62.9,99.0,0,3.0
2020-01-02,Warangal Rural,Chennaraopeta,0.0,18.6,29.6,61.3,99.1,0,2.4
2020-01-03,Warangal Rural,Chennaraopeta,0.0,21.2,28.4,69.4,93.7,0,2.5
2020-01-04,Warangal Rural,Chennaraopeta,0.0,20.1,27.2,77.1,97.1,0,3.2
2020-01-05,Warangal Rural,Chennaraopeta,0.0,18.3,24.5,81.0,97.7,0,1.2
2020-01-06,Warangal Rural,Chennaraopeta,0.0,16.5,28.3,53.6,95.7,0,2.0
2020-01-07,Warangal Rural,Chennaraopeta,0.0,20.6,29.8,54.7,96.6,0,1.6
2020-01-08,Warangal Rural,Chennaraopeta,0.0,20.7,29.2,64.4,96.1,0,2.3
2020-01-09,Warangal Rural,Chennaraopeta,0.0,19.5,27.2,71.0,97.5,0,3.3
2020-01-10,Warangal Rural,Chennaraopeta,0.0,19.6,27.8,64.4,96.3,0,2.2
2020-01-11,Warangal Rural,Chennaraopeta,0.0,16.4,27.8,65.6,90.8,0,1.5
2020-01-12,Warangal Rural,Chennaraopeta,0.0,13.1,29.4,43.6,97.7,0,1.5
2020-01-13,Warangal Rural,Chennaraopeta,0.0,11.6,29.0,37.0,96.9,0,1.5
2020-01-14,Warangal Rural,Chennaraopeta,0.0,14.6,30.1,36.0,99.5,0,1.0
2020-01-15,Warangal Rural,Chennaraopeta,0.0,17.2,29.0,57.7,100.0,0,1.9
2020-01-16,Warangal Rural,Chennaraopeta,0.0,15.3,28.7,53.5,99.7,0,2.6
2020-01-17,Warangal Rural,Chennaraopeta,0.0,18.7,28.4,55.7,99.0,0,3.0
2020-01-18,Warangal Rural,Chennaraopeta,0.0,18.5,29.0,56.4,96.7,0,2.9
2020-01-19,Warangal Rural,Chennaraopeta,0.0,19.1,29.5,56.7,98.2,0,2.7
2020-01-20,Warangal Rural,Chennaraopeta,0.0,18.3,29.1,62.3,99.3,0,2.0
2020-01-21,Warangal Rural,Chennaraopeta,0.0,18.3,29.6,57.6,98.9,0,1.2
2020-01-22,Warangal Rural,Chennaraopeta,0.0,19.2,29.7,58.1,98.6,0,2.2
2020-01-23,Warangal Rural,Chennaraopeta,0.0,18.2,30.5,52.5,99.7,0,2.6
2020-01-24,Warangal Rural,Chennaraopeta,0.0,16.7,30.6,49.6,100.0,0,2.1
2020-01-25,Warangal Rural,Chennaraopeta,0.0,17.1,31.7,43.4,100.0,0,2.1
2020-01-26,Warangal Rural,Chennaraopeta,0.0,17.7,31.3,40.6,100.0,0,1.3
2020-01-27,Warangal Rural,Chennaraopeta,0.0,15.7,32.1,46.5,100.0,0,1.3
2020-01-28,Warangal Rural,Chennaraopeta,0.0,20.8,32.4,42.4,97.3,0,2.6
2020-01-29,Warangal Rural,Chennaraopeta,0.0,20.4,30.5,51.0,95.5,0,3.2
2020-01-30,Warangal Rural,Chennaraopeta,0.0,21.4,30.1,63.7,96.2,0,3.6
2020-01-31,Warangal Rural,Chennaraopeta,0.0,17.5,29.1,64.6,94.2,0,1.9
2020-02-01,Warangal Rural,Chennaraopeta,0.0,20.8,30.2,61.3,96.6,0,1.2
2020-02-02,Warangal Rural,Chennaraopeta,0.0,18.6,30.1,57.6,98.5,0,3.2
2020-02-03,Warangal Rural,Chennaraopeta,0.0,20.0,29.8,55.1,98.1,0,2.5
2020-02-04,Warangal Rural,Chennaraopeta,0.0,19.2,29.4,56.6,98.5,0,2.4
2020-02-05,Warangal Rural,Chennaraopeta,0.0,20.9,30.2,61.0,97.6,0,3.9
2020-02-06,Warangal Rural,Chennaraopeta,0.0,19.9,30.7,51.5,95.4,0,3.2
2020-02-07,Warangal Rural,Chennaraopeta,0.0,21.5,31.2,50.0,94.4,0,3.3
2020-02-08,Warangal Rural,Chennaraopeta,0.0,20.7,30.4,55.6,95.6,0,3.0
2020-02-09,Warangal Rural,Chennaraopeta,3.5,19.2,28.8,63.1,97.6,0,3.5
2020-02-10,Warangal Rural,Chennaraopeta,0.0,18.5,24.2,82.1,99.9,0,1.6
2020-02-11,Warangal Rural,Chennaraopeta,0.0,21.2,28.5,61.7,98.8,0,1.4
2020-02-12,Warangal Rural,Chennaraopeta,0.0,20.6,29.1,62.6,98.6,0,1.8
2020-02-13,Warangal Rural,Chennaraopeta,0.0,16.1,29.4,59.6,99.2,0,1.8
2020-02-14,Warangal Rural,Chennaraopeta,0.0,15.7,31.7,35.1,96.9,0,1.8
2020-02-15,Warangal Rural,Chennaraopeta,0.0,15.9,33.1,28.3,98.9,0,1.8
2020-02-16,Warangal Rural,Chennaraopeta,0.0,16.1,33.8,36.6,97.9,0,1.4
2020-02-17,Warangal Rural,Chennaraopeta,0.0,16.6,33.9,35.1,98.8,0,1.7
2020-02-18,Warangal Rural,Chennaraopeta,0.0,15.0,32.7,40.5,98.8,0,1.5
2020-02-19,Warangal Rural,Chennaraopeta,0.0,17.1,32.8,36.3,99.7,0,0.9
2020-02-20,Warangal Rural,Chennaraopeta,0.0,19.1,31.9,42.6,98.3,0,2.7
2020-02-21,Warangal Rural,Chennaraopeta,0.0,18.9,30.6,52.8,97.5,0,3.1
2020-02-22,Warangal Rural,Chennaraopeta,0.0,17.0,30.8,48.2,97.8,0,3.2
2020-02-23,Warangal Rural,Chennaraopeta,0.0,17.8,31.4,43.3,98.7,0,2.3
2020-02-24,Warangal Rural,Chennaraopeta,0.0,21.2,31.5,47.6,95.6,0,2.8
2020-02-25,Warangal Rural,Chennaraopeta,0.0,21.9,31.9,39.2,94.9,0,4.3
2020-02-26,Warangal Rural,Chennaraopeta,0.0,19.9,30.5,57.5,98.0,0,3.1
2020-02-27,Warangal Rural,Chennaraopeta,0.0,15.0,32.3,39.3,79.7,0,1.4
2020-02-28,Warangal Rural,Chennaraopeta,0.0,17.1,33.7,24.5,98.2,0,1.7
2020-02-29,Warangal Rural,Chennaraopeta,0.0,20.2,31.7,46.3,96.4,0,2.1
2020-03-01,Warangal Rural,Chennaraopeta,0.0,19.9,32.2,45.1,97.6,0,2.3
2020-03-02,Warangal Rural,Chennaraopeta,0.0,22.0,32.1,49.4,95.1,0,2.1
2020-03-03,Warangal Rural,Chennaraopeta,0.0,20.6,32.1,50.9,98.2,0,2.9
2020-03-04,Warangal Rural,Chennaraopeta,0.0,22.1,32.1,52.0,93.7,0,2.9
2020-03-05,Warangal Rural,Chennaraopeta,0.0,21.8,32.9,50.9,94.8,0,2.9
2020-03-06,Warangal Rural,Chennaraopeta,0.0,23.2,31.9,59.3,94.4,0,4.2
2020-03-07,Warangal Rural,Chennaraopeta,0.0,23.0,31.4,61.3,95.8,0,3.6
2020-03-08,Warangal Rural,Chennaraopeta,0.0,22.2,31.3,62.4,98.5,0,4.1
2020-03-09,Warangal Rural,Chennaraopeta,0.0,23.2,32.6,56.7,92.3,0,2.7
2020-03-10,Warangal Rural,Chennaraopeta,0.0,22.0,32.2,58.1,96.2,0,2.2
2020-03-11,Warangal Rural,Chennaraopeta,0.0,22.6,32.8,50.4,93.8,0,3.4
2020-03-12,Warangal Rural,Chennaraopeta,0.0,22.3,32.2,53.2,93.6,0,4.1
2020-03-13,Warangal Rural,Chennaraopeta,0.0,23.0,32.9,51.1,96.1,0,3.3
