Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Nadikuda,0.0,19.1,27.5,62.6,96.1,0,1.6
2020-01-02,Warangal Rural,Nadikuda,0.0,19.0,30.1,60.9,96.6,0,0.9
2020-01-03,Warangal Rural,Nadikuda,0.0,20.9,28.7,66.7,94.7,0,1.0
2020-01-04,Warangal Rural,Nadikuda,0.0,20.5,25.5,83.8,95.8,0,0.9
2020-01-05,Warangal Rural,Nadikuda,0.0,19.7,27.5,96.8,97.5,0,3.1
2020-01-06,Warangal Rural,Nadikuda,0.0,19.3,27.1,53.0,73.2,0,4.3
2020-01-07,Warangal Rural,Nadikuda,0.0,20.9,27.4,60.2,88.2,0,4.8
2020-01-08,Warangal Rural,Nadikuda,0.0,21.4,27.5,60.9,87.2,0,4.6
2020-01-09,Warangal Rural,Nadikuda,0.0,19.9,29.7,53.3,92.7,0,4.3
2020-01-10,Warangal Rural,Nadikuda,0.0,17.8,29.9,60.6,94.6,0,0.8
2020-01-11,Warangal Rural,Nadikuda,0.0,14.4,26.4,68.7,92.1,0,1.2
2020-01-12,Warangal Rural,Nadikuda,0.0,13.8,28.5,54.0,93.9,0,0.5
2020-01-13,Warangal Rural,Nadikuda,0.0,13.2,27.9,39.3,93.9,0,1.1
2020-01-14,Warangal Rural,Nadikuda,0.0,15.1,29.4,32.8,94.8,0,0.6
2020-01-15,Warangal Rural,Nadikuda,0.0,17.6,29.7,55.4,96.5,0,0.9
2020-01-16,Warangal Rural,Nadikuda,0.0,17.3,29.7,52.7,96.0,0,0.7
2020-01-17,Warangal Rural,Nadikuda,0.0,19.6,30.2,51.7,95.4,0,1.0
2020-01-18,Warangal Rural,Nadikuda,0.0,20.4,30.0,58.9,95.6,0,0.8
2020-01-19,Warangal Rural,Nadikuda,0.0,20.8,30.3,57.0,94.9,0,1.0
2020-01-20,Warangal Rural,Nadikuda,0.0,19.7,30.2,58.7,95.6,0,0.5
2020-01-21,Warangal Rural,Nadikuda,0.0,19.5,29.6,60.8,96.9,0,0.7
2020-01-22,Warangal Rural,Nadikuda,0.0,20.6,30.4,59.0,94.3,0,1.3
2020-01-23,Warangal Rural,Nadikuda,0.0,20.4,31.5,52.7,95.8,0,0.6
2020-01-24,Warangal Rural,Nadikuda,0.0,17.9,31.6,50.7,95.7,0,0.6
2020-01-25,Warangal Rural,Nadikuda,0.0,17.7,31.7,47.5,96.4,0,0.4
2020-01-26,Warangal Rural,Nadikuda,0.0,18.5,32.4,42.1,95.2,0,1.0
2020-01-27,Warangal Rural,Nadikuda,0.0,17.1,31.4,47.7,95.0,0,1.1
2020-01-28,Warangal Rural,Nadikuda,0.0,20.6,33.5,37.5,94.3,0,1.4
2020-01-29,Warangal Rural,Nadikuda,0.0,20.9,33.1,42.1,92.8,0,1.8
2020-01-30,Warangal Rural,Nadikuda,0.0,19.0,31.1,62.5,95.1,0,1.2
2020-01-31,Warangal Rural,Nadikuda,0.0,16.4,28.9,60.4,92.1,0,1.3
2020-02-01,Warangal Rural,Nadikuda,0.0,20.7,30.6,55.2,92.9,0,0.7
2020-02-02,Warangal Rural,Nadikuda,0.0,19.9,31.8,53.7,88.0,0,2.0
2020-02-03,Warangal Rural,Nadikuda,0.0,20.5,31.3,52.4,94.3,0,0.8
2020-02-04,Warangal Rural,Nadikuda,0.0,21.7,31.0,55.7,93.0,0,0.9
2020-02-05,Warangal Rural,Nadikuda,0.0,20.4,32.0,54.3,94.6,0,1.2
2020-02-06,Warangal Rural,Nadikuda,0.0,19.1,31.4,51.0,94.5,0,1.2
2020-02-07,Warangal Rural,Nadikuda,0.0,22.0,33.2,47.2,90.3,0,1.6
2020-02-08,Warangal Rural,Nadikuda,0.0,21.9,31.1,51.2,90.8,0,1.7
2020-02-09,Warangal Rural,Nadikuda,25.8,18.6,27.3,74.5,97.2,0,1.3
2020-02-10,Warangal Rural,Nadikuda,0.0,19.6,22.6,76.7,92.0,0,4.3
2020-02-11,Warangal Rural,Nadikuda,0.0,20.7,26.1,66.2,89.7,0,5.1
2020-02-12,Warangal Rural,Nadikuda,0.0,20.1,28.5,53.2,92.3,0,5.0
2020-02-13,Warangal Rural,Nadikuda,0.0,20.7,28.5,56.1,83.8,0,3.6
2020-02-14,Warangal Rural,Nadikuda,0.0,21.2,31.6,24.7,62.0,0,3.5
2020-02-15,Warangal Rural,Nadikuda,0.0,19.8,32.7,22.8,61.1,0,2.1
2020-02-16,Warangal Rural,Nadikuda,0.0,21.6,33.3,27.4,65.3,0,1.8
2020-02-17,Warangal Rural,Nadikuda,0.0,21.5,32.4,30.9,69.7,0,3.5
2020-02-18,Warangal Rural,Nadikuda,0.0,22.2,32.0,35.2,59.0,0,3.2
2020-02-19,Warangal Rural,Nadikuda,0.0,21.2,32.0,21.1,63.4,0,3.2
2020-02-20,Warangal Rural,Nadikuda,0.0,20.8,32.7,43.9,93.6,0,1.5
2020-02-21,Warangal Rural,Nadikuda,0.0,20.0,31.3,52.8,93.3,0,1.8
2020-02-22,Warangal Rural,Nadikuda,0.0,18.9,32.3,49.3,90.4,0,1.6
2020-02-23,Warangal Rural,Nadikuda,0.0,19.3,32.4,44.9,95.2,0,1.6
2020-02-24,Warangal Rural,Nadikuda,0.0,20.8,32.9,44.1,93.5,0,1.8
2020-02-25,Warangal Rural,Nadikuda,0.0,22.2,32.5,45.5,90.9,0,1.9
2020-02-26,Warangal Rural,Nadikuda,0.0,18.9,31.6,55.5,92.4,0,1.4
2020-02-27,Warangal Rural,Nadikuda,0.0,15.4,32.0,40.4,79.6,0,1.5
2020-02-28,Warangal Rural,Nadikuda,0.0,15.4,32.8,28.4,94.2,0,1.4
2020-02-29,Warangal Rural,Nadikuda,0.0,20.5,33.5,42.6,94.7,0,0.6
2020-03-01,Warangal Rural,Nadikuda,0.0,20.9,32.0,49.3,94.6,0,1.4
2020-03-02,Warangal Rural,Nadikuda,0.0,22.4,33.0,47.1,91.6,0,1.4
2020-03-03,Warangal Rural,Nadikuda,0.0,21.3,31.9,54.2,94.6,0,1.3
2020-03-04,Warangal Rural,Nadikuda,0.0,22.4,34.0,52.9,89.6,0,0.8
2020-03-05,Warangal Rural,Nadikuda,0.0,21.0,35.1,41.5,94.0,0,1.5
2020-03-06,Warangal Rural,Nadikuda,0.0,23.1,31.6,62.7,93.2,0,1.1
2020-03-07,Warangal Rural,Nadikuda,0.0,23.7,31.8,61.4,92.9,0,2.1
2020-03-08,Warangal Rural,Nadikuda,5.0,22.6,29.9,69.5,96.2,0,1.4
2020-03-09,Warangal Rural,Nadikuda,0.0,22.1,31.8,50.3,88.4,0,4.1
2020-03-10,Warangal Rural,Nadikuda,0.0,22.9,30.3,55.4,78.4,0,3.7
2020-03-11,Warangal Rural,Nadikuda,0.0,23.8,33.9,40.8,81.8,0,4.8
2020-03-12,Warangal Rural,Nadikuda,0.0,22.8,31.4,52.0,86.7,0,3.6
2020-03-13,Warangal Rural,Nadikuda,0.0,23.0,32.1,57.2,84.8,0,3.4
2020-03-14,Warangal Rural,Nadikuda,0.0,23.3,34.7,29.9,85.7,0,5.2
2020-03-15,Warangal Rural,Nadikuda,0.0,21.2,33.4,42.1,95.7,0,0.7
2020-03-16,Warangal Rural,Nadikuda,0.0,21.6,33.4,47.1,95.0,0,1.7
2020-03-17,Warangal Rural,Nadikuda,0.0,22.9,34.6,43.7,93.8,0,1.1
2020-03-18,Warangal Rural,Nadikuda,0.0,21.2,35.9,44.6,91.8,0,1.1
2020-03-19,Warangal Rural,Nadikuda,3.3,21.9,35.5,41.8,93.9,0,1.9
2020-03-20,Warangal Rural,Nadikuda,0.0,20.5,36.5,43.0,90.3,0,1.9
2020-03-21,Warangal Rural,Nadikuda,0.0,23.6,35.3,46.9,91.9,0,1.3
2020-03-22,Warangal Rural,Nadikuda,0.0,23.2,34.5,53.7,94.7,0,1.2
2020-03-23,Warangal Rural,Nadikuda,0.0,23.3,36.4,43.1,92.4,0,1.0
2020-03-24,Warangal Rural,Nadikuda,0.0,23.3,34.7,54.2,92.7,0,1.3
2020-03-25,Warangal Rural,Nadikuda,0.0,23.4,35.6,44.9,91.3,0,1.3
2020-03-26,Warangal Rural,Nadikuda,0.0,25.1,35.0,31.2,62.0,0,5.2
2020-03-27,Warangal Rural,Nadikuda,0.0,26.0,34.4,34.3,57.3,0,4.0
2020-03-28,Warangal Rural,Nadikuda,0.0,25.9,36.7,24.2,42.7,0,3.2
2020-03-29,Warangal Rural,Nadikuda,0.0,26.8,37.1,24.5,45.3,0,3.9
2020-03-30,Warangal Rural,Nadikuda,0.0,25.6,36.8,27.3,56.5,0,5.4
2020-03-31,Warangal Rural,Nadikuda,0.0,26.5,35.7,29.5,55.5,0,3.4
2020-04-01,Warangal Rural,Nadikuda,0.0,27.7,36.6,34.2,55.3,,4.0
2020-04-02,Warangal Rural,Nadikuda,0.0,26.3,36.3,26.3,54.3,,2.3
2020-04-03,Warangal Rural,Nadikuda,0.0,24.8,36.7,33.9,53.6,,4.1
2020-04-04,Warangal Rural,Nadikuda,0.0,24.7,34.0,29.7,58.6,,4.0
2020-04-05,Warangal Rural,Nadikuda,0.0,23.4,30.4,31.4,67.3,,2.6
2020-04-06,Warangal Rural,Nadikuda,0.0,27.0,35.1,35.3,58.9,,2.6
2020-04-07,Warangal Rural,Nadikuda,0.0,25.1,34.2,42.7,62.6,,5.0
2020-04-08,Warangal Rural,Nadikuda,0.0,23.4,35.9,33.6,62.8,,5.6
2020-04-09,Warangal Rural,Nadikuda,0.0,24.7,35.3,32.8,56.6,,3.9
2020-04-10,Warangal Rural,Nadikuda,0.0,21.4,34.4,40.5,71.0,,3.2
