Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Narsampet,0.0,18.6,29.7,65.5,99.9,0,11.3
2020-01-02,Warangal Rural,Narsampet,0.0,18.6,30.1,65.0,99.9,0,15.3
2020-01-03,Warangal Rural,Narsampet,0.0,22.4,30.6,67.1,99.9,0,11.8
2020-01-04,Warangal Rural,Narsampet,0.0,20.2,27.5,78.5,99.9,0,12.1
2020-01-05,Warangal Rural,Narsampet,0.0,20.0,24.9,85.8,99.9,0,1.9
2020-01-06,Warangal Rural,Narsampet,0.0,17.7,30.6,54.5,99.9,0,4.8
2020-01-07,Warangal Rural,Narsampet,0.0,22.4,32.6,51.8,99.9,0,4.8
2020-01-08,Warangal Rural,Narsampet,0.0,22.1,30.1,58.1,99.9,0,13.2
2020-01-09,Warangal Rural,Narsampet,0.0,21.4,29.9,76.5,99.9,0,15.2
2020-01-10,Warangal Rural,Narsampet,0.0,20.2,30.6,83.7,99.9,0,10.3
2020-01-11,Warangal Rural,Narsampet,0.0,17.8,29.8,63.9,96.2,0,6.8
2020-01-12,Warangal Rural,Narsampet,0.0,13.1,32.5,39.1,96.2,0,5.2
2020-01-13,Warangal Rural,Narsampet,0.0,12.5,30.1,31.7,94.1,0,4.6
2020-01-14,Warangal Rural,Narsampet,0.0,15.2,32.6,32.9,99.9,0,6.5
2020-01-15,Warangal Rural,Narsampet,0.0,17.4,30.6,56.4,99.9,0,9.7
2020-01-16,Warangal Rural,Narsampet,0.0,15.3,30.7,55.9,99.9,0,10.9
2020-01-17,Warangal Rural,Narsampet,0.0,19.2,30.4,51.6,99.9,0,12.9
2020-01-18,Warangal Rural,Narsampet,0.0,20.3,32.6,51.7,99.9,0,15.1
2020-01-19,Warangal Rural,Narsampet,0.0,19.8,32.9,51.8,99.9,0,12.8
2020-01-20,Warangal Rural,Narsampet,0.0,19.1,32.6,56.8,99.9,0,7.7
2020-01-21,Warangal Rural,Narsampet,0.0,19.4,31.7,52.5,98.5,0,5.7
2020-01-22,Warangal Rural,Narsampet,0.0,19.8,30.0,53.8,100.0,0,11.7
2020-01-23,Warangal Rural,Narsampet,0.0,19.2,32.3,46.8,100.0,0,10.9
2020-01-24,Warangal Rural,Narsampet,0.0,18.2,31.9,42.7,100.0,0,8.9
2020-01-25,Warangal Rural,Narsampet,0.0,18.7,32.9,48.1,100.0,0,6.5
2020-01-26,Warangal Rural,Narsampet,0.0,18.5,34.9,39.4,99.9,0,4.6
2020-01-27,Warangal Rural,Narsampet,0.0,17.0,32.7,46.8,99.9,0,5.3
2020-01-28,Warangal Rural,Narsampet,0.0,21.9,35.7,39.4,99.9,0,12.4
2020-01-29,Warangal Rural,Narsampet,0.0,22.2,33.3,46.1,99.9,0,14.3
2020-01-30,Warangal Rural,Narsampet,0.0,24.4,32.6,63.8,99.9,0,14.0
2020-01-31,Warangal Rural,Narsampet,0.0,21.2,30.8,70.1,99.9,0,7.5
2020-02-01,Warangal Rural,Narsampet,0.0,21.3,33.0,60.2,99.9,0,8.3
2020-02-02,Warangal Rural,Narsampet,0.0,22.0,31.1,59.9,99.9,0,15.0
2020-02-03,Warangal Rural,Narsampet,0.0,22.1,32.7,55.3,99.9,0,9.5
2020-02-04,Warangal Rural,Narsampet,0.0,22.1,32.6,56.6,99.9,0,10.8
2020-02-05,Warangal Rural,Narsampet,0.0,22.4,33.0,62.8,99.9,0,15.1
2020-02-06,Warangal Rural,Narsampet,0.0,20.0,32.9,55.0,99.9,0,15.4
2020-02-07,Warangal Rural,Narsampet,0.0,22.1,33.3,54.8,99.9,0,15.3
2020-02-08,Warangal Rural,Narsampet,0.0,22.4,30.7,62.6,99.9,0,15.6
2020-02-09,Warangal Rural,Narsampet,4.1,19.4,30.5,70.8,99.9,0,12.4
2020-02-10,Warangal Rural,Narsampet,1.6,18.5,27.1,93.0,100.0,0,6.9
2020-02-11,Warangal Rural,Narsampet,0.0,21.5,32.4,70.4,99.9,0,8.4
2020-02-12,Warangal Rural,Narsampet,0.0,21.2,30.5,70.7,99.9,0,9.0
2020-02-13,Warangal Rural,Narsampet,0.0,16.1,33.0,55.0,99.9,0,5.9
2020-02-14,Warangal Rural,Narsampet,0.0,17.3,33.3,33.3,96.9,0,9.6
2020-02-15,Warangal Rural,Narsampet,0.0,15.9,35.2,30.7,99.4,0,4.6
2020-02-16,Warangal Rural,Narsampet,0.0,19.6,35.2,31.5,98.3,0,5.3
2020-02-17,Warangal Rural,Narsampet,0.0,18.1,35.2,32.5,99.9,0,8.7
2020-02-18,Warangal Rural,Narsampet,0.0,15.4,35.2,30.8,99.9,0,6.6
2020-02-19,Warangal Rural,Narsampet,0.0,17.1,35.8,31.0,99.9,0,8.0
2020-02-20,Warangal Rural,Narsampet,0.0,19.1,35.1,46.9,99.9,0,14.5
2020-02-21,Warangal Rural,Narsampet,0.0,19.6,33.3,55.0,99.9,0,13.1
2020-02-22,Warangal Rural,Narsampet,0.0,20.4,32.6,50.1,99.9,0,13.7
