Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Raiparthy,0.0,19.7,27.5,62.8,97.3,0,4.4
2020-01-02,Warangal Rural,Raiparthy,0.0,21.8,30.8,60.0,96.1,0,11.8
2020-01-03,Warangal Rural,Raiparthy,0.0,21.6,30.3,64.2,96.3,0,12.8
2020-01-04,Warangal Rural,Raiparthy,0.0,22.4,28.1,76.0,93.9,0,15.0
2020-01-05,Warangal Rural,Raiparthy,0.0,18.7,27.5,75.8,100.0,0,10.9
2020-01-06,Warangal Rural,Raiparthy,0.0,19.3,30.4,47.1,86.7,0,15.4
2020-01-07,Warangal Rural,Raiparthy,0.0,20.9,32.2,46.0,96.1,0,8.4
2020-01-08,Warangal Rural,Raiparthy,0.0,21.7,32.2,62.2,95.5,0,7.9
2020-01-09,Warangal Rural,Raiparthy,0.0,22.4,30.5,69.9,94.7,0,13.7
2020-01-10,Warangal Rural,Raiparthy,0.0,21.8,30.1,62.6,89.7,0,11.2
2020-01-11,Warangal Rural,Raiparthy,0.0,21.8,30.1,63.1,97.5,0,10.8
2020-01-12,Warangal Rural,Raiparthy,0.0,14.7,30.1,39.1,100.0,0,11.6
2020-01-13,Warangal Rural,Raiparthy,0.0,13.1,30.7,36.7,100.0,0,13.7
2020-01-14,Warangal Rural,Raiparthy,0.0,17.0,33.2,35.1,100.0,0,12.2
2020-01-15,Warangal Rural,Raiparthy,0.0,20.8,32.7,55.3,100.0,0,13.3
2020-01-16,Warangal Rural,Raiparthy,0.0,17.0,32.4,45.9,100.0,0,8.3
2020-01-17,Warangal Rural,Raiparthy,0.0,22.4,30.7,56.3,93.7,0,8.9
2020-01-18,Warangal Rural,Raiparthy,0.0,21.6,30.3,46.0,96.6,0,14.1
2020-01-19,Warangal Rural,Raiparthy,0.0,22.4,32.7,42.7,90.7,0,7.5
2020-01-20,Warangal Rural,Raiparthy,0.0,22.2,32.6,47.6,93.2,0,7.0
2020-01-21,Warangal Rural,Raiparthy,0.0,20.1,33.1,54.0,97.1,0,5.1
2020-01-22,Warangal Rural,Raiparthy,0.0,21.0,32.9,42.1,97.3,0,7.1
2020-01-23,Warangal Rural,Raiparthy,0.0,21.2,32.6,44.5,98.0,0,11.2
2020-01-24,Warangal Rural,Raiparthy,0.0,18.7,32.6,45.0,93.8,0,7.9
2020-01-25,Warangal Rural,Raiparthy,0.0,19.0,33.0,39.4,93.0,0,8.2
2020-01-26,Warangal Rural,Raiparthy,0.0,19.4,32.6,41.9,94.8,0,3.4
2020-01-27,Warangal Rural,Raiparthy,0.0,17.1,32.6,43.0,95.3,0,9.1
2020-01-28,Warangal Rural,Raiparthy,0.0,21.7,35.2,35.1,97.4,0,7.4
2020-01-29,Warangal Rural,Raiparthy,0.0,21.6,32.6,44.7,96.9,0,14.5
2020-01-30,Warangal Rural,Raiparthy,0.0,21.9,32.7,47.9,96.0,0,8.5
2020-01-31,Warangal Rural,Raiparthy,0.0,19.2,32.2,49.1,87.6,0,11.4
2020-02-01,Warangal Rural,Raiparthy,0.0,21.6,32.6,54.5,96.8,0,8.6
2020-02-02,Warangal Rural,Raiparthy,0.0,22.2,32.6,48.5,91.7,0,10.9
2020-02-03,Warangal Rural,Raiparthy,0.0,22.4,32.9,51.5,90.4,0,8.4
2020-02-04,Warangal Rural,Raiparthy,0.0,21.5,32.6,51.0,95.7,0,7.4
2020-02-05,Warangal Rural,Raiparthy,0.0,20.1,33.2,47.1,97.0,0,11.9
2020-02-06,Warangal Rural,Raiparthy,0.0,22.4,33.3,41.6,89.5,0,9.4
2020-02-07,Warangal Rural,Raiparthy,0.0,21.6,33.2,46.6,91.4,0,10.4
2020-02-08,Warangal Rural,Raiparthy,0.0,22.0,33.0,49.8,95.1,0,14.3
2020-02-09,Warangal Rural,Raiparthy,0.0,22.0,30.3,43.2,96.4,0,12.9
2020-02-10,Warangal Rural,Raiparthy,6.5,19.2,24.9,79.1,97.8,0,12.2
2020-02-11,Warangal Rural,Raiparthy,0.0,22.5,30.5,64.6,95.9,0,5.5
2020-02-12,Warangal Rural,Raiparthy,0.0,21.7,32.6,64.4,96.8,0,6.8
2020-02-13,Warangal Rural,Raiparthy,0.0,21.8,33.0,49.3,84.5,0,6.7
2020-02-14,Warangal Rural,Raiparthy,0.0,21.8,32.9,36.4,76.1,0,9.7
2020-02-15,Warangal Rural,Raiparthy,0.0,18.8,35.8,30.8,89.5,0,6.5
2020-02-16,Warangal Rural,Raiparthy,0.0,18.9,35.2,39.7,94.1,0,5.3
2020-02-17,Warangal Rural,Raiparthy,0.0,21.1,35.8,34.1,94.7,0,6.0
2020-02-18,Warangal Rural,Raiparthy,0.0,17.9,35.7,31.4,88.4,0,8.4
2020-02-19,Warangal Rural,Raiparthy,0.0,20.4,35.2,25.8,90.5,0,7.9
2020-02-20,Warangal Rural,Raiparthy,0.0,20.3,35.2,47.2,97.4,0,8.3
2020-02-21,Warangal Rural,Raiparthy,0.0,20.2,33.3,45.4,95.1,0,9.7
2020-02-22,Warangal Rural,Raiparthy,0.0,19.7,32.6,54.7,87.5,0,10.5
2020-02-23,Warangal Rural,Raiparthy,0.0,19.1,34.8,45.1,97.7,0,8.7
2020-02-24,Warangal Rural,Raiparthy,0.0,22.4,34.8,44.1,90.4,0,11.3
