Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Shayampet,0.0,20.0,27.9,59.8,98.0,0,10.1
2020-01-02,Warangal Rural,Shayampet,0.0,19.6,31.4,49.6,99.9,0,11.2
2020-01-03,Warangal Rural,Shayampet,0.0,21.0,30.5,70.7,89.7,0,9.5
2020-01-04,Warangal Rural,Shayampet,0.8,19.3,27.5,77.9,96.2,0,8.8
2020-01-05,Warangal Rural,Shayampet,0.0,18.6,25.8,79.7,100.0,0,6.3
2020-01-06,Warangal Rural,Shayampet,0.0,16.8,28.4,47.6,91.0,0,13.1
2020-01-07,Warangal Rural,Shayampet,0.0,20.7,32.9,55.6,90.4,0,4.2
2020-01-08,Warangal Rural,Shayampet,0.0,21.6,31.5,58.4,89.5,0,7.7
2020-01-09,Warangal Rural,Shayampet,0.0,20.6,30.1,71.1,89.5,0,10.5
2020-01-10,Warangal Rural,Shayampet,0.0,19.3,30.5,58.7,92.4,0,7.8
2020-01-11,Warangal Rural,Shayampet,0.0,15.5,30.2,67.6,82.5,0,7.7
2020-01-12,Warangal Rural,Shayampet,0.0,14.2,30.6,48.7,78.1,0,6.6
2020-01-13,Warangal Rural,Shayampet,0.0,13.0,30.4,33.8,83.0,0,4.1
2020-01-14,Warangal Rural,Shayampet,0.0,15.7,32.7,27.5,70.5,0,7.4
2020-01-15,Warangal Rural,Shayampet,0.0,17.9,33.0,48.3,89.6,0,6.1
2020-01-16,Warangal Rural,Shayampet,0.0,17.4,33.1,49.5,98.2,0,11.1
2020-01-17,Warangal Rural,Shayampet,0.0,19.6,31.2,47.7,84.0,0,11.9
2020-01-18,Warangal Rural,Shayampet,0.0,20.4,31.7,51.4,96.5,0,12.9
2020-01-19,Warangal Rural,Shayampet,0.0,20.6,33.1,51.3,92.4,0,13.2
2020-01-20,Warangal Rural,Shayampet,0.0,19.6,33.0,56.3,95.2,0,8.7
2020-01-21,Warangal Rural,Shayampet,0.0,19.4,31.6,53.0,98.9,0,7.3
