Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Urban,Dharmasagar,0.0,21.0,26.0,65.3,88.4,0,13.7
2020-01-02,Warangal Urban,Dharmasagar,0.0,21.1,29.5,59.3,92.2,0,11.4
2020-01-03,Warangal Urban,Dharmasagar,0.0,21.8,28.8,64.9,89.2,0,12.5
2020-01-04,Warangal Urban,Dharmasagar,0.0,19.9,27.1,70.9,93.4,0,9.6
2020-01-05,Warangal Urban,Dharmasagar,0.0,19.4,25.2,74.1,91.8,0,5.7
2020-01-06,Warangal Urban,Dharmasagar,0.0,17.2,27.6,56.6,84.1,0,10.9
2020-01-07,Warangal Urban,Dharmasagar,0.0,21.6,29.9,53.8,91.7,0,8.0
2020-01-08,Warangal Urban,Dharmasagar,0.0,21.6,29.5,62.8,87.9,0,13.9
2020-01-09,Warangal Urban,Dharmasagar,0.0,20.3,28.5,65.6,93.5,0,12.7
2020-01-10,Warangal Urban,Dharmasagar,0.0,19.5,30.3,54.9,88.6,0,8.4
2020-01-11,Warangal Urban,Dharmasagar,0.0,17.5,27.8,63.1,81.5,0,5.7
2020-01-12,Warangal Urban,Dharmasagar,0.0,15.6,30.4,50.0,83.4,0,7.1
2020-01-13,Warangal Urban,Dharmasagar,0.0,13.6,29.5,37.4,84.3,0,6.4
2020-01-14,Warangal Urban,Dharmasagar,0.0,16.5,30.7,34.1,92.1,0,5.3
2020-01-15,Warangal Urban,Dharmasagar,0.0,18.0,29.5,51.9,95.1,0,8.3
2020-01-16,Warangal Urban,Dharmasagar,0.0,18.3,29.3,49.3,95.0,0,12.1
2020-01-17,Warangal Urban,Dharmasagar,0.0,19.6,29.5,51.6,94.2,0,14.9
2020-01-18,Warangal Urban,Dharmasagar,0.0,21.4,29.3,57.6,91.2,0,13.0
2020-01-19,Warangal Urban,Dharmasagar,0.0,20.5,29.2,57.3,94.5,0,13.4
2020-01-20,Warangal Urban,Dharmasagar,0.0,20.0,29.9,58.9,95.0,0,10.7
2020-01-21,Warangal Urban,Dharmasagar,0.0,19.3,29.9,56.9,95.0,0,9.3
