Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Urban,Hanamkonda,0.0,22.4,26.9,65.9,99.9,0,6.9
2020-01-02,Warangal Urban,Hanamkonda,0.0,22.4,29.9,70.4,99.9,0,5.2
2020-01-03,Warangal Urban,Hanamkonda,0.0,21.6,29.4,70.9,99.9,0,5.7
2020-01-04,Warangal Urban,Hanamkonda,0.0,19.7,27.5,85.5,100.0,0,5.0
2020-01-05,Warangal Urban,Hanamkonda,0.0,19.8,26.5,87.7,99.9,0,3.0
2020-01-06,Warangal Urban,Hanamkonda,0.0,18.5,27.5,55.6,99.9,0,3.6
2020-01-07,Warangal Urban,Hanamkonda,0.0,21.3,29.8,55.1,99.9,0,1.5
2020-01-08,Warangal Urban,Hanamkonda,0.0,21.8,29.5,56.2,99.9,0,5.8
2020-01-09,Warangal Urban,Hanamkonda,0.0,21.3,27.4,69.8,100.0,0,4.9
2020-01-10,Warangal Urban,Hanamkonda,0.0,20.7,29.6,58.6,99.9,0,5.9
2020-01-11,Warangal Urban,Hanamkonda,0.0,19.5,27.1,70.4,98.2,0,3.4
2020-01-12,Warangal Urban,Hanamkonda,0.0,17.4,29.9,50.3,99.9,0,1.5
2020-01-13,Warangal Urban,Hanamkonda,0.0,16.7,28.7,33.5,99.9,0,1.8
2020-01-14,Warangal Urban,Hanamkonda,0.0,18.1,29.7,30.7,99.9,0,2.1
2020-01-15,Warangal Urban,Hanamkonda,0.0,21.8,30.2,55.5,99.9,0,6.1
2020-01-16,Warangal Urban,Hanamkonda,0.0,21.8,29.6,45.7,99.9,0,5.2
2020-01-17,Warangal Urban,Hanamkonda,0.0,22.4,29.2,54.7,99.9,0,6.4
2020-01-18,Warangal Urban,Hanamkonda,0.0,22.4,29.8,48.0,99.9,0,6.3
2020-01-19,Warangal Urban,Hanamkonda,0.0,22.4,30.2,55.1,99.9,0,7.5
2020-01-20,Warangal Urban,Hanamkonda,0.0,22.4,30.1,48.4,99.9,0,4.6
2020-01-21,Warangal Urban,Hanamkonda,0.0,22.3,31.3,62.1,99.9,0,3.5
2020-01-22,Warangal Urban,Hanamkonda,0.0,22.4,30.3,57.2,99.9,0,5.1
2020-01-23,Warangal Urban,Hanamkonda,0.0,22.4,32.1,43.9,99.9,0,4.8
2020-01-24,Warangal Urban,Hanamkonda,0.0,21.8,31.8,37.7,99.9,0,4.0
2020-01-25,Warangal Urban,Hanamkonda,0.0,21.8,32.5,47.1,99.9,0,2.0
2020-01-26,Warangal Urban,Hanamkonda,0.0,21.8,32.8,31.0,99.9,0,1.5
2020-01-27,Warangal Urban,Hanamkonda,0.0,20.1,32.3,40.0,99.9,0,2.7
