Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Urban,Hasanparthy,0.0,20.3,26.9,60.4,93.7,0,12.3
2020-01-02,Warangal Urban,Hasanparthy,0.0,20.6,29.8,57.4,95.0,0,12.1
2020-01-03,Warangal Urban,Hasanparthy,0.0,21.5,28.6,60.6,90.2,0,11.4
2020-01-04,Warangal Urban,Hasanparthy,0.0,19.4,26.2,66.4,97.3,0,9.7
2020-01-05,Warangal Urban,Hasanparthy,0.0,18.0,25.3,65.6,95.9,0,8.6
2020-01-06,Warangal Urban,Hasanparthy,0.0,16.3,27.4,49.5,88.9,0,10.9
2020-01-07,Warangal Urban,Hasanparthy,0.0,20.3,29.9,55.2,88.9,0,7.5
2020-01-08,Warangal Urban,Hasanparthy,0.0,21.2,29.6,59.1,89.5,0,12.2
2020-01-09,Warangal Urban,Hasanparthy,0.0,20.6,27.5,61.2,94.2,0,12.5
2020-01-10,Warangal Urban,Hasanparthy,0.0,18.4,29.8,56.0,89.3,0,11.4
2020-01-11,Warangal Urban,Hasanparthy,0.0,16.2,26.1,61.9,85.0,0,7.1
2020-01-12,Warangal Urban,Hasanparthy,0.0,14.0,29.6,52.3,93.8,0,8.5
2020-01-13,Warangal Urban,Hasanparthy,0.0,12.9,28.2,40.1,81.4,0,9.3
2020-01-14,Warangal Urban,Hasanparthy,0.0,15.8,29.7,44.2,97.0,0,4.4
2020-01-15,Warangal Urban,Hasanparthy,0.0,18.2,29.8,56.3,97.0,0,8.4
2020-01-16,Warangal Urban,Hasanparthy,0.0,16.9,29.9,52.0,97.2,0,10.9
2020-01-17,Warangal Urban,Hasanparthy,0.0,20.0,29.5,53.4,94.8,0,13.5
2020-01-18,Warangal Urban,Hasanparthy,0.0,20.8,29.7,54.7,94.3,0,12.7
2020-01-19,Warangal Urban,Hasanparthy,0.0,20.6,30.2,55.3,96.7,0,11.4
2020-01-20,Warangal Urban,Hasanparthy,0.0,19.8,30.8,54.6,96.6,0,11.2
2020-01-21,Warangal Urban,Hasanparthy,0.0,19.3,30.5,55.5,97.3,0,8.4
2020-01-22,Warangal Urban,Hasanparthy,0.0,20.6,30.3,56.2,93.5,0,13.0
2020-01-23,Warangal Urban,Hasanparthy,0.0,20.1,31.3,53.1,88.2,0,12.2
2020-01-24,Warangal Urban,Hasanparthy,0.0,18.2,31.9,50.8,86.7,0,8.8
2020-01-25,Warangal Urban,Hasanparthy,0.0,18.4,31.0,46.0,87.3,0,5.3
2020-01-26,Warangal Urban,Hasanparthy,0.0,18.3,32.1,46.4,96.4,0,4.6
2020-01-27,Warangal Urban,Hasanparthy,0.0,16.8,31.9,41.4,95.7,0,5.4
2020-01-28,Warangal Urban,Hasanparthy,0.0,21.0,33.9,42.0,95.2,0,11.4
