Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Urban,Inole,0.0,19.5,26.1,63.5,92.2,0,13.3
2020-01-02,Warangal Urban,Inole,0.0,20.7,29.2,58.4,91.7,0,12.4
2020-01-03,Warangal Urban,Inole,0.0,20.7,28.5,64.5,93.1,0,10.6
2020-01-04,Warangal Urban,Inole,0.5,19.8,27.0,73.6,94.7,0,9.0
2020-01-05,Warangal Urban,Inole,0.0,18.3,24.9,75.3,92.9,0,9.8
2020-01-06,Warangal Urban,Inole,0.0,17.1,27.5,53.2,84.4,0,11.4
2020-01-07,Warangal Urban,Inole,0.0,21.4,29.9,54.5,96.8,0,10.0
2020-01-08,Warangal Urban,Inole,0.0,21.7,29.1,67.3,92.2,0,8.3
2020-01-09,Warangal Urban,Inole,0.0,20.2,27.4,68.5,97.6,0,10.5
2020-01-10,Warangal Urban,Inole,0.0,19.8,30.0,58.9,93.0,0,9.6
2020-01-11,Warangal Urban,Inole,0.0,17.5,27.6,67.2,88.1,0,7.7
2020-01-12,Warangal Urban,Inole,0.0,15.0,30.0,45.7,89.9,0,8.5
2020-01-13,Warangal Urban,Inole,0.0,14.7,28.6,40.2,84.3,0,10.8
2020-01-14,Warangal Urban,Inole,0.0,17.5,30.1,36.8,97.8,0,9.6
2020-01-15,Warangal Urban,Inole,0.0,18.0,29.7,56.2,98.4,0,7.6
2020-01-16,Warangal Urban,Inole,0.0,17.3,29.5,52.0,97.7,0,12.3
2020-01-17,Warangal Urban,Inole,0.0,19.9,29.6,55.3,98.3,0,12.7
2020-01-18,Warangal Urban,Inole,0.0,21.4,29.8,55.9,92.8,0,12.0
2020-01-19,Warangal Urban,Inole,0.0,20.4,29.7,59.8,96.1,0,11.7
2020-01-20,Warangal Urban,Inole,0.0,20.0,30.6,58.5,97.8,0,12.1
2020-01-21,Warangal Urban,Inole,0.0,20.0,30.4,60.8,97.8,0,8.9
2020-01-22,Warangal Urban,Inole,0.0,21.1,30.1,60.3,95.8,0,13.8
2020-01-23,Warangal Urban,Inole,0.0,19.6,30.5,54.0,98.1,0,12.7
2020-01-24,Warangal Urban,Inole,0.0,18.5,30.5,48.7,96.0,0,13.3
2020-01-25,Warangal Urban,Inole,0.0,18.2,31.9,47.6,96.9,0,10.9
2020-01-26,Warangal Urban,Inole,0.0,19.2,32.5,41.2,94.6,0,8.6
2020-01-27,Warangal Urban,Inole,0.0,17.9,32.5,46.1,94.9,0,7.8
2020-01-28,Warangal Urban,Inole,0.0,20.6,34.1,36.0,93.3,0,11.0
2020-01-29,Warangal Urban,Inole,0.0,21.7,32.3,44.2,94.2,0,13.3
2020-01-30,Warangal Urban,Inole,0.0,21.2,32.0,60.6,95.9,0,9.0
2020-01-31,Warangal Urban,Inole,0.0,19.5,29.2,64.6,86.6,0,9.2
2020-02-01,Warangal Urban,Inole,0.0,21.5,30.4,60.2,93.4,0,9.0
2020-02-02,Warangal Urban,Inole,0.0,21.8,30.1,59.8,91.9,0,14.2
2020-02-03,Warangal Urban,Inole,0.0,21.3,30.2,55.9,93.4,0,13.9
2020-02-04,Warangal Urban,Inole,0.0,21.6,30.1,58.9,93.8,0,12.0
2020-02-05,Warangal Urban,Inole,0.0,20.6,31.2,62.3,94.2,0,12.9
2020-02-06,Warangal Urban,Inole,0.0,19.8,32.2,43.9,94.8,0,13.3
2020-02-07,Warangal Urban,Inole,0.0,21.9,32.5,46.9,92.5,0,14.5
2020-02-08,Warangal Urban,Inole,0.0,22.1,30.3,53.6,91.6,0,14.6
2020-02-09,Warangal Urban,Inole,26.2,19.6,30.3,68.2,97.6,0,14.2
2020-02-10,Warangal Urban,Inole,0.7,19.2,24.6,82.6,98.3,0,8.9
2020-02-11,Warangal Urban,Inole,0.0,21.9,29.0,67.1,96.2,0,7.5
2020-02-12,Warangal Urban,Inole,0.0,21.9,29.7,64.2,95.0,0,10.9
2020-02-13,Warangal Urban,Inole,0.0,18.5,30.7,59.0,95.0,0,7.7
2020-02-14,Warangal Urban,Inole,0.0,19.2,30.7,39.9,82.7,0,9.3
2020-02-15,Warangal Urban,Inole,0.0,17.9,33.0,35.2,89.5,0,6.9
2020-02-16,Warangal Urban,Inole,0.0,19.1,33.3,40.3,90.9,0,8.5
2020-02-17,Warangal Urban,Inole,0.0,18.1,32.8,38.6,95.2,0,7.7
2020-02-18,Warangal Urban,Inole,0.0,17.2,33.4,38.3,85.0,0,7.1
2020-02-19,Warangal Urban,Inole,0.0,18.6,33.2,33.7,94.8,0,9.1
2020-02-20,Warangal Urban,Inole,0.0,20.2,32.3,45.3,97.3,0,8.1
2020-02-21,Warangal Urban,Inole,0.0,20.0,30.2,57.2,94.0,0,14.5
2020-02-22,Warangal Urban,Inole,0.0,19.0,30.5,50.8,92.8,0,15.1
2020-02-23,Warangal Urban,Inole,0.0,19.7,31.9,44.3,97.5,0,10.4
2020-02-24,Warangal Urban,Inole,0.0,21.5,32.6,51.3,96.7,0,12.3
2020-02-25,Warangal Urban,Inole,0.0,22.0,32.9,44.9,93.9,0,12.9
