Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Urban,Kamalapur,0.0,20.0,27.5,59.0,100.0,0,19.0
2020-01-02,Warangal Urban,Kamalapur,0.0,20.3,31.0,52.5,100.0,0,18.2
2020-01-03,Warangal Urban,Kamalapur,0.0,21.7,29.8,61.5,97.3,0,18.4
2020-01-04,Warangal Urban,Kamalapur,0.2,19.4,25.5,82.5,100.0,0,8.0
2020-01-05,Warangal Urban,Kamalapur,0.0,18.2,26.5,83.2,98.7,0,4.9
2020-01-06,Warangal Urban,Kamalapur,0.0,16.7,28.3,48.8,97.6,0,8.1
2020-01-07,Warangal Urban,Kamalapur,0.0,21.4,31.3,49.6,95.4,0,6.3
2020-01-08,Warangal Urban,Kamalapur,0.0,21.3,30.7,54.8,96.8,0,16.4
2020-01-09,Warangal Urban,Kamalapur,0.0,20.8,28.5,62.9,99.8,0,22.2
2020-01-10,Warangal Urban,Kamalapur,0.0,18.3,30.7,52.7,95.9,0,13.5
2020-01-11,Warangal Urban,Kamalapur,0.0,15.8,28.0,62.5,91.4,0,5.7
2020-01-12,Warangal Urban,Kamalapur,0.0,14.5,30.0,44.5,88.8,0,6.0
2020-01-13,Warangal Urban,Kamalapur,0.0,15.3,29.1,31.7,85.0,0,12.0
2020-01-14,Warangal Urban,Kamalapur,0.0,15.6,31.7,27.0,96.2,0,7.4
2020-01-15,Warangal Urban,Kamalapur,0.0,18.7,31.3,50.4,98.9,0,12.6
2020-01-16,Warangal Urban,Kamalapur,0.0,16.9,30.9,40.3,100.0,0,13.9
2020-01-17,Warangal Urban,Kamalapur,0.0,20.2,30.5,45.2,98.3,0,19.9
2020-01-18,Warangal Urban,Kamalapur,0.0,20.8,30.7,50.6,98.8,0,18.0
2020-01-19,Warangal Urban,Kamalapur,0.0,20.3,31.0,49.3,98.8,0,15.9
2020-01-20,Warangal Urban,Kamalapur,0.0,20.3,32.2,49.9,98.4,0,14.1
2020-01-21,Warangal Urban,Kamalapur,0.0,19.9,30.8,52.1,99.1,0,5.9
