Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Urban,Warangal,0.0,22.2,27.0,61.3,88.1,0,5.1
2020-01-02,Warangal Urban,Warangal,0.0,22.4,30.0,57.9,92.4,0,6.2
2020-01-03,Warangal Urban,Warangal,0.0,21.3,29.6,62.6,98.8,0,6.7
2020-01-04,Warangal Urban,Warangal,0.0,19.6,27.8,74.5,100.0,0,5.2
2020-01-05,Warangal Urban,Warangal,0.0,19.2,26.6,81.5,100.0,0,6.0
2020-01-06,Warangal Urban,Warangal,0.0,18.5,27.9,53.1,94.5,0,7.9
2020-01-07,Warangal Urban,Warangal,0.0,21.0,29.9,54.4,98.5,0,6.0
2020-01-08,Warangal Urban,Warangal,0.0,21.6,29.5,55.2,96.5,0,6.5
2020-01-09,Warangal Urban,Warangal,0.0,21.3,27.4,66.9,100.0,0,4.6
2020-01-10,Warangal Urban,Warangal,0.0,20.2,29.7,56.6,100.0,0,6.4
2020-01-11,Warangal Urban,Warangal,0.0,19.5,27.3,65.6,90.8,0,5.1
2020-01-12,Warangal Urban,Warangal,0.0,17.4,30.2,45.0,84.0,0,5.1
2020-01-13,Warangal Urban,Warangal,0.0,16.4,28.8,32.3,88.0,0,5.9
2020-01-14,Warangal Urban,Warangal,0.0,17.8,30.1,29.3,81.0,0,5.3
2020-01-15,Warangal Urban,Warangal,0.0,21.8,30.2,51.9,99.9,0,4.8
2020-01-16,Warangal Urban,Warangal,0.0,21.8,29.7,43.0,99.9,0,6.5
2020-01-17,Warangal Urban,Warangal,0.0,22.4,29.3,48.5,99.9,0,5.9
2020-01-18,Warangal Urban,Warangal,0.0,22.4,30.0,47.6,94.8,0,7.1
2020-01-19,Warangal Urban,Warangal,0.0,22.4,30.3,51.5,97.2,0,9.0
2020-01-20,Warangal Urban,Warangal,0.0,22.4,30.1,48.4,99.9,0,4.5
2020-01-21,Warangal Urban,Warangal,0.0,22.3,31.4,59.0,99.9,0,4.8
2020-01-22,Warangal Urban,Warangal,0.0,22.4,30.3,53.3,98.6,0,5.9
2020-01-23,Warangal Urban,Warangal,0.0,22.4,32.2,43.4,88.0,0,7.8
