Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Bela,0.0,10.4,30.2,40.9,95.0,0.0,8.5
2021-01-02,Adilabad,Bela,0.0,12.4,30.5,39.6,95.4,0.0,7.0
2021-01-03,Adilabad,Bela,0.0,10.9,30.3,47.1,97.1,0.0,6.0
2021-01-04,Adilabad,Bela,0.0,12.8,30.0,47.5,95.8,0.0,8.7
2021-01-05,Adilabad,Bela,0.0,12.7,32.9,39.5,95.6,0.0,6.3
2021-01-06,Adilabad,Bela,0.0,15.4,30.6,49.3,93.4,0.0,6.9
2021-01-07,Adilabad,Bela,0.0,19.8,31.0,50.8,91.2,0.0,7.0
2021-01-08,Adilabad,Bela,0.0,20.8,29.0,65.0,91.4,0.0,6.5
2021-01-09,Adilabad,Bela,0.0,15.4,30.4,60.5,96.5,0.0,5.8
2021-01-10,Adilabad,Bela,0.0,14.2,34.7,29.9,100.0,0.0,9.0
2021-01-11,Adilabad,Bela,0.0,14.0,34.4,34.0,92.0,0.0,6.9
2021-01-12,Adilabad,Bela,0.0,15.3,33.6,35.0,93.4,0.0,8.9
2021-01-13,Adilabad,Bela,0.0,15.9,33.1,38.1,95.4,0.0,7.0
2021-01-14,Adilabad,Bela,0.0,13.2,31.3,45.8,94.8,0.0,7.0
2021-01-15,Adilabad,Bela,0.0,10.9,31.9,36.9,92.7,0.0,9.1
2021-01-16,Adilabad,Bela,0.0,11.7,32.2,28.5,89.6,0.0,5.7
2021-01-17,Adilabad,Bela,0.0,13.3,33.0,34.1,90.1,0.0,5.7
2021-01-18,Adilabad,Bela,0.0,12.6,32.3,29.9,91.7,0.0,7.7
2021-01-19,Adilabad,Bela,0.0,14.1,32.8,32.8,94.1,0.0,7.7
2021-01-20,Adilabad,Bela,0.0,16.8,34.0,34.0,90.1,0.0,10.5
2021-01-21,Adilabad,Bela,0.0,16.2,32.9,36.3,90.3,0.0,10.8
2021-01-22,Adilabad,Bela,0.0,11.0,32.0,33.5,91.2,0.0,7.2
2021-01-23,Adilabad,Bela,0.0,11.5,32.8,27.5,91.5,0.0,7.9
2021-01-24,Adilabad,Bela,0.0,16.9,33.9,32.1,90.9,0.0,12.7
2021-01-25,Adilabad,Bela,0.0,16.0,34.4,37.6,89.0,0.0,10.3
2021-01-26,Adilabad,Bela,0.0,16.1,32.8,39.7,92.7,0.0,10.3
2021-01-27,Adilabad,Bela,0.0,15.2,33.6,39.9,85.9,0.0,6.5
2021-01-28,Adilabad,Bela,0.0,17.3,32.1,46.2,92.6,0.0,6.0
2021-01-29,Adilabad,Bela,0.0,18.3,32.6,45.9,91.8,0.0,13.9
2021-01-30,Adilabad,Bela,5.6,13.7,32.1,47.2,93.6,0.0,7.8
2021-01-31,Adilabad,Bela,0.0,10.7,28.2,37.6,89.5,0.0,10.6
2021-02-01,Adilabad,Bela,0.0,10.6,31.0,31.2,89.9,0.0,5.1
2021-02-02,Adilabad,Bela,0.0,9.5,32.7,26.4,89.6,0.0,9.0
2021-02-03,Adilabad,Bela,0.0,8.2,32.7,19.2,86.6,0.0,7.3
2021-02-04,Adilabad,Bela,0.0,8.1,33.4,15.0,84.2,0.0,7.1
2021-02-05,Adilabad,Bela,0.0,10.4,33.0,17.5,88.5,0.0,7.1
2021-02-06,Adilabad,Bela,0.0,15.3,33.4,19.7,75.2,0.0,9.1
2021-02-07,Adilabad,Bela,0.0,11.3,31.5,30.2,87.8,0.0,8.4
2021-02-08,Adilabad,Bela,0.0,7.3,29.7,29.6,84.8,0.0,11.3
2021-02-09,Adilabad,Bela,0.0,7.4,30.8,19.3,88.0,0.0,7.3
2021-02-10,Adilabad,Bela,0.0,8.2,32.5,18.4,85.0,0.0,6.9
2021-02-11,Adilabad,Bela,0.0,9.6,33.4,17.1,85.8,0.0,8.1
2021-02-12,Adilabad,Bela,0.0,12.6,34.0,17.7,80.6,0.1,10.7
2021-02-13,Adilabad,Bela,0.0,13.3,33.7,25.1,85.9,0.0,10.4
2021-02-14,Adilabad,Bela,0.0,18.1,34.7,26.4,77.1,0.0,11.4
2021-02-15,Adilabad,Bela,0.0,19.9,34.5,27.1,62.3,0.0,8.5
2021-02-16,Adilabad,Bela,0.0,16.7,35.1,25.8,80.1,0.0,11.5
2021-02-17,Adilabad,Bela,0.0,17.3,34.5,23.4,78.3,0.0,18.6
2021-02-18,Adilabad,Bela,1.8,17.2,32.1,34.7,92.8,0.0,10.2
2021-02-19,Adilabad,Bela,8.7,16.5,28.8,49.4,94.1,0.0,12.1
2021-02-20,Adilabad,Bela,0.2,13.0,24.1,65.0,96.9,0.0,9.0
2021-02-21,Adilabad,Bela,0.0,15.2,31.4,37.8,92.9,0.0,14.3
2021-02-22,Adilabad,Bela,0.0,14.6,32.8,37.2,91.9,0.0,8.6
2021-02-23,Adilabad,Bela,0.0,12.7,34.3,24.2,86.5,0.0,7.8
2021-02-24,Adilabad,Bela,0.0,13.1,35.1,19.3,86.1,0.0,6.7
2021-02-25,Adilabad,Bela,0.0,13.1,36.9,17.3,85.4,0.0,7.2
2021-02-26,Adilabad,Bela,0.0,16.8,37.5,14.1,72.2,0.0,11.4
2021-02-27,Adilabad,Bela,0.0,15.7,37.6,18.2,69.6,0.0,10.3
2021-02-28,Adilabad,Bela,0.0,15.4,37.5,12.8,67.4,0.0,10.2
2021-03-01,Adilabad,Bela,0.0,22.6,38.4,11.0,56.3,0.0,11.2
2021-03-02,Adilabad,Bela,0.0,18.2,38.2,11.0,68.7,0.0,7.6
2021-03-03,Adilabad,Bela,0.0,14.0,37.5,11.3,65.6,0.1,10.4
2021-03-04,Adilabad,Bela,0.0,13.6,36.3,11.5,61.3,0.0,8.1
2021-03-05,Adilabad,Bela,0.0,18.9,38.2,6.9,54.6,0.0,13.3
2021-03-06,Adilabad,Bela,0.0,14.7,37.3,10.0,72.9,0.0,15.3
2021-03-07,Adilabad,Bela,0.0,15.4,37.4,8.2,55.2,0.0,8.1
2021-03-08,Adilabad,Bela,0.0,17.7,38.8,9.5,60.9,0.0,11.8
2021-03-09,Adilabad,Bela,0.0,23.7,38.1,12.1,65.5,0.1,15.3
2021-03-10,Adilabad,Bela,0.0,24.0,37.2,18.2,67.7,0.1,14.8
2021-03-11,Adilabad,Bela,0.0,25.1,37.8,17.5,60.5,0.0,14.6
2021-03-12,Adilabad,Bela,0.0,19.1,37.7,10.8,60.7,0.2,14.8
2021-03-13,Adilabad,Bela,0.0,21.7,37.6,18.6,70.4,1.0,18.1
2021-03-14,Adilabad,Bela,0.0,17.6,35.0,24.0,62.0,0.0,11.4
2021-03-15,Adilabad,Bela,0.0,18.7,36.9,18.9,58.0,0.0,10.4
2021-03-16,Adilabad,Bela,0.0,19.8,37.4,17.7,63.1,0.0,13.9
2021-03-17,Adilabad,Bela,0.0,21.0,37.8,20.6,62.7,0.1,8.4
2021-03-18,Adilabad,Bela,0.0,24.8,37.7,21.6,61.3,0.0,9.4
2021-03-19,Adilabad,Bela,1.1,23.4,37.0,29.0,77.2,0.1,16.2
2021-03-20,Adilabad,Bela,0.0,21.3,33.2,36.3,77.0,0.0,11.6
2021-03-21,Adilabad,Bela,0.0,19.4,34.8,29.5,81.8,0.0,14.1
2021-03-22,Adilabad,Bela,0.0,21.0,36.6,23.2,60.8,0.0,18.6
2021-03-23,Adilabad,Bela,0.0,23.3,37.0,26.0,65.6,0.0,15.2
2021-03-24,Adilabad,Bela,0.0,17.6,34.0,30.1,71.7,0.0,12.4
2021-03-25,Adilabad,Bela,0.0,20.9,36.9,25.0,58.0,0.0,9.2
2021-03-26,Adilabad,Bela,0.0,20.3,38.1,21.2,52.8,0.0,9.9
2021-03-27,Adilabad,Bela,0.0,20.6,37.9,20.2,35.2,0.8,11.3
2021-03-28,Adilabad,Bela,0.0,19.7,38.2,13.2,41.2,0.0,11.3
2021-03-29,Adilabad,Bela,0.0,21.2,39.5,10.4,45.1,0.0,10.4
2021-03-30,Adilabad,Bela,0.0,21.4,40.5,13.9,46.4,0.0,12.8
2021-03-31,Adilabad,Bela,0.0,23.4,40.3,11.6,63.3,0.0,21.7
2021-04-01,Adilabad,Bela,0.0,27.0,41.1,11.6,43.8,0.0,15.1
2021-04-02,Adilabad,Bela,0.0,24.0,39.9,15.8,35.1,0.0,16.3
2021-04-03,Adilabad,Bela,0.0,21.1,41.5,6.6,33.0,0.0,10.0
2021-04-04,Adilabad,Bela,0.0,21.5,41.1,11.6,30.3,0.0,10.6
2021-04-05,Adilabad,Bela,0.0,23.8,40.7,12.8,51.3,0.0,8.3
2021-04-06,Adilabad,Bela,0.0,23.9,41.6,8.7,70.8,0.0,12.7
2021-04-07,Adilabad,Bela,0.0,24.1,41.7,16.2,72.0,0.0,16.7
2021-04-08,Adilabad,Bela,0.0,26.2,41.6,16.4,61.5,0.0,15.5
2021-04-09,Adilabad,Bela,0.0,29.0,40.4,21.6,42.9,0.0,21.2
2021-04-10,Adilabad,Bela,0.0,28.2,40.0,22.6,62.5,0.0,15.2
2021-04-11,Adilabad,Bela,0.5,22.0,39.2,24.2,100.0,0.0,15.2
2021-04-12,Adilabad,Bela,0.0,22.2,33.1,45.6,86.9,0.0,17.4
2021-04-13,Adilabad,Bela,0.0,25.5,37.5,26.8,59.8,0.0,19.1
2021-04-14,Adilabad,Bela,2.3,26.2,37.6,25.7,61.6,0.0,14.3
2021-04-15,Adilabad,Bela,2.5,22.3,37.5,23.6,75.8,0.0,21.3
2021-04-16,Adilabad,Bela,0.0,20.6,36.9,21.5,53.7,0.0,14.8
2021-04-17,Adilabad,Bela,0.0,25.3,38.8,19.2,51.2,0.0,16.1
2021-04-18,Adilabad,Bela,0.0,22.9,40.0,14.8,51.0,0.0,15.7
2021-04-19,Adilabad,Bela,0.0,29.3,40.8,15.6,48.2,0.0,17.8
2021-04-20,Adilabad,Bela,0.0,26.9,41.0,15.8,44.3,0.0,13.3
2021-04-21,Adilabad,Bela,0.0,29.1,41.2,18.0,67.2,0.0,23.0
2021-04-22,Adilabad,Bela,0.0,23.3,39.5,20.3,67.2,0.0,22.4
2021-04-23,Adilabad,Bela,0.0,24.6,39.4,19.7,53.0,0.0,13.8
2021-04-24,Adilabad,Bela,0.0,23.9,40.0,16.3,57.0,0.0,11.7
2021-04-25,Adilabad,Bela,0.0,25.1,40.2,14.9,43.8,0.0,16.4
2021-04-26,Adilabad,Bela,0.0,29.9,41.7,15.2,45.4,0.0,12.1
2021-04-27,Adilabad,Bela,0.0,26.4,41.3,21.4,52.0,0.0,27.0
2021-04-28,Adilabad,Bela,0.0,29.3,41.2,14.7,38.0,0.0,17.1
2021-04-29,Adilabad,Bela,0.0,26.1,41.4,16.5,38.2,0.0,17.9
2021-04-30,Adilabad,Bela,0.0,29.2,42.1,14.5,50.0,0.0,24.0
2021-05-01,Adilabad,Bela,0.0,27.8,40.9,0.0,0.0,0.0,0.0
2021-05-02,Adilabad,Bela,0.0,23.5,40.8,0.0,0.0,0.0,0.0
2021-05-03,Adilabad,Bela,0.0,25.3,36.9,0.0,0.0,0.0,0.0
2021-05-04,Adilabad,Bela,0.0,25.6,39.6,0.0,0.0,0.0,0.0
2021-05-05,Adilabad,Bela,0.0,29.4,40.1,0.0,0.0,0.0,0.0
2021-05-06,Adilabad,Bela,0.0,28.6,38.7,0.0,0.0,0.0,0.0
2021-05-07,Adilabad,Bela,0.0,24.0,39.0,0.0,0.0,0.0,0.0
2021-05-08,Adilabad,Bela,0.0,27.0,36.6,0.0,0.0,0.0,0.0
2021-05-09,Adilabad,Bela,0.0,25.9,39.3,0.0,0.0,0.0,0.0
2021-05-10,Adilabad,Bela,0.0,25.1,37.0,0.0,0.0,0.0,0.0
2021-05-11,Adilabad,Bela,0.0,27.6,37.9,0.0,0.0,0.0,0.0
2021-05-12,Adilabad,Bela,0.0,27.6,41.7,0.0,0.0,0.0,0.0
2021-05-13,Adilabad,Bela,0.0,30.0,42.4,0.0,0.0,0.0,0.0
2021-05-14,Adilabad,Bela,0.0,28.7,41.6,0.0,0.0,0.0,0.0
2021-05-15,Adilabad,Bela,0.0,26.8,41.3,0.0,0.0,0.0,0.0
2021-05-16,Adilabad,Bela,0.0,29.6,39.1,0.0,0.0,0.0,0.0
2021-05-17,Adilabad,Bela,2.4,27.0,36.7,39.9,100.0,0.0,5.6
2021-05-18,Adilabad,Bela,0.0,28.6,38.1,39.9,76.2,1.8,5.9
2021-05-19,Adilabad,Bela,0.0,30.5,39.3,33.7,74.0,0.3,5.1
2021-05-20,Adilabad,Bela,0.0,29.9,39.2,34.3,61.3,0.0,4.6
2021-05-21,Adilabad,Bela,0.0,24.8,38.2,30.5,58.9,0.0,3.4
2021-05-22,Adilabad,Bela,0.0,27.4,40.6,20.6,60.2,0.0,3.3
2021-05-23,Adilabad,Bela,0.0,30.4,41.4,24.6,48.9,0.0,2.2
2021-05-24,Adilabad,Bela,0.0,28.9,39.3,25.6,45.9,0.0,3.3
2021-05-25,Adilabad,Bela,0.0,26.7,41.9,20.4,39.7,0.0,4.1
2021-05-26,Adilabad,Bela,0.0,26.8,40.1,13.0,48.0,0.0,4.7
2021-05-27,Adilabad,Bela,0.0,29.9,41.6,22.2,54.5,0.0,5.4
2021-05-28,Adilabad,Bela,0.0,30.0,41.2,26.2,59.1,0.5,4.6
2021-05-29,Adilabad,Bela,0.0,29.4,39.6,33.2,54.8,0.1,4.2
2021-05-30,Adilabad,Bela,0.0,28.5,43.0,24.5,70.1,0.0,3.7
2021-05-31,Adilabad,Bela,0.0,28.8,35.7,42.4,63.7,0.0,3.1
2021-06-01,Adilabad,Bela,8.0,24.6,40.0,32.1,88.7,0.3,5.0
2021-06-02,Adilabad,Bela,6.1,23.7,38.1,40.7,94.5,0.0,3.6
2021-06-03,Adilabad,Bela,0.3,25.0,34.4,47.3,94.9,0.0,1.4
2021-06-04,Adilabad,Bela,0.0,27.9,36.3,45.7,78.7,0.0,2.9
2021-06-05,Adilabad,Bela,22.3,22.4,34.2,47.1,98.4,0.0,6.5
2021-06-06,Adilabad,Bela,0.0,24.7,35.9,44.4,100.0,0.0,2.5
2021-06-07,Adilabad,Bela,13.2,24.8,36.3,45.0,96.2,0.0,8.8
2021-06-08,Adilabad,Bela,0.0,27.2,35.4,44.2,100.0,0.0,3.3
2021-06-09,Adilabad,Bela,29.1,24.7,36.3,46.9,97.0,0.0,3.8
2021-06-10,Adilabad,Bela,1.8,25.8,35.9,45.8,100.0,0.0,2.8
2021-06-11,Adilabad,Bela,74.9,23.7,34.3,56.9,97.0,0.0,2.1
2021-06-12,Adilabad,Bela,23.5,22.2,31.2,69.7,97.7,0.2,2.8
2021-06-13,Adilabad,Bela,14.2,24.2,31.2,70.1,97.1,0.0,2.9
2021-06-14,Adilabad,Bela,29.7,23.3,35.3,62.7,97.9,0.1,3.8
2021-06-15,Adilabad,Bela,31.1,21.8,35.1,63.1,97.2,0.0,2.2
2021-06-16,Adilabad,Bela,4.8,24.7,36.4,54.0,93.6,0.0,3.5
2021-06-17,Adilabad,Bela,0.0,25.2,35.1,54.8,88.4,0.2,3.6
2021-06-18,Adilabad,Bela,2.9,24.1,32.8,65.2,98.6,0.0,3.1
2021-06-19,Adilabad,Bela,0.3,25.9,34.8,54.5,91.5,0.6,3.5
2021-06-20,Adilabad,Bela,0.3,25.2,34.4,54.0,86.3,0.3,4.3
2021-06-21,Adilabad,Bela,0.0,25.8,36.2,47.6,82.5,0.0,4.3
2021-06-22,Adilabad,Bela,0.0,27.0,36.1,41.3,79.0,0.0,2.9
2021-06-23,Adilabad,Bela,12.8,24.4,36.5,46.4,98.1,0.0,4.2
2021-06-24,Adilabad,Bela,0.0,25.1,33.1,68.1,90.9,0.0,1.5
2021-06-25,Adilabad,Bela,9.3,24.8,33.2,59.8,97.1,0.1,2.8
2021-06-26,Adilabad,Bela,8.2,23.9,32.4,58.1,90.7,0.0,2.5
2021-06-27,Adilabad,Bela,27.0,23.2,35.3,47.6,97.0,0.0,3.6
2021-06-28,Adilabad,Bela,10.3,24.3,35.6,58.4,97.7,0.1,3.1
2021-06-29,Adilabad,Bela,9.3,25.6,34.4,58.4,96.4,0.0,2.9
2021-06-30,Adilabad,Bela,0.0,27.0,36.5,50.6,90.7,0.0,1.8
2021-07-01,Adilabad,Bela,4.3,25.8,37.0,52.6,94.8,0.1,2.4
2021-07-02,Adilabad,Bela,10.7,24.1,34.6,60.7,95.4,0.1,3.0
2021-07-03,Adilabad,Bela,0.0,27.3,34.1,61.0,87.5,0.1,2.8
2021-07-04,Adilabad,Bela,0.0,25.9,36.7,45.8,100.0,0.1,2.0
2021-07-05,Adilabad,Bela,0.0,27.7,37.5,43.1,84.4,0.0,1.7
2021-07-06,Adilabad,Bela,0.0,27.3,37.3,47.1,91.4,0.1,2.5
