Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Boath,0.0,11.2,29.7,39.2,91.9,0.0,1.5
2021-01-02,Adilabad,Boath,0.0,11.5,29.0,49.8,94.4,0.0,1.6
2021-01-03,Adilabad,Boath,0.0,9.2,29.5,46.1,95.4,0.0,1.5
2021-01-04,Adilabad,Boath,0.0,10.9,28.6,46.5,94.6,0.0,1.3
2021-01-05,Adilabad,Boath,0.0,12.5,29.5,43.5,94.4,0.0,2.1
2021-01-06,Adilabad,Boath,0.0,14.0,29.2,47.4,92.0,0.0,1.3
2021-01-07,Adilabad,Boath,0.0,18.3,30.8,54.8,91.3,0.0,1.7
2021-01-08,Adilabad,Boath,0.0,19.7,26.8,63.8,90.9,0.0,1.5
2021-01-09,Adilabad,Boath,0.0,14.7,30.8,46.0,93.1,0.0,1.5
2021-01-10,Adilabad,Boath,0.0,12.5,31.9,23.2,88.6,0.0,2.6
2021-01-11,Adilabad,Boath,0.0,13.1,32.6,22.9,84.0,0.0,1.3
2021-01-12,Adilabad,Boath,0.0,14.7,33.6,34.1,91.5,0.0,1.6
2021-01-13,Adilabad,Boath,0.0,14.7,32.7,36.7,91.6,0.0,1.4
2021-01-14,Adilabad,Boath,0.0,12.9,31.9,31.9,91.9,0.0,1.4
2021-01-15,Adilabad,Boath,0.0,11.3,31.9,31.9,90.7,0.0,1.7
2021-01-16,Adilabad,Boath,0.0,12.4,32.0,33.5,91.4,0.0,1.5
2021-01-17,Adilabad,Boath,0.0,13.1,32.2,35.2,92.4,0.0,1.5
2021-01-18,Adilabad,Boath,0.0,12.5,30.9,37.3,92.9,0.0,5.0
2021-01-19,Adilabad,Boath,0.0,13.9,30.3,40.9,93.4,0.0,3.0
2021-01-20,Adilabad,Boath,0.0,13.5,31.2,40.1,91.2,0.0,2.4
2021-01-21,Adilabad,Boath,0.0,15.6,33.3,38.0,86.3,0.0,4.3
2021-01-22,Adilabad,Boath,0.0,11.2,31.8,36.0,87.0,0.0,7.0
2021-01-23,Adilabad,Boath,0.0,11.7,33.5,29.2,85.8,0.0,4.9
2021-01-24,Adilabad,Boath,0.0,14.2,32.8,37.8,91.1,0.1,3.5
2021-01-25,Adilabad,Boath,0.0,15.3,34.0,42.0,91.7,0.0,7.5
2021-01-26,Adilabad,Boath,0.0,14.0,32.9,39.4,92.3,0.0,4.2
2021-01-27,Adilabad,Boath,0.0,15.6,32.5,41.1,89.1,0.0,4.8
2021-01-28,Adilabad,Boath,0.0,15.8,32.6,40.8,92.6,0.1,3.4
