Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Gudihathnur,0.0,14.1,29.7,41.2,77.7,0.0,1.4
2021-01-02,Adilabad,Gudihathnur,0.0,13.8,29.0,46.0,90.4,0.0,1.7
2021-01-03,Adilabad,Gudihathnur,0.0,13.0,31.0,44.7,93.6,0.0,1.3
2021-01-04,Adilabad,Gudihathnur,0.0,14.7,31.4,40.0,91.6,0.0,1.1
2021-01-05,Adilabad,Gudihathnur,0.0,14.9,30.3,40.0,86.6,0.0,1.9
2021-01-06,Adilabad,Gudihathnur,0.0,16.3,31.5,47.6,83.5,0.0,1.7
2021-01-07,Adilabad,Gudihathnur,0.0,19.4,32.3,50.9,88.9,0.0,1.6
2021-01-08,Adilabad,Gudihathnur,0.0,20.8,27.8,63.0,82.9,0.0,1.4
2021-01-09,Adilabad,Gudihathnur,0.0,15.2,31.0,49.9,85.4,0.0,1.4
2021-01-10,Adilabad,Gudihathnur,0.0,13.5,31.8,30.0,77.3,0.0,3.8
2021-01-11,Adilabad,Gudihathnur,0.0,15.0,35.2,21.5,73.6,0.0,1.0
2021-01-12,Adilabad,Gudihathnur,0.0,16.7,33.8,38.0,81.6,0.0,1.6
2021-01-13,Adilabad,Gudihathnur,0.0,18.1,32.9,43.5,85.1,0.0,1.4
2021-01-14,Adilabad,Gudihathnur,0.0,15.8,33.2,38.0,81.6,0.0,1.4
2021-01-15,Adilabad,Gudihathnur,0.0,12.9,32.1,37.1,77.7,0.0,2.9
2021-01-16,Adilabad,Gudihathnur,0.0,14.5,33.1,32.4,73.7,0.0,2.0
2021-01-17,Adilabad,Gudihathnur,0.0,15.0,32.5,36.2,80.5,0.0,1.1
2021-01-18,Adilabad,Gudihathnur,0.0,14.9,32.2,34.5,81.2,0.0,5.3
2021-01-19,Adilabad,Gudihathnur,0.0,14.0,32.3,35.7,88.0,0.0,2.0
2021-01-20,Adilabad,Gudihathnur,0.0,18.6,33.4,39.8,76.1,0.0,1.8
2021-01-21,Adilabad,Gudihathnur,0.0,18.5,34.2,37.4,73.8,0.0,4.1
2021-01-22,Adilabad,Gudihathnur,0.0,14.4,31.4,37.1,81.6,0.0,5.2
2021-01-23,Adilabad,Gudihathnur,0.0,14.2,33.3,31.0,70.9,0.0,5.1
2021-01-24,Adilabad,Gudihathnur,0.0,17.4,35.3,33.4,84.0,0.0,3.0
2021-01-25,Adilabad,Gudihathnur,0.0,16.8,34.5,38.0,79.3,0.0,5.1
2021-01-26,Adilabad,Gudihathnur,0.0,17.3,32.4,44.7,84.5,0.0,2.6
2021-01-27,Adilabad,Gudihathnur,0.0,17.2,34.2,39.2,72.8,0.0,2.9
2021-01-28,Adilabad,Gudihathnur,0.0,19.2,33.3,41.8,87.0,0.0,2.1
2021-01-29,Adilabad,Gudihathnur,0.0,16.8,32.5,45.6,91.8,0.0,3.9
2021-01-30,Adilabad,Gudihathnur,0.0,15.6,31.9,43.5,75.8,0.0,8.6
2021-01-31,Adilabad,Gudihathnur,0.0,14.2,27.9,37.4,59.0,0.0,4.1
2021-02-01,Adilabad,Gudihathnur,0.0,14.2,31.8,32.8,64.9,0.0,5.7
2021-02-02,Adilabad,Gudihathnur,0.0,12.6,32.0,23.8,63.0,0.0,5.6
2021-02-03,Adilabad,Gudihathnur,0.0,10.9,32.3,21.0,66.7,0.0,5.5
2021-02-04,Adilabad,Gudihathnur,0.0,10.7,32.4,15.5,70.8,0.0,4.9
2021-02-05,Adilabad,Gudihathnur,0.0,11.0,31.3,19.6,73.1,0.0,6.8
2021-02-06,Adilabad,Gudihathnur,0.0,14.4,32.2,22.6,67.2,0.0,5.0
2021-02-07,Adilabad,Gudihathnur,0.0,13.6,30.9,32.8,60.0,0.0,5.4
2021-02-08,Adilabad,Gudihathnur,0.0,11.9,27.8,26.7,58.7,0.0,5.4
2021-02-09,Adilabad,Gudihathnur,0.0,9.1,29.8,19.6,66.2,0.0,4.1
2021-02-10,Adilabad,Gudihathnur,0.0,10.4,31.8,19.6,70.8,0.0,4.6
2021-02-11,Adilabad,Gudihathnur,0.0,11.9,32.8,19.9,70.8,0.0,2.2
2021-02-12,Adilabad,Gudihathnur,0.0,15.6,33.7,17.8,70.5,0.0,4.0
2021-02-13,Adilabad,Gudihathnur,0.0,15.7,32.6,28.9,70.0,0.0,3.5
2021-02-14,Adilabad,Gudihathnur,0.0,17.8,34.4,31.0,71.4,0.0,3.7
2021-02-15,Adilabad,Gudihathnur,0.0,18.4,33.4,31.0,66.8,0.0,4.0
2021-02-16,Adilabad,Gudihathnur,0.0,16.8,35.1,30.6,70.9,0.0,5.7
2021-02-17,Adilabad,Gudihathnur,0.0,17.9,34.1,31.0,70.9,0.0,6.5
2021-02-18,Adilabad,Gudihathnur,0.0,17.6,32.0,35.4,70.9,0.0,3.9
2021-02-19,Adilabad,Gudihathnur,0.0,16.2,28.8,37.9,78.3,0.0,5.5
2021-02-20,Adilabad,Gudihathnur,0.8,14.2,24.6,56.8,84.5,0.0,8.1
2021-02-21,Adilabad,Gudihathnur,0.0,17.2,30.2,43.7,71.4,0.0,5.5
2021-02-22,Adilabad,Gudihathnur,0.0,16.7,31.6,39.4,70.0,0.0,2.9
2021-02-23,Adilabad,Gudihathnur,0.0,14.6,34.4,21.2,68.1,0.0,1.6
2021-02-24,Adilabad,Gudihathnur,0.0,15.9,35.1,22.9,64.5,0.0,2.5
2021-02-25,Adilabad,Gudihathnur,0.0,15.1,36.3,16.6,64.9,0.0,4.8
2021-02-26,Adilabad,Gudihathnur,0.0,17.6,37.4,18.7,58.5,0.0,5.8
2021-02-27,Adilabad,Gudihathnur,0.0,17.9,37.2,24.3,49.1,0.0,5.4
