Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Ichoda,0.0,16.2,27.9,41.3,77.1,0.0,1.4
2021-01-02,Adilabad,Ichoda,0.0,15.5,27.4,52.2,96.5,0.0,1.7
2021-01-03,Adilabad,Ichoda,0.0,14.5,28.2,44.8,100.0,0.0,1.3
2021-01-04,Adilabad,Ichoda,0.0,16.1,28.0,38.6,97.5,0.0,1.1
2021-01-05,Adilabad,Ichoda,0.0,17.0,27.9,39.1,87.9,0.0,1.8
2021-01-06,Adilabad,Ichoda,0.0,16.7,28.7,49.1,87.6,0.0,1.7
2021-01-07,Adilabad,Ichoda,0.0,20.0,28.1,58.5,93.3,0.0,1.6
2021-01-08,Adilabad,Ichoda,0.0,20.9,26.7,65.9,83.3,0.0,1.4
2021-01-09,Adilabad,Ichoda,0.0,16.4,31.0,49.2,89.1,0.0,1.4
2021-01-10,Adilabad,Ichoda,0.0,14.2,31.3,24.6,68.8,0.0,3.4
2021-01-11,Adilabad,Ichoda,0.0,16.9,31.2,22.6,70.1,0.0,0.3
2021-01-12,Adilabad,Ichoda,0.0,20.2,32.1,36.4,72.8,0.0,1.6
2021-01-13,Adilabad,Ichoda,0.0,19.7,31.0,41.1,85.0,0.0,1.4
2021-01-14,Adilabad,Ichoda,0.0,16.1,32.1,34.5,87.9,0.0,1.4
2021-01-15,Adilabad,Ichoda,0.0,16.4,31.3,30.5,73.8,0.0,2.9
2021-01-16,Adilabad,Ichoda,0.0,16.5,31.3,35.0,69.6,0.0,2.0
2021-01-17,Adilabad,Ichoda,0.0,17.9,30.6,36.1,81.8,0.0,0.3
2021-01-18,Adilabad,Ichoda,0.0,16.4,31.1,34.5,85.2,0.0,8.6
2021-01-19,Adilabad,Ichoda,0.0,18.1,30.0,41.1,86.8,0.0,4.6
2021-01-20,Adilabad,Ichoda,0.0,18.7,31.6,39.5,82.7,0.0,0.9
2021-01-21,Adilabad,Ichoda,0.0,20.4,31.9,38.1,71.5,0.0,6.3
2021-01-22,Adilabad,Ichoda,0.0,15.8,30.5,36.4,68.3,0.0,12.3
2021-01-23,Adilabad,Ichoda,0.0,16.7,32.1,28.1,66.1,0.0,8.7
2021-01-24,Adilabad,Ichoda,0.0,19.1,32.8,37.0,88.2,0.0,5.3
2021-01-25,Adilabad,Ichoda,0.0,19.3,32.6,41.5,82.2,0.0,12.1
2021-01-26,Adilabad,Ichoda,0.0,18.6,31.6,41.7,89.1,0.0,6.1
2021-01-27,Adilabad,Ichoda,0.0,17.5,31.2,40.0,79.5,0.0,7.0
2021-01-28,Adilabad,Ichoda,0.0,19.2,31.3,41.1,95.8,0.0,4.4
2021-01-29,Adilabad,Ichoda,0.0,18.6,30.6,47.2,95.3,0.0,9.1
2021-01-30,Adilabad,Ichoda,0.0,16.8,29.5,44.5,77.4,0.0,14.5
2021-01-31,Adilabad,Ichoda,0.0,16.8,27.5,33.3,53.4,0.0,9.0
2021-02-01,Adilabad,Ichoda,0.0,17.9,28.7,32.6,71.5,0.0,9.8
2021-02-02,Adilabad,Ichoda,0.0,14.1,30.5,21.9,55.9,0.0,9.6
2021-02-03,Adilabad,Ichoda,0.0,18.8,30.8,15.3,76.7,0.0,10.3
2021-02-04,Adilabad,Ichoda,0.0,17.5,30.6,14.6,79.6,0.0,10.2
2021-02-05,Adilabad,Ichoda,0.0,14.1,29.1,20.4,69.1,0.0,15.0
2021-02-06,Adilabad,Ichoda,0.0,16.6,29.9,23.2,61.5,0.0,9.3
2021-02-07,Adilabad,Ichoda,0.0,16.9,29.6,31.2,55.8,0.0,8.8
2021-02-08,Adilabad,Ichoda,0.0,14.1,27.6,26.3,69.3,0.0,9.5
2021-02-09,Adilabad,Ichoda,0.0,15.2,28.8,17.7,74.6,0.0,9.5
2021-02-10,Adilabad,Ichoda,0.0,18.1,31.1,19.3,78.8,0.0,7.1
2021-02-11,Adilabad,Ichoda,0.0,16.3,32.1,19.5,54.9,0.0,5.3
2021-02-12,Adilabad,Ichoda,0.0,17.6,32.0,17.5,71.5,0.0,8.4
2021-02-13,Adilabad,Ichoda,0.0,18.9,31.6,29.9,62.4,0.0,8.0
2021-02-14,Adilabad,Ichoda,0.0,17.9,32.4,30.1,80.0,0.0,8.7
2021-02-15,Adilabad,Ichoda,0.0,18.3,32.1,30.8,70.6,0.0,7.8
2021-02-16,Adilabad,Ichoda,0.0,18.7,33.0,30.1,72.3,0.0,12.6
2021-02-17,Adilabad,Ichoda,0.0,18.6,32.8,29.5,73.7,0.0,10.2
2021-02-18,Adilabad,Ichoda,0.0,19.2,30.2,31.8,73.7,0.0,8.3
2021-02-19,Adilabad,Ichoda,0.0,16.3,27.5,41.3,87.5,0.0,12.2
2021-02-20,Adilabad,Ichoda,2.3,15.5,24.0,55.7,98.5,0.0,13.8
2021-02-21,Adilabad,Ichoda,0.0,18.3,29.3,36.9,74.1,0.0,11.0
2021-02-22,Adilabad,Ichoda,0.0,17.9,31.3,37.2,70.6,0.0,5.5
2021-02-23,Adilabad,Ichoda,0.0,19.6,32.8,20.8,61.0,0.0,2.7
2021-02-24,Adilabad,Ichoda,0.0,21.3,33.9,22.7,51.9,0.0,0.9
2021-02-25,Adilabad,Ichoda,0.0,15.0,35.0,18.8,70.6,0.0,7.7
2021-02-26,Adilabad,Ichoda,0.0,19.2,36.4,16.4,53.4,0.0,11.7
2021-02-27,Adilabad,Ichoda,0.0,20.4,36.4,21.7,39.0,0.0,9.0
2021-02-28,Adilabad,Ichoda,0.0,16.9,35.2,18.4,36.0,0.0,6.6
2021-03-01,Adilabad,Ichoda,0.0,24.7,36.6,14.3,38.2,0.0,7.3
2021-03-02,Adilabad,Ichoda,0.0,22.6,35.7,17.7,45.9,0.0,6.0
2021-03-03,Adilabad,Ichoda,0.0,22.0,36.3,15.7,40.6,0.0,8.0
