Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Inderavelly,0.0,14.6,28.7,34.7,77.8,0.0,10.7
2021-01-02,Adilabad,Inderavelly,0.0,14.7,28.2,44.9,91.4,0.0,8.4
2021-01-03,Adilabad,Inderavelly,0.0,14.2,28.5,42.5,98.8,0.0,8.7
2021-01-04,Adilabad,Inderavelly,0.0,15.4,28.2,34.1,94.6,0.0,8.4
2021-01-05,Adilabad,Inderavelly,0.0,15.2,29.0,32.8,89.1,0.0,12.1
2021-01-06,Adilabad,Inderavelly,0.0,17.4,28.3,46.9,82.0,0.0,8.3
2021-01-07,Adilabad,Inderavelly,0.0,19.9,28.7,54.3,93.5,0.0,7.1
2021-01-08,Adilabad,Inderavelly,0.0,21.0,26.4,64.6,83.3,0.0,6.9
2021-01-09,Adilabad,Inderavelly,0.0,16.4,29.8,43.0,85.7,0.0,8.5
2021-01-10,Adilabad,Inderavelly,0.0,15.4,30.7,17.7,78.4,0.0,3.4
2021-01-11,Adilabad,Inderavelly,0.0,16.3,31.5,14.4,74.4,1.9,4.3
2021-01-12,Adilabad,Inderavelly,0.0,17.3,31.9,31.1,79.7,0.0,9.4
2021-01-13,Adilabad,Inderavelly,0.0,18.0,32.3,33.4,79.3,0.0,11.6
2021-01-14,Adilabad,Inderavelly,0.0,15.5,31.3,23.1,86.6,0.0,11.6
2021-01-15,Adilabad,Inderavelly,0.0,13.9,31.2,23.1,74.3,0.0,10.9
2021-01-16,Adilabad,Inderavelly,0.0,15.1,31.1,21.0,70.7,0.0,8.4
2021-01-17,Adilabad,Inderavelly,0.0,15.9,30.8,28.4,77.0,0.0,12.7
2021-01-18,Adilabad,Inderavelly,0.0,15.9,30.4,25.7,76.1,0.0,11.8
2021-01-19,Adilabad,Inderavelly,0.0,16.0,30.7,27.1,95.6,0.0,9.6
2021-01-20,Adilabad,Inderavelly,0.0,17.1,31.1,34.4,81.6,0.0,8.5
2021-01-21,Adilabad,Inderavelly,0.0,18.0,31.3,34.4,76.6,2.7,13.9
2021-01-22,Adilabad,Inderavelly,0.0,14.5,30.7,29.1,71.2,0.0,2.0
2021-01-23,Adilabad,Inderavelly,0.0,15.1,30.5,24.4,71.2,0.0,1.4
2021-01-24,Adilabad,Inderavelly,0.0,18.1,32.4,32.0,82.2,0.0,17.5
2021-01-25,Adilabad,Inderavelly,0.0,16.8,31.9,35.5,91.6,0.6,15.1
2021-01-26,Adilabad,Inderavelly,0.0,17.1,31.9,35.5,90.2,0.0,6.5
2021-01-27,Adilabad,Inderavelly,0.0,16.9,30.8,35.0,83.8,2.6,7.4
2021-01-28,Adilabad,Inderavelly,0.0,19.1,30.8,39.4,91.8,2.2,11.5
2021-01-29,Adilabad,Inderavelly,0.0,18.3,30.0,41.1,91.8,0.0,9.9
2021-01-30,Adilabad,Inderavelly,0.0,16.5,29.7,40.6,72.7,2.8,54.8
2021-01-31,Adilabad,Inderavelly,0.0,17.0,27.9,24.1,69.2,2.2,11.4
2021-02-01,Adilabad,Inderavelly,0.0,14.7,29.6,24.6,68.5,1.3,8.8
2021-02-02,Adilabad,Inderavelly,0.0,11.6,31.2,17.7,64.5,2.2,11.7
2021-02-03,Adilabad,Inderavelly,0.0,12.1,31.3,6.6,59.0,3.3,12.0
2021-02-04,Adilabad,Inderavelly,0.0,11.6,30.4,6.0,64.9,5.7,9.3
2021-02-05,Adilabad,Inderavelly,0.0,12.6,29.9,7.9,70.3,0.0,8.4
2021-02-06,Adilabad,Inderavelly,0.0,14.4,30.5,16.4,69.9,0.0,9.8
2021-02-07,Adilabad,Inderavelly,0.0,16.8,28.9,25.5,56.5,2.2,25.3
2021-02-08,Adilabad,Inderavelly,0.0,12.1,27.5,21.5,71.2,1.6,14.1
2021-02-09,Adilabad,Inderavelly,0.0,11.1,28.5,9.1,59.9,4.4,12.0
2021-02-10,Adilabad,Inderavelly,0.0,12.3,30.6,12.3,63.6,0.0,2.1
2021-02-11,Adilabad,Inderavelly,0.0,13.2,31.1,11.8,67.6,0.0,1.3
2021-02-12,Adilabad,Inderavelly,0.0,15.4,32.2,9.2,72.1,2.2,9.2
2021-02-13,Adilabad,Inderavelly,0.0,16.1,31.6,24.4,66.8,0.0,12.6
2021-02-14,Adilabad,Inderavelly,0.0,18.3,31.6,23.7,71.7,0.0,8.1
2021-02-15,Adilabad,Inderavelly,0.0,17.5,32.2,23.7,69.5,0.0,9.0
2021-02-16,Adilabad,Inderavelly,0.0,17.3,32.5,24.6,70.3,0.0,10.3
2021-02-17,Adilabad,Inderavelly,0.0,18.9,32.0,24.6,67.2,0.0,14.0
2021-02-18,Adilabad,Inderavelly,1.3,18.0,30.5,21.7,82.5,0.0,9.5
2021-02-19,Adilabad,Inderavelly,0.1,16.8,27.6,37.4,80.7,0.0,17.8
2021-02-20,Adilabad,Inderavelly,2.4,15.9,23.8,55.3,95.6,0.0,15.0
2021-02-21,Adilabad,Inderavelly,0.0,16.2,30.1,27.1,78.8,0.0,15.4
