Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Karimnagar,Shankarapatnam,0.0,17.9,29.0,42.9,100.0,,
2021-01-02,Karimnagar,Shankarapatnam,0.0,16.9,29.8,44.0,100.0,,
2021-01-03,Karimnagar,Shankarapatnam,0.0,16.6,29.3,44.0,100.0,,
2021-01-04,Karimnagar,Shankarapatnam,0.0,17.5,29.2,45.8,100.0,,
2021-01-05,Karimnagar,Shankarapatnam,0.0,17.3,30.2,39.4,100.0,,
2021-01-06,Karimnagar,Shankarapatnam,0.0,20.7,30.6,39.2,100.0,,
2021-01-07,Karimnagar,Shankarapatnam,0.2,21.8,29.1,55.2,92.1,,
2021-01-08,Karimnagar,Shankarapatnam,0.0,21.7,29.2,62.3,100.0,,
2021-01-09,Karimnagar,Shankarapatnam,0.0,18.6,32.5,33.8,100.0,,
2021-01-10,Karimnagar,Shankarapatnam,0.0,17.3,33.6,22.2,100.0,,
2021-01-11,Karimnagar,Shankarapatnam,0.0,16.8,32.6,26.8,100.0,,
2021-01-12,Karimnagar,Shankarapatnam,0.0,18.7,32.8,38.3,100.0,,
2021-01-13,Karimnagar,Shankarapatnam,0.0,18.7,30.4,47.3,100.0,,
2021-01-14,Karimnagar,Shankarapatnam,0.0,17.6,32.0,27.5,100.0,,
2021-01-15,Karimnagar,Shankarapatnam,0.0,17.1,32.0,30.3,100.0,,
2021-01-16,Karimnagar,Shankarapatnam,0.0,17.0,31.4,29.6,100.0,,
2021-01-17,Karimnagar,Shankarapatnam,0.0,17.7,31.7,36.2,100.0,,
2021-01-18,Karimnagar,Shankarapatnam,0.0,17.9,31.2,44.6,100.0,,
2021-01-19,Karimnagar,Shankarapatnam,0.0,18.2,30.6,43.8,100.0,,
2021-01-20,Karimnagar,Shankarapatnam,0.0,17.3,32.8,31.7,100.0,,
2021-01-21,Karimnagar,Shankarapatnam,0.0,18.3,33.3,29.2,100.0,,
2021-01-22,Karimnagar,Shankarapatnam,0.0,18.7,31.8,41.5,100.0,,
2021-01-23,Karimnagar,Shankarapatnam,0.0,18.8,30.7,42.7,100.0,,
2021-01-24,Karimnagar,Shankarapatnam,0.0,18.3,34.1,38.3,100.0,,
2021-01-25,Karimnagar,Shankarapatnam,0.0,18.3,35.3,33.7,100.0,,
2021-01-26,Karimnagar,Shankarapatnam,0.0,18.1,32.0,44.4,100.0,,
2021-01-27,Karimnagar,Shankarapatnam,0.0,18.7,32.4,39.5,100.0,,
2021-01-28,Karimnagar,Shankarapatnam,0.0,19.0,32.1,41.5,100.0,,
2021-01-29,Karimnagar,Shankarapatnam,0.0,18.8,32.8,44.2,100.0,,
2021-01-30,Karimnagar,Shankarapatnam,0.0,19.3,32.1,40.3,100.0,,
2021-01-31,Karimnagar,Shankarapatnam,0.0,18.1,29.7,63.6,100.0,,
2021-02-01,Karimnagar,Shankarapatnam,0.0,17.9,29.0,62.6,100.0,,
2021-02-02,Karimnagar,Shankarapatnam,0.0,14.3,31.5,40.3,100.0,,
2021-02-03,Karimnagar,Shankarapatnam,0.0,13.8,30.1,30.3,100.0,,
2021-02-04,Karimnagar,Shankarapatnam,0.0,13.9,32.1,26.1,100.0,,
2021-02-05,Karimnagar,Shankarapatnam,0.0,14.2,30.6,26.8,100.0,,
2021-02-06,Karimnagar,Shankarapatnam,0.0,16.2,31.2,24.0,100.0,,
2021-02-07,Karimnagar,Shankarapatnam,0.0,15.9,29.6,35.3,100.0,,
2021-02-08,Karimnagar,Shankarapatnam,0.0,12.1,28.5,34.2,95.9,,
2021-02-09,Karimnagar,Shankarapatnam,0.0,12.6,30.6,21.3,100.0,,
2021-02-10,Karimnagar,Shankarapatnam,0.0,12.9,29.8,20.3,100.0,,
2021-02-11,Karimnagar,Shankarapatnam,0.0,14.1,31.0,17.0,100.0,,
2021-02-12,Karimnagar,Shankarapatnam,0.0,17.1,32.9,29.9,100.0,,
2021-02-13,Karimnagar,Shankarapatnam,0.0,17.2,32.8,33.4,100.0,,
2021-02-14,Karimnagar,Shankarapatnam,0.0,17.7,34.3,32.0,100.0,,
2021-02-15,Karimnagar,Shankarapatnam,0.0,17.5,32.8,33.8,100.0,,
2021-02-16,Karimnagar,Shankarapatnam,0.0,17.2,35.3,29.2,99.2,,
2021-02-17,Karimnagar,Shankarapatnam,0.0,16.7,35.7,26.4,84.7,,
2021-02-18,Karimnagar,Shankarapatnam,0.0,17.3,31.2,32.0,98.5,,
2021-02-19,Karimnagar,Shankarapatnam,3.3,17.9,29.4,51.0,100.0,,
2021-02-20,Karimnagar,Shankarapatnam,0.4,18.1,27.7,48.7,100.0,,
2021-02-21,Karimnagar,Shankarapatnam,0.0,17.8,29.9,40.3,100.0,,
2021-02-22,Karimnagar,Shankarapatnam,0.0,18.5,32.3,40.9,100.0,,
2021-02-23,Karimnagar,Shankarapatnam,0.0,16.6,32.4,38.3,100.0,,
2021-02-24,Karimnagar,Shankarapatnam,0.0,15.6,36.0,14.0,100.0,,
2021-02-25,Karimnagar,Shankarapatnam,0.0,15.8,34.3,22.7,100.0,,
2021-02-26,Karimnagar,Shankarapatnam,0.0,16.7,35.1,17.3,100.0,,
