Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Karimnagar,V_Saidapur,0.0,19.4,27.9,47.1,90.2,,
2021-01-02,Karimnagar,V_Saidapur,0.0,16.5,27.7,50.2,100.0,,
2021-01-03,Karimnagar,V_Saidapur,0.0,17.0,27.8,48.1,100.0,,
2021-01-04,Karimnagar,V_Saidapur,0.0,18.3,27.7,45.0,96.9,,
2021-01-05,Karimnagar,V_Saidapur,0.0,18.3,28.4,39.5,96.4,,
2021-01-06,Karimnagar,V_Saidapur,0.0,21.3,28.6,44.3,97.1,,
2021-01-07,Karimnagar,V_Saidapur,0.0,22.1,27.3,56.4,89.6,,
2021-01-08,Karimnagar,V_Saidapur,0.0,22.0,27.0,64.2,98.6,,
2021-01-09,Karimnagar,V_Saidapur,0.0,19.9,30.4,36.9,91.9,,
2021-01-10,Karimnagar,V_Saidapur,0.0,16.7,29.7,22.2,100.0,,
2021-01-11,Karimnagar,V_Saidapur,0.0,16.8,29.8,28.5,98.5,,
2021-01-12,Karimnagar,V_Saidapur,0.0,19.2,31.0,39.5,100.0,,
2021-01-13,Karimnagar,V_Saidapur,0.0,18.2,28.5,54.0,100.0,,
2021-01-14,Karimnagar,V_Saidapur,0.0,17.6,30.8,26.6,100.0,,
2021-01-15,Karimnagar,V_Saidapur,0.0,16.7,30.8,26.6,100.0,,
2021-01-16,Karimnagar,V_Saidapur,0.0,16.6,29.4,32.3,100.0,,
2021-01-17,Karimnagar,V_Saidapur,0.0,17.7,29.8,37.4,100.0,,
2021-01-18,Karimnagar,V_Saidapur,0.0,17.5,29.5,45.3,100.0,,
2021-01-19,Karimnagar,V_Saidapur,0.0,18.7,28.4,49.1,100.0,,
2021-01-20,Karimnagar,V_Saidapur,0.0,17.1,29.9,35.2,100.0,,
2021-01-21,Karimnagar,V_Saidapur,0.0,18.8,31.4,29.1,91.8,,
2021-01-22,Karimnagar,V_Saidapur,0.0,19.0,30.9,44.3,100.0,,
2021-01-23,Karimnagar,V_Saidapur,0.0,18.4,30.8,42.2,100.0,,
2021-01-24,Karimnagar,V_Saidapur,0.0,19.2,30.2,45.3,100.0,,
2021-01-25,Karimnagar,V_Saidapur,0.0,19.4,30.9,43.1,98.8,,
2021-01-26,Karimnagar,V_Saidapur,0.0,22.0,30.9,41.4,75.3,,
2021-01-27,Karimnagar,V_Saidapur,0.0,20.7,30.8,36.3,84.9,,
2021-01-28,Karimnagar,V_Saidapur,0.0,20.7,29.7,43.7,83.1,,
2021-01-29,Karimnagar,V_Saidapur,0.0,21.4,29.3,53.1,91.5,,
2021-01-30,Karimnagar,V_Saidapur,0.0,18.7,29.9,40.6,100.0,,
2021-01-31,Karimnagar,V_Saidapur,0.0,18.2,28.9,58.7,100.0,,
2021-02-01,Karimnagar,V_Saidapur,0.0,17.9,29.3,56.3,100.0,,
2021-02-02,Karimnagar,V_Saidapur,0.0,15.0,29.5,42.7,100.0,,
2021-02-03,Karimnagar,V_Saidapur,0.0,13.6,30.1,29.1,100.0,,
2021-02-04,Karimnagar,V_Saidapur,0.0,13.6,30.1,19.7,93.5,,
2021-02-05,Karimnagar,V_Saidapur,0.0,14.6,29.0,25.4,100.0,,
2021-02-06,Karimnagar,V_Saidapur,0.0,17.5,29.9,19.1,82.1,,
2021-02-07,Karimnagar,V_Saidapur,0.0,15.3,29.8,38.4,100.0,,
2021-02-08,Karimnagar,V_Saidapur,0.0,12.8,27.8,38.6,82.1,,
2021-02-09,Karimnagar,V_Saidapur,0.0,13.7,28.3,27.0,81.3,,
2021-02-10,Karimnagar,V_Saidapur,0.0,12.7,28.1,24.8,100.0,,
2021-02-11,Karimnagar,V_Saidapur,0.0,14.8,29.9,17.8,88.8,,
2021-02-12,Karimnagar,V_Saidapur,0.0,17.8,31.4,28.6,100.0,,
2021-02-13,Karimnagar,V_Saidapur,0.0,19.1,30.8,24.1,90.8,,
2021-02-14,Karimnagar,V_Saidapur,0.0,18.7,30.9,32.3,76.5,,
2021-02-15,Karimnagar,V_Saidapur,0.0,19.1,31.7,29.4,79.0,,
2021-02-16,Karimnagar,V_Saidapur,0.0,20.0,31.4,26.9,74.0,,
2021-02-17,Karimnagar,V_Saidapur,0.0,20.5,31.6,28.8,60.0,,
2021-02-18,Karimnagar,V_Saidapur,0.0,19.1,31.3,23.7,82.5,,
2021-02-19,Karimnagar,V_Saidapur,9.6,17.8,28.7,49.1,100.0,,
2021-02-20,Karimnagar,V_Saidapur,0.0,18.8,26.5,55.9,96.9,,
2021-02-21,Karimnagar,V_Saidapur,0.0,18.6,29.7,38.4,100.0,,
2021-02-22,Karimnagar,V_Saidapur,0.0,18.5,29.9,42.2,100.0,,
2021-02-23,Karimnagar,V_Saidapur,0.0,17.4,30.8,37.9,91.2,,
2021-02-24,Karimnagar,V_Saidapur,0.0,15.9,31.8,21.2,87.9,,
2021-02-25,Karimnagar,V_Saidapur,0.0,16.3,33.7,15.7,88.4,,
2021-02-26,Karimnagar,V_Saidapur,0.0,19.8,34.0,16.9,70.5,,
2021-02-27,Karimnagar,V_Saidapur,0.0,21.9,35.4,21.4,70.7,,
2021-02-28,Karimnagar,V_Saidapur,0.0,18.8,36.0,19.5,78.2,,
2021-03-01,Karimnagar,V_Saidapur,0.0,21.0,34.9,8.2,74.9,,
2021-03-02,Karimnagar,V_Saidapur,0.0,19.5,34.1,35.0,94.5,,
2021-03-03,Karimnagar,V_Saidapur,0.0,18.9,33.5,25.3,90.8,,
2021-03-04,Karimnagar,V_Saidapur,0.0,18.0,34.1,20.1,82.1,,
2021-03-05,Karimnagar,V_Saidapur,0.0,19.8,34.1,15.0,59.1,,
2021-03-06,Karimnagar,V_Saidapur,0.0,18.2,36.4,16.3,76.1,,
2021-03-07,Karimnagar,V_Saidapur,0.0,17.5,34.9,18.8,91.2,,
2021-03-08,Karimnagar,V_Saidapur,0.0,18.6,34.9,17.6,96.9,,
2021-03-09,Karimnagar,V_Saidapur,0.0,21.9,33.3,31.6,82.1,,
2021-03-10,Karimnagar,V_Saidapur,0.0,20.8,32.8,30.7,96.6,,
2021-03-11,Karimnagar,V_Saidapur,0.0,21.0,33.5,28.4,81.8,,
2021-03-12,Karimnagar,V_Saidapur,0.0,18.8,33.1,25.3,100.0,,
2021-03-13,Karimnagar,V_Saidapur,0.0,17.6,33.1,29.4,73.6,,
2021-03-14,Karimnagar,V_Saidapur,0.0,16.6,32.5,15.5,81.2,,
2021-03-15,Karimnagar,V_Saidapur,0.0,18.1,35.8,16.3,78.2,,
2021-03-16,Karimnagar,V_Saidapur,0.0,19.0,32.8,27.2,78.2,,
2021-03-17,Karimnagar,V_Saidapur,0.0,20.7,33.4,28.8,96.2,,
2021-03-18,Karimnagar,V_Saidapur,0.0,21.6,34.3,38.5,88.0,,
2021-03-19,Karimnagar,V_Saidapur,0.0,20.7,32.5,36.6,75.8,,
2021-03-20,Karimnagar,V_Saidapur,0.0,21.5,32.6,27.8,81.8,,
2021-03-21,Karimnagar,V_Saidapur,0.0,18.9,32.9,28.4,82.5,,
2021-03-22,Karimnagar,V_Saidapur,0.0,20.7,32.7,31.3,78.8,,
2021-03-23,Karimnagar,V_Saidapur,0.0,23.5,34.1,31.0,61.9,,
2021-03-24,Karimnagar,V_Saidapur,0.0,20.3,32.2,35.0,73.2,,
2021-03-25,Karimnagar,V_Saidapur,0.0,21.7,34.1,28.4,70.2,,
2021-03-26,Karimnagar,V_Saidapur,0.0,21.0,35.4,21.4,81.4,,
2021-03-27,Karimnagar,V_Saidapur,0.0,21.7,36.4,22.9,77.5,,
