Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Kalluru,0.0,20.1,32.9,62.4,99.9,,
2021-01-02,Khammam,Kalluru,0.0,19.5,32.3,54.6,99.9,,
2021-01-03,Khammam,Kalluru,0.0,21.5,31.5,58.6,99.9,,
2021-01-04,Khammam,Kalluru,0.0,20.2,31.2,54.6,99.9,,
2021-01-05,Khammam,Kalluru,0.0,21.6,34.1,50.6,99.9,,
2021-01-06,Khammam,Kalluru,0.0,24.5,34.0,39.7,99.9,,
2021-01-07,Khammam,Kalluru,0.5,23.7,32.8,49.9,99.9,,
2021-01-08,Khammam,Kalluru,0.0,22.4,32.6,63.2,99.9,,
2021-01-09,Khammam,Kalluru,0.0,21.7,34.8,47.0,99.9,,
2021-01-10,Khammam,Kalluru,0.0,20.2,33.3,39.4,99.9,,
2021-01-11,Khammam,Kalluru,0.0,21.5,34.8,40.3,99.9,,
2021-01-12,Khammam,Kalluru,0.0,21.8,35.0,46.0,99.9,,
2021-01-13,Khammam,Kalluru,0.0,22.6,34.9,43.7,99.9,,
2021-01-14,Khammam,Kalluru,0.0,22.6,34.6,63.1,99.9,,
2021-01-15,Khammam,Kalluru,0.0,22.4,33.7,57.1,99.9,,
2021-01-16,Khammam,Kalluru,0.0,22.1,33.2,56.0,99.9,,
2021-01-17,Khammam,Kalluru,0.0,21.3,33.7,58.0,99.9,,
2021-01-18,Khammam,Kalluru,0.0,21.9,35.5,55.5,99.9,,
2021-01-19,Khammam,Kalluru,0.0,21.6,35.9,55.2,99.9,,
2021-01-20,Khammam,Kalluru,0.0,21.8,32.9,63.7,99.9,,
2021-01-21,Khammam,Kalluru,0.0,21.8,35.3,48.6,99.9,,
2021-01-22,Khammam,Kalluru,0.0,22.5,34.8,47.3,99.9,,
2021-01-23,Khammam,Kalluru,0.0,24.6,35.8,58.0,99.9,,
2021-01-24,Khammam,Kalluru,0.0,21.9,34.8,54.8,99.9,,
2021-01-25,Khammam,Kalluru,0.0,21.8,33.7,56.1,99.9,,
2021-01-26,Khammam,Kalluru,0.0,21.2,34.4,52.4,99.9,,
2021-01-27,Khammam,Kalluru,0.0,21.9,35.8,64.4,99.9,,
2021-01-28,Khammam,Kalluru,0.0,22.6,36.0,56.9,99.1,,
2021-01-29,Khammam,Kalluru,0.0,22.9,34.4,60.3,99.9,,
2021-01-30,Khammam,Kalluru,0.0,23.0,34.7,62.4,99.9,,
2021-01-31,Khammam,Kalluru,0.0,23.4,35.1,56.4,99.9,,
2021-02-01,Khammam,Kalluru,0.0,23.0,32.9,55.6,99.9,,
2021-02-02,Khammam,Kalluru,0.0,21.9,35.5,57.6,99.9,,
2021-02-03,Khammam,Kalluru,0.0,20.5,32.8,54.8,99.9,,
2021-02-04,Khammam,Kalluru,0.0,19.4,34.1,43.9,99.9,,
2021-02-05,Khammam,Kalluru,0.0,19.4,35.1,39.4,99.9,,
