Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Khammam_Rural,0.0,19.7,32.2,62.6,99.9,,
2021-01-02,Khammam,Khammam_Rural,0.0,18.0,32.5,57.8,99.9,,
2021-01-03,Khammam,Khammam_Rural,0.0,19.1,32.9,55.0,99.9,,
2021-01-04,Khammam,Khammam_Rural,0.0,18.6,32.4,53.7,99.9,,
2021-01-05,Khammam,Khammam_Rural,0.0,19.7,32.6,46.0,99.9,,
2021-01-06,Khammam,Khammam_Rural,0.0,22.6,32.9,39.2,99.9,,
2021-01-07,Khammam,Khammam_Rural,0.0,23.2,30.8,49.5,99.9,,
2021-01-08,Khammam,Khammam_Rural,0.0,21.1,33.0,61.8,99.9,,
2021-01-09,Khammam,Khammam_Rural,0.0,19.1,35.4,54.6,99.9,,
2021-01-10,Khammam,Khammam_Rural,0.0,19.1,32.3,43.1,96.8,,
2021-01-11,Khammam,Khammam_Rural,0.0,19.9,33.3,38.6,95.9,,
2021-01-12,Khammam,Khammam_Rural,0.0,20.2,34.5,42.1,96.6,,
2021-01-13,Khammam,Khammam_Rural,0.0,20.8,33.4,46.1,99.4,,
2021-01-14,Khammam,Khammam_Rural,0.0,22.0,33.1,55.3,99.7,,
2021-01-15,Khammam,Khammam_Rural,0.0,21.3,33.2,43.2,99.1,,
2021-01-16,Khammam,Khammam_Rural,0.0,19.7,33.2,50.0,99.5,,
2021-01-17,Khammam,Khammam_Rural,0.0,19.1,33.1,51.9,99.3,,
2021-01-18,Khammam,Khammam_Rural,0.0,19.4,31.8,57.2,97.3,,
2021-01-19,Khammam,Khammam_Rural,0.0,19.4,31.9,56.3,98.7,,
2021-01-20,Khammam,Khammam_Rural,0.0,19.6,32.7,48.6,99.4,,
2021-01-21,Khammam,Khammam_Rural,0.0,19.8,33.9,31.6,99.0,,
2021-01-22,Khammam,Khammam_Rural,0.0,20.8,34.2,44.9,96.1,,
2021-01-23,Khammam,Khammam_Rural,0.0,22.3,33.6,49.7,98.5,,
2021-01-24,Khammam,Khammam_Rural,0.0,20.4,33.3,47.5,99.3,,
2021-01-25,Khammam,Khammam_Rural,0.0,20.0,33.7,49.7,98.5,,
2021-01-26,Khammam,Khammam_Rural,0.0,19.2,33.5,47.0,96.1,,
2021-01-27,Khammam,Khammam_Rural,0.0,20.5,33.7,49.6,98.1,,
2021-01-28,Khammam,Khammam_Rural,0.0,20.5,31.7,61.2,99.1,,
2021-01-29,Khammam,Khammam_Rural,0.0,20.6,32.2,55.8,99.3,,
2021-01-30,Khammam,Khammam_Rural,0.0,21.3,32.0,49.7,99.1,,
2021-01-31,Khammam,Khammam_Rural,0.0,21.6,32.8,50.3,97.8,,
2021-02-01,Khammam,Khammam_Rural,0.0,21.6,32.4,56.6,98.2,,
2021-02-02,Khammam,Khammam_Rural,0.0,20.1,32.2,56.2,98.7,,
2021-02-03,Khammam,Khammam_Rural,0.0,19.5,34.3,31.1,98.9,,
2021-02-04,Khammam,Khammam_Rural,0.0,19.2,32.7,35.5,98.0,,
2021-02-05,Khammam,Khammam_Rural,0.0,17.4,31.4,36.9,96.0,,
2021-02-06,Khammam,Khammam_Rural,0.0,17.6,33.8,32.2,96.5,,
2021-02-07,Khammam,Khammam_Rural,0.0,18.9,33.2,39.9,97.8,,
2021-02-08,Khammam,Khammam_Rural,0.0,18.6,32.8,43.9,97.4,,
2021-02-09,Khammam,Khammam_Rural,0.0,18.6,31.7,42.6,97.6,,
2021-02-10,Khammam,Khammam_Rural,0.0,19.0,33.8,39.8,98.8,,
2021-02-11,Khammam,Khammam_Rural,0.0,19.2,34.0,34.5,98.6,,
2021-02-12,Khammam,Khammam_Rural,0.0,18.3,32.6,43.8,97.9,,
2021-02-13,Khammam,Khammam_Rural,0.0,19.4,32.2,45.7,98.3,,
2021-02-14,Khammam,Khammam_Rural,0.0,18.9,32.5,51.5,98.1,,
2021-02-15,Khammam,Khammam_Rural,0.0,19.6,34.2,39.6,98.3,,
2021-02-16,Khammam,Khammam_Rural,0.0,20.6,33.3,37.7,98.4,,
2021-02-17,Khammam,Khammam_Rural,0.0,19.2,33.1,39.0,97.3,,
2021-02-18,Khammam,Khammam_Rural,0.0,19.4,33.1,45.3,96.1,,
2021-02-19,Khammam,Khammam_Rural,0.0,21.0,31.9,54.2,84.4,,
2021-02-20,Khammam,Khammam_Rural,0.0,21.4,29.6,46.8,88.7,,
2021-02-21,Khammam,Khammam_Rural,0.0,20.1,32.0,40.8,92.8,,
2021-02-22,Khammam,Khammam_Rural,0.0,21.2,32.8,46.9,96.6,,
