Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Khammam_Urban,0.0,16.8,32.4,52.3,99.9,,
2021-01-02,Khammam,Khammam_Urban,0.0,16.0,30.2,52.3,100.0,,
2021-01-03,Khammam,Khammam_Urban,0.0,16.2,33.0,46.4,100.0,,
2021-01-04,Khammam,Khammam_Urban,0.0,16.9,32.1,45.3,100.0,,
2021-01-05,Khammam,Khammam_Urban,0.0,17.8,30.7,43.4,100.0,,
2021-01-06,Khammam,Khammam_Urban,0.0,22.1,33.2,33.6,98.6,,
2021-01-07,Khammam,Khammam_Urban,0.0,21.9,33.0,43.0,96.9,,
2021-01-08,Khammam,Khammam_Urban,0.0,20.3,33.4,51.2,100.0,,
2021-01-09,Khammam,Khammam_Urban,0.0,17.7,35.1,52.4,99.9,,
2021-01-10,Khammam,Khammam_Urban,0.0,17.7,33.2,40.4,100.0,,
2021-01-11,Khammam,Khammam_Urban,0.0,17.8,33.4,32.6,99.9,,
2021-01-12,Khammam,Khammam_Urban,0.0,19.6,33.8,39.5,100.0,,
2021-01-13,Khammam,Khammam_Urban,0.0,19.5,35.1,44.0,100.0,,
2021-01-14,Khammam,Khammam_Urban,0.0,19.9,35.0,50.5,100.0,,
2021-01-15,Khammam,Khammam_Urban,0.0,20.8,34.2,40.1,100.0,,
2021-01-16,Khammam,Khammam_Urban,0.0,18.8,35.4,44.5,100.0,,
2021-01-17,Khammam,Khammam_Urban,0.0,18.0,35.6,47.9,100.0,,
2021-01-18,Khammam,Khammam_Urban,0.0,18.6,33.0,51.6,100.0,,
2021-01-19,Khammam,Khammam_Urban,0.0,18.0,33.2,52.0,100.0,,
2021-01-20,Khammam,Khammam_Urban,0.0,17.7,33.9,47.3,100.0,,
2021-01-21,Khammam,Khammam_Urban,0.0,18.9,35.4,30.9,100.0,,
2021-01-22,Khammam,Khammam_Urban,0.0,19.9,35.2,41.6,100.0,,
2021-01-23,Khammam,Khammam_Urban,0.0,21.7,35.1,47.4,100.0,,
2021-01-24,Khammam,Khammam_Urban,0.0,18.9,34.9,45.9,100.0,,
2021-01-25,Khammam,Khammam_Urban,0.0,17.6,35.9,44.9,99.9,,
2021-01-26,Khammam,Khammam_Urban,0.0,17.3,35.7,42.3,100.0,,
2021-01-27,Khammam,Khammam_Urban,0.0,19.7,34.7,45.7,100.0,,
2021-01-28,Khammam,Khammam_Urban,0.0,19.6,32.9,55.7,100.0,,
2021-01-29,Khammam,Khammam_Urban,0.0,19.5,32.9,49.9,100.0,,
2021-01-30,Khammam,Khammam_Urban,0.0,20.7,34.7,47.1,100.0,,
2021-01-31,Khammam,Khammam_Urban,0.0,20.8,35.1,46.1,99.9,,
2021-02-01,Khammam,Khammam_Urban,0.0,21.0,32.8,50.5,99.9,,
2021-02-02,Khammam,Khammam_Urban,0.0,18.7,33.3,50.8,100.0,,
2021-02-03,Khammam,Khammam_Urban,0.0,17.4,35.5,23.5,100.0,,
2021-02-04,Khammam,Khammam_Urban,0.0,17.0,33.1,33.0,100.0,,
2021-02-05,Khammam,Khammam_Urban,0.0,14.7,31.5,34.7,100.0,,
2021-02-06,Khammam,Khammam_Urban,0.0,15.8,35.8,29.6,99.9,,
2021-02-07,Khammam,Khammam_Urban,0.0,17.0,35.5,36.2,99.9,,
2021-02-08,Khammam,Khammam_Urban,0.0,16.5,33.4,37.5,99.9,,
2021-02-09,Khammam,Khammam_Urban,0.0,16.6,32.5,36.7,100.0,,
2021-02-10,Khammam,Khammam_Urban,0.0,16.9,35.4,34.8,100.0,,
2021-02-11,Khammam,Khammam_Urban,0.0,17.8,36.1,31.5,100.0,,
2021-02-12,Khammam,Khammam_Urban,0.0,17.3,34.9,40.8,100.0,,
2021-02-13,Khammam,Khammam_Urban,0.0,17.7,33.2,43.3,100.0,,
2021-02-14,Khammam,Khammam_Urban,0.0,16.9,35.6,47.5,100.0,,
2021-02-15,Khammam,Khammam_Urban,0.0,17.8,35.9,33.1,100.0,,
2021-02-16,Khammam,Khammam_Urban,0.0,19.4,34.3,34.3,100.0,,
2021-02-17,Khammam,Khammam_Urban,0.0,16.2,34.7,36.1,100.0,,
2021-02-18,Khammam,Khammam_Urban,0.0,18.3,34.7,39.8,99.9,,
2021-02-19,Khammam,Khammam_Urban,0.0,20.3,32.6,50.2,90.8,,
2021-02-20,Khammam,Khammam_Urban,0.0,20.7,30.6,44.7,91.5,,
2021-02-21,Khammam,Khammam_Urban,0.0,18.9,32.1,36.6,97.3,,
2021-02-22,Khammam,Khammam_Urban,0.0,20.3,35.1,44.5,100.0,,
2021-02-23,Khammam,Khammam_Urban,0.0,19.8,35.6,39.9,99.9,,
2021-02-24,Khammam,Khammam_Urban,0.0,19.0,37.6,31.1,100.0,,
2021-02-25,Khammam,Khammam_Urban,0.0,18.6,37.7,35.1,100.0,,
2021-02-26,Khammam,Khammam_Urban,0.0,18.0,37.8,33.1,100.0,,
2021-02-27,Khammam,Khammam_Urban,0.0,19.6,38.2,22.0,100.0,,
2021-02-28,Khammam,Khammam_Urban,0.0,19.5,38.8,25.8,100.0,,
2021-03-01,Khammam,Khammam_Urban,0.0,21.8,36.5,28.7,100.0,,
2021-03-02,Khammam,Khammam_Urban,0.0,21.7,37.2,30.2,100.0,,
2021-03-03,Khammam,Khammam_Urban,0.0,19.2,34.9,35.7,99.9,,
2021-03-04,Khammam,Khammam_Urban,0.0,18.6,38.8,33.3,99.9,,
2021-03-05,Khammam,Khammam_Urban,0.0,18.4,36.6,23.5,100.0,,
2021-03-06,Khammam,Khammam_Urban,0.0,16.9,37.4,25.5,98.6,,
2021-03-07,Khammam,Khammam_Urban,0.0,18.3,37.9,21.8,100.0,,
2021-03-08,Khammam,Khammam_Urban,0.0,22.7,35.2,36.5,99.9,,
2021-03-09,Khammam,Khammam_Urban,0.0,21.6,34.7,43.1,100.0,,
2021-03-10,Khammam,Khammam_Urban,0.0,20.3,33.9,45.5,100.0,,
2021-03-11,Khammam,Khammam_Urban,0.0,21.9,35.6,42.7,100.0,,
2021-03-12,Khammam,Khammam_Urban,0.0,21.5,36.2,29.8,100.0,,
2021-03-13,Khammam,Khammam_Urban,0.0,17.6,35.1,38.9,100.0,,
2021-03-14,Khammam,Khammam_Urban,0.0,18.8,38.2,14.6,99.9,,
2021-03-15,Khammam,Khammam_Urban,0.0,22.1,36.5,21.6,99.9,,
2021-03-16,Khammam,Khammam_Urban,0.0,22.1,36.7,35.2,100.0,,
2021-03-17,Khammam,Khammam_Urban,0.0,23.8,36.4,46.0,100.0,,
2021-03-18,Khammam,Khammam_Urban,0.0,21.4,36.2,38.5,99.9,,
2021-03-19,Khammam,Khammam_Urban,0.0,21.0,36.3,43.8,100.0,,
2021-03-20,Khammam,Khammam_Urban,0.0,19.8,35.2,47.2,100.0,,
2021-03-21,Khammam,Khammam_Urban,0.0,21.7,38.5,18.4,98.3,,
2021-03-22,Khammam,Khammam_Urban,0.0,22.0,38.1,27.4,91.1,,
2021-03-23,Khammam,Khammam_Urban,0.0,21.2,36.8,36.5,99.9,,
2021-03-24,Khammam,Khammam_Urban,0.0,22.2,38.4,20.0,90.1,,
2021-03-25,Khammam,Khammam_Urban,0.0,21.3,37.4,33.2,96.9,,
2021-03-26,Khammam,Khammam_Urban,0.0,21.9,38.1,30.5,96.9,,
2021-03-27,Khammam,Khammam_Urban,0.0,23.3,38.9,33.1,93.3,,
2021-03-28,Khammam,Khammam_Urban,0.0,23.6,39.0,32.5,100.0,,
2021-03-29,Khammam,Khammam_Urban,0.0,24.1,38.1,35.7,100.0,,
2021-03-30,Khammam,Khammam_Urban,0.0,24.9,37.2,40.4,99.9,,
2021-03-31,Khammam,Khammam_Urban,0.0,23.1,40.6,34.1,99.9,,
