Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Mudigonda,0.0,19.5,32.4,49.9,99.9,,
2021-01-02,Khammam,Mudigonda,0.0,17.5,30.7,49.9,99.9,,
2021-01-03,Khammam,Mudigonda,0.0,17.2,33.1,46.9,99.9,,
2021-01-04,Khammam,Mudigonda,0.0,17.3,30.8,43.2,99.9,,
2021-01-05,Khammam,Mudigonda,0.0,20.6,32.3,41.3,99.9,,
2021-01-06,Khammam,Mudigonda,0.0,23.1,33.5,40.4,99.9,,
2021-01-07,Khammam,Mudigonda,0.0,22.0,32.5,43.3,99.9,,
2021-01-08,Khammam,Mudigonda,0.0,21.2,32.9,54.7,99.9,,
2021-01-09,Khammam,Mudigonda,0.0,19.5,35.2,54.6,99.9,,
2021-01-10,Khammam,Mudigonda,0.0,19.3,33.4,46.5,99.9,,
2021-01-11,Khammam,Mudigonda,0.0,20.1,34.8,33.9,99.9,,
2021-01-12,Khammam,Mudigonda,0.0,19.3,33.2,39.4,99.9,,
2021-01-13,Khammam,Mudigonda,0.0,20.6,34.7,43.6,99.9,,
2021-01-14,Khammam,Mudigonda,0.0,22.3,34.6,46.8,99.9,,
2021-01-15,Khammam,Mudigonda,0.0,21.6,32.9,46.8,100.0,,
2021-01-16,Khammam,Mudigonda,0.0,19.8,34.1,42.9,100.0,,
2021-01-17,Khammam,Mudigonda,0.0,19.9,32.7,43.3,100.0,,
2021-01-18,Khammam,Mudigonda,0.0,19.4,32.8,47.6,99.9,,
2021-01-19,Khammam,Mudigonda,0.0,20.1,32.4,47.4,99.9,,
2021-01-20,Khammam,Mudigonda,0.0,18.9,33.0,50.8,100.0,,
2021-01-21,Khammam,Mudigonda,0.0,20.0,35.1,34.6,100.0,,
2021-01-22,Khammam,Mudigonda,0.0,20.8,34.7,43.5,99.9,,
2021-01-23,Khammam,Mudigonda,0.0,22.3,34.0,46.8,99.9,,
2021-01-24,Khammam,Mudigonda,0.0,20.0,35.2,43.4,99.9,,
2021-01-25,Khammam,Mudigonda,0.0,19.7,34.2,43.3,99.9,,
2021-01-26,Khammam,Mudigonda,0.0,18.7,35.1,43.9,97.7,,
2021-01-27,Khammam,Mudigonda,0.0,20.2,33.6,46.8,100.0,,
2021-01-28,Khammam,Mudigonda,0.0,20.5,32.4,50.6,100.0,,
2021-01-29,Khammam,Mudigonda,0.0,20.4,35.0,54.6,99.9,,
2021-01-30,Khammam,Mudigonda,0.0,20.7,33.6,40.7,99.9,,
2021-01-31,Khammam,Mudigonda,0.0,21.5,33.6,46.6,99.9,,
2021-02-01,Khammam,Mudigonda,0.0,21.1,34.8,47.8,99.9,,
2021-02-02,Khammam,Mudigonda,0.0,20.1,32.9,47.7,99.9,,
2021-02-03,Khammam,Mudigonda,0.0,19.4,34.9,30.7,99.9,,
2021-02-04,Khammam,Mudigonda,0.0,19.2,35.5,32.0,99.9,,
2021-02-05,Khammam,Mudigonda,0.0,17.2,35.6,30.5,99.9,,
2021-02-06,Khammam,Mudigonda,0.0,17.5,35.2,23.2,99.9,,
2021-02-07,Khammam,Mudigonda,0.0,19.3,33.2,34.1,99.9,,
2021-02-08,Khammam,Mudigonda,0.0,18.4,33.6,31.3,99.9,,
2021-02-09,Khammam,Mudigonda,0.0,19.2,33.2,39.4,99.9,,
2021-02-10,Khammam,Mudigonda,0.0,18.8,35.3,43.0,99.9,,
2021-02-11,Khammam,Mudigonda,0.0,18.8,35.8,39.4,99.9,,
2021-02-12,Khammam,Mudigonda,0.0,19.0,32.8,39.4,99.9,,
2021-02-13,Khammam,Mudigonda,0.0,19.3,33.2,45.8,99.9,,
2021-02-14,Khammam,Mudigonda,0.0,17.7,35.2,45.1,99.9,,
2021-02-15,Khammam,Mudigonda,0.0,19.1,35.6,34.9,99.9,,
2021-02-16,Khammam,Mudigonda,0.0,20.1,35.9,34.9,99.9,,
2021-02-17,Khammam,Mudigonda,0.0,19.0,35.6,39.4,99.9,,
2021-02-18,Khammam,Mudigonda,0.0,19.1,35.2,37.5,99.9,,
2021-02-19,Khammam,Mudigonda,0.0,19.5,33.3,48.9,99.9,,
2021-02-20,Khammam,Mudigonda,0.0,20.4,30.5,46.2,99.9,,
2021-02-21,Khammam,Mudigonda,0.0,19.9,32.9,39.1,99.9,,
2021-02-22,Khammam,Mudigonda,0.0,21.1,32.9,45.3,99.9,,
2021-02-23,Khammam,Mudigonda,0.0,20.3,35.4,40.5,99.9,,
2021-02-24,Khammam,Mudigonda,0.0,20.4,37.7,41.2,99.9,,
2021-02-25,Khammam,Mudigonda,0.0,19.7,37.5,38.2,99.9,,
2021-02-26,Khammam,Mudigonda,0.0,19.6,37.9,39.7,99.9,,
2021-02-27,Khammam,Mudigonda,0.0,20.3,38.0,23.2,99.9,,
2021-02-28,Khammam,Mudigonda,0.0,20.9,37.1,31.8,100.0,,
2021-03-01,Khammam,Mudigonda,0.0,21.6,39.5,39.7,100.0,,
2021-03-02,Khammam,Mudigonda,0.0,22.1,36.4,30.9,100.0,,
2021-03-03,Khammam,Mudigonda,0.0,20.3,35.3,31.2,99.9,,
2021-03-04,Khammam,Mudigonda,0.0,20.1,37.0,31.4,99.9,,
2021-03-05,Khammam,Mudigonda,0.0,19.3,37.2,25.0,99.9,,
2021-03-06,Khammam,Mudigonda,0.0,18.3,38.9,28.8,99.9,,
2021-03-07,Khammam,Mudigonda,0.0,20.2,36.9,25.7,99.9,,
2021-03-08,Khammam,Mudigonda,0.0,22.2,37.4,39.6,100.0,,
2021-03-09,Khammam,Mudigonda,0.0,21.7,35.1,44.6,99.9,,
2021-03-10,Khammam,Mudigonda,0.0,21.0,34.9,47.1,99.9,,
2021-03-11,Khammam,Mudigonda,0.0,21.7,35.6,46.9,99.9,,
2021-03-12,Khammam,Mudigonda,0.0,21.2,37.2,36.2,100.0,,
2021-03-13,Khammam,Mudigonda,0.0,19.0,37.4,39.7,99.9,,
2021-03-14,Khammam,Mudigonda,0.0,19.8,36.8,23.2,99.9,,
2021-03-15,Khammam,Mudigonda,0.0,21.7,37.3,24.8,99.9,,
2021-03-16,Khammam,Mudigonda,0.0,22.5,37.0,37.6,99.9,,
2021-03-17,Khammam,Mudigonda,0.0,23.6,36.6,47.1,99.9,,
2021-03-18,Khammam,Mudigonda,0.0,21.3,37.1,35.6,99.9,,
2021-03-19,Khammam,Mudigonda,0.0,21.6,37.3,44.0,99.9,,
2021-03-20,Khammam,Mudigonda,0.0,19.8,34.9,48.0,99.9,,
2021-03-21,Khammam,Mudigonda,0.0,21.5,36.9,30.3,99.9,,
2021-03-22,Khammam,Mudigonda,0.0,22.5,38.2,30.6,99.9,,
2021-03-23,Khammam,Mudigonda,0.0,20.9,37.3,36.6,99.9,,
2021-03-24,Khammam,Mudigonda,0.0,21.4,38.0,31.2,99.4,,
2021-03-25,Khammam,Mudigonda,0.0,21.5,38.0,33.2,97.7,,
2021-03-26,Khammam,Mudigonda,0.0,22.6,37.2,30.9,99.9,,
2021-03-27,Khammam,Mudigonda,0.0,22.7,37.4,31.2,99.9,,
2021-03-28,Khammam,Mudigonda,0.0,22.8,37.3,40.0,99.9,,
2021-03-29,Khammam,Mudigonda,0.0,23.8,37.1,34.9,99.9,,
2021-03-30,Khammam,Mudigonda,0.0,24.7,37.9,41.4,99.9,,
2021-03-31,Khammam,Mudigonda,0.0,22.7,38.8,31.4,99.9,,
2021-04-01,Khammam,Mudigonda,0.0,20.3,42.5,23.1,99.9,0.0,3.3
2021-04-02,Khammam,Mudigonda,0.0,22.8,42.4,17.2,99.9,0.0,1.8
2021-04-03,Khammam,Mudigonda,0.0,23.3,42.4,19.2,99.9,0.0,4.4
2021-04-04,Khammam,Mudigonda,0.0,25.9,40.0,40.2,99.9,0.0,5.3
2021-04-05,Khammam,Mudigonda,0.0,25.4,37.9,44.9,99.9,0.0,5.9
2021-04-06,Khammam,Mudigonda,1.9,25.0,39.4,48.8,99.9,0.0,7.0
2021-04-07,Khammam,Mudigonda,0.0,24.5,39.2,45.2,99.9,0.0,6.3
2021-04-08,Khammam,Mudigonda,0.0,24.8,39.8,45.9,99.9,0.0,5.2
2021-04-09,Khammam,Mudigonda,0.0,25.0,39.9,31.1,99.9,0.0,6.1
2021-04-10,Khammam,Mudigonda,0.0,22.6,37.4,46.9,99.9,0.0,5.6
2021-04-11,Khammam,Mudigonda,0.0,22.9,37.3,40.6,99.9,0.0,4.6
2021-04-12,Khammam,Mudigonda,0.0,25.8,39.9,39.7,99.9,0.0,5.9
2021-04-13,Khammam,Mudigonda,0.0,23.9,39.8,39.7,97.1,0.0,5.9
2021-04-14,Khammam,Mudigonda,0.3,21.6,38.3,39.9,89.5,0.0,6.7
2021-04-15,Khammam,Mudigonda,0.6,23.1,36.6,39.7,97.2,0.0,3.7
2021-04-16,Khammam,Mudigonda,0.0,23.7,38.6,33.7,99.9,0.0,2.1
2021-04-17,Khammam,Mudigonda,0.0,26.1,39.8,38.7,99.9,0.0,7.1
2021-04-18,Khammam,Mudigonda,0.0,25.1,40.2,34.1,99.9,0.0,5.2
2021-04-19,Khammam,Mudigonda,0.0,24.8,40.2,39.9,99.9,0.0,6.7
2021-04-20,Khammam,Mudigonda,0.0,27.8,41.7,33.5,99.9,0.0,5.6
2021-04-21,Khammam,Mudigonda,0.0,25.3,39.4,40.0,90.8,0.0,8.4
2021-04-22,Khammam,Mudigonda,0.0,24.4,39.8,47.5,99.9,0.0,7.0
2021-04-23,Khammam,Mudigonda,0.0,25.9,39.4,43.0,90.5,0.0,6.3
2021-04-24,Khammam,Mudigonda,0.0,25.7,39.3,40.0,86.0,0.0,4.6
2021-04-25,Khammam,Mudigonda,0.0,23.5,39.6,32.0,84.3,0.0,11.2
