Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Sathupalle,0.0,16.7,32.8,53.1,100.0,,
2021-01-02,Khammam,Sathupalle,0.0,15.0,30.7,52.2,100.0,,
2021-01-03,Khammam,Sathupalle,0.0,17.0,30.8,54.6,100.0,,
2021-01-04,Khammam,Sathupalle,0.0,17.2,31.4,44.0,100.0,,
2021-01-05,Khammam,Sathupalle,0.0,17.5,33.0,42.7,100.0,,
2021-01-06,Khammam,Sathupalle,0.0,20.3,34.4,34.8,99.9,,
2021-01-07,Khammam,Sathupalle,0.0,21.3,32.6,45.2,99.9,,
2021-01-08,Khammam,Sathupalle,0.0,20.6,33.1,56.3,99.9,,
2021-01-09,Khammam,Sathupalle,0.0,16.9,35.0,39.4,99.9,,
2021-01-10,Khammam,Sathupalle,0.0,16.7,33.0,30.7,100.0,,
2021-01-11,Khammam,Sathupalle,0.0,16.9,34.9,30.7,100.0,,
2021-01-12,Khammam,Sathupalle,0.0,18.7,32.8,41.1,100.0,,
2021-01-13,Khammam,Sathupalle,0.0,18.8,35.0,43.2,100.0,,
2021-01-14,Khammam,Sathupalle,0.0,21.0,34.6,46.8,99.9,,
2021-01-15,Khammam,Sathupalle,0.0,19.8,32.9,47.4,100.0,,
2021-01-16,Khammam,Sathupalle,0.0,18.5,33.1,50.1,100.0,,
2021-01-17,Khammam,Sathupalle,0.0,18.1,33.2,47.5,100.0,,
2021-01-18,Khammam,Sathupalle,0.0,18.9,32.8,49.3,99.9,,
2021-01-19,Khammam,Sathupalle,0.0,17.6,32.7,46.4,100.0,,
2021-01-20,Khammam,Sathupalle,0.0,17.7,33.0,46.8,100.0,,
2021-01-21,Khammam,Sathupalle,0.0,16.4,35.2,40.5,100.0,,
2021-01-22,Khammam,Sathupalle,0.0,18.9,35.1,45.4,100.0,,
2021-01-23,Khammam,Sathupalle,0.0,20.6,33.3,59.2,100.0,,
2021-01-24,Khammam,Sathupalle,0.0,18.5,32.9,45.9,100.0,,
2021-01-25,Khammam,Sathupalle,0.0,17.4,35.6,46.8,100.0,,
2021-01-26,Khammam,Sathupalle,0.0,17.8,34.8,47.3,100.0,,
2021-01-27,Khammam,Sathupalle,0.0,19.0,33.4,46.8,100.0,,
2021-01-28,Khammam,Sathupalle,0.0,19.0,34.9,55.1,100.0,,
2021-01-29,Khammam,Sathupalle,0.0,19.2,34.8,47.3,100.0,,
2021-01-30,Khammam,Sathupalle,0.0,19.6,35.3,46.9,100.0,,
2021-01-31,Khammam,Sathupalle,0.0,20.1,33.0,54.8,100.0,,
2021-02-01,Khammam,Sathupalle,0.0,20.5,34.7,51.4,100.0,,
2021-02-02,Khammam,Sathupalle,0.0,19.3,33.0,45.5,100.0,,
2021-02-03,Khammam,Sathupalle,0.0,18.2,33.6,30.7,100.0,,
2021-02-04,Khammam,Sathupalle,0.0,16.8,35.3,22.7,99.9,,
2021-02-05,Khammam,Sathupalle,0.0,16.5,33.7,22.9,100.0,,
2021-02-06,Khammam,Sathupalle,0.0,15.8,32.8,26.2,100.0,,
2021-02-07,Khammam,Sathupalle,0.0,17.1,33.9,30.7,100.0,,
2021-02-08,Khammam,Sathupalle,0.0,17.3,32.6,31.8,100.0,,
2021-02-09,Khammam,Sathupalle,0.0,17.1,33.2,39.2,99.9,,
