Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Vemsoor,0.0,18.6,30.3,49.8,83.2,,
2021-01-02,Khammam,Vemsoor,0.0,16.2,29.1,47.8,91.7,,
2021-01-03,Khammam,Vemsoor,0.0,17.1,30.0,45.3,82.1,,
2021-01-04,Khammam,Vemsoor,0.0,19.6,29.8,45.1,88.2,,
2021-01-05,Khammam,Vemsoor,0.0,19.7,30.3,47.4,81.3,,
2021-01-06,Khammam,Vemsoor,0.0,21.8,32.4,35.1,78.3,,
2021-01-07,Khammam,Vemsoor,0.0,21.9,32.6,50.1,94.2,,
2021-01-08,Khammam,Vemsoor,0.0,21.3,31.0,53.4,87.2,,
2021-01-09,Khammam,Vemsoor,0.0,18.2,33.6,36.1,79.1,,
2021-01-10,Khammam,Vemsoor,0.0,18.3,33.2,34.4,91.4,,
2021-01-11,Khammam,Vemsoor,0.0,18.6,33.2,33.8,80.9,,
2021-01-12,Khammam,Vemsoor,0.0,20.0,32.0,37.5,91.9,,
2021-01-13,Khammam,Vemsoor,0.0,20.5,34.1,38.6,80.2,,
2021-01-14,Khammam,Vemsoor,0.0,21.7,33.2,45.4,87.8,,
2021-01-15,Khammam,Vemsoor,0.0,21.7,33.2,45.4,93.1,,
2021-01-16,Khammam,Vemsoor,0.0,20.3,32.2,56.5,95.9,,
2021-01-17,Khammam,Vemsoor,0.0,19.8,31.8,48.9,95.8,,
2021-01-18,Khammam,Vemsoor,0.0,20.8,31.5,49.4,92.2,,
2021-01-19,Khammam,Vemsoor,0.0,19.6,31.5,45.3,92.0,,
2021-01-20,Khammam,Vemsoor,0.0,19.9,32.1,44.4,92.5,,
2021-01-21,Khammam,Vemsoor,0.0,18.5,34.0,31.9,92.0,,
2021-01-22,Khammam,Vemsoor,0.0,19.9,33.6,42.1,82.0,,
2021-01-23,Khammam,Vemsoor,0.0,20.7,32.2,62.3,96.1,,
2021-01-24,Khammam,Vemsoor,0.0,20.7,33.9,40.7,92.3,,
2021-01-25,Khammam,Vemsoor,0.0,19.6,32.3,45.1,92.4,,
2021-01-26,Khammam,Vemsoor,0.0,19.9,34.2,41.9,91.7,,
2021-01-27,Khammam,Vemsoor,0.0,20.2,33.5,42.9,92.3,,
2021-01-28,Khammam,Vemsoor,0.0,19.6,31.5,51.3,92.3,,
2021-01-29,Khammam,Vemsoor,0.0,19.3,32.8,46.1,88.5,,
2021-01-30,Khammam,Vemsoor,0.0,21.1,32.9,51.2,96.2,,
2021-01-31,Khammam,Vemsoor,0.0,20.9,32.0,56.5,96.2,,
2021-02-01,Khammam,Vemsoor,0.0,21.4,32.0,44.5,88.8,,
2021-02-02,Khammam,Vemsoor,0.0,20.1,31.9,47.9,92.4,,
2021-02-03,Khammam,Vemsoor,0.0,19.9,32.2,29.5,92.4,,
2021-02-04,Khammam,Vemsoor,0.0,18.5,32.1,26.2,79.2,,
2021-02-05,Khammam,Vemsoor,0.0,17.8,31.8,26.0,88.1,,
2021-02-06,Khammam,Vemsoor,0.0,17.7,32.9,29.1,83.0,,
2021-02-07,Khammam,Vemsoor,0.0,18.5,32.3,31.3,92.0,,
2021-02-08,Khammam,Vemsoor,0.0,19.4,31.4,34.0,91.6,,
2021-02-09,Khammam,Vemsoor,0.0,18.4,31.6,33.0,80.6,,
2021-02-10,Khammam,Vemsoor,0.0,20.0,32.0,40.1,96.0,,
2021-02-11,Khammam,Vemsoor,0.0,20.2,35.2,37.3,92.5,,
2021-02-12,Khammam,Vemsoor,0.0,19.7,33.2,39.2,82.6,,
2021-02-13,Khammam,Vemsoor,0.0,19.7,33.0,47.8,96.0,,
2021-02-14,Khammam,Vemsoor,0.0,19.5,33.0,43.1,92.3,,
2021-02-15,Khammam,Vemsoor,0.0,19.6,35.1,33.7,89.3,,
2021-02-16,Khammam,Vemsoor,0.0,21.0,34.7,34.7,92.3,,
2021-02-17,Khammam,Vemsoor,0.0,20.4,34.5,39.4,92.5,,
2021-02-18,Khammam,Vemsoor,0.0,19.8,33.8,34.6,87.8,,
2021-02-19,Khammam,Vemsoor,0.0,20.9,33.5,44.8,83.8,,
2021-02-20,Khammam,Vemsoor,0.0,20.5,29.2,49.0,74.5,,
2021-02-21,Khammam,Vemsoor,0.0,20.2,31.0,48.8,97.3,,
2021-02-22,Khammam,Vemsoor,0.0,20.9,31.1,47.3,91.4,,
2021-02-23,Khammam,Vemsoor,0.0,20.5,33.7,44.3,78.8,,
2021-02-24,Khammam,Vemsoor,0.0,20.5,35.8,35.8,81.7,,
2021-02-25,Khammam,Vemsoor,0.0,20.8,35.9,34.3,85.8,,
2021-02-26,Khammam,Vemsoor,0.0,19.2,37.1,32.6,81.0,,
2021-02-27,Khammam,Vemsoor,0.0,19.3,38.0,25.2,92.0,,
2021-02-28,Khammam,Vemsoor,0.0,21.5,36.3,29.2,92.2,,
2021-03-01,Khammam,Vemsoor,0.0,22.0,37.4,28.8,89.3,,
2021-03-02,Khammam,Vemsoor,0.0,19.9,36.9,30.6,92.0,,
2021-03-03,Khammam,Vemsoor,0.0,20.5,35.6,35.8,83.3,,
2021-03-04,Khammam,Vemsoor,0.0,18.6,37.9,24.9,92.1,,
2021-03-05,Khammam,Vemsoor,0.0,18.4,36.1,28.7,91.3,,
2021-03-06,Khammam,Vemsoor,0.0,19.6,36.3,26.7,86.1,,
2021-03-07,Khammam,Vemsoor,0.0,19.1,35.3,25.4,82.1,,
2021-03-08,Khammam,Vemsoor,0.0,23.1,37.2,39.2,89.2,,
2021-03-09,Khammam,Vemsoor,0.0,22.7,34.8,51.2,96.1,,
2021-03-10,Khammam,Vemsoor,0.0,19.2,34.7,43.0,86.3,,
2021-03-11,Khammam,Vemsoor,0.0,20.6,36.6,39.1,96.1,,
2021-03-12,Khammam,Vemsoor,0.0,21.1,37.1,27.9,91.5,,
2021-03-13,Khammam,Vemsoor,0.0,19.7,35.0,40.5,89.9,,
2021-03-14,Khammam,Vemsoor,0.0,19.0,36.2,15.2,78.3,,
2021-03-15,Khammam,Vemsoor,0.0,22.0,37.7,35.0,96.3,,
2021-03-16,Khammam,Vemsoor,0.0,23.7,35.8,28.9,84.3,,
2021-03-17,Khammam,Vemsoor,0.0,23.2,36.3,43.0,84.0,,
2021-03-18,Khammam,Vemsoor,0.0,21.8,37.3,41.5,95.9,,
2021-03-19,Khammam,Vemsoor,0.0,20.9,35.5,40.6,91.5,,
2021-03-20,Khammam,Vemsoor,0.0,20.9,35.8,34.4,85.3,,
2021-03-21,Khammam,Vemsoor,0.0,22.5,36.4,24.3,74.4,,
2021-03-22,Khammam,Vemsoor,0.0,23.3,36.0,40.1,95.8,,
2021-03-23,Khammam,Vemsoor,0.0,21.7,36.7,36.9,85.4,,
2021-03-24,Khammam,Vemsoor,0.0,22.0,38.5,26.2,70.1,,
2021-03-25,Khammam,Vemsoor,0.0,21.4,35.8,38.3,90.1,,
2021-03-26,Khammam,Vemsoor,0.0,21.7,35.9,41.6,91.9,,
2021-03-27,Khammam,Vemsoor,0.0,22.6,37.1,30.0,83.7,,
2021-03-28,Khammam,Vemsoor,0.0,23.8,35.9,40.7,92.0,,
2021-03-29,Khammam,Vemsoor,0.0,24.6,38.5,33.8,87.6,,
2021-03-30,Khammam,Vemsoor,0.0,25.6,39.7,43.4,99.9,,
2021-03-31,Khammam,Vemsoor,0.0,23.4,37.2,39.3,83.5,,
2021-04-01,Khammam,Vemsoor,0.0,20.5,41.2,18.0,82.6,0.0,10.1
2021-04-02,Khammam,Vemsoor,0.0,23.4,41.1,21.8,88.8,0.0,9.0
2021-04-03,Khammam,Vemsoor,0.0,24.6,39.9,24.4,86.9,0.0,10.7
2021-04-04,Khammam,Vemsoor,0.0,24.4,37.9,41.9,86.3,0.9,10.8
2021-04-05,Khammam,Vemsoor,0.0,25.7,37.6,51.2,94.7,1.6,2.6
2021-04-06,Khammam,Vemsoor,0.0,24.2,36.2,47.6,80.4,0.0,5.9
2021-04-07,Khammam,Vemsoor,0.0,23.9,36.8,44.7,84.0,0.0,6.3
2021-04-08,Khammam,Vemsoor,0.0,24.4,38.9,36.3,85.1,0.0,8.6
2021-04-09,Khammam,Vemsoor,0.0,23.0,37.5,37.6,85.6,0.0,6.5
2021-04-10,Khammam,Vemsoor,0.0,23.3,35.4,46.7,83.3,0.0,7.2
2021-04-11,Khammam,Vemsoor,0.0,23.1,36.7,35.5,82.7,0.0,5.6
2021-04-12,Khammam,Vemsoor,0.0,25.7,36.9,36.0,79.8,0.0,6.1
2021-04-13,Khammam,Vemsoor,0.0,22.7,36.8,37.0,78.2,0.0,13.1
2021-04-14,Khammam,Vemsoor,0.0,22.4,39.1,35.2,72.2,0.0,9.6
2021-04-15,Khammam,Vemsoor,2.0,22.8,35.1,38.4,88.1,0.0,9.0
2021-04-16,Khammam,Vemsoor,6.9,22.0,36.0,43.6,91.3,0.0,7.8
2021-04-17,Khammam,Vemsoor,0.0,25.2,37.6,36.9,85.9,0.0,6.5
2021-04-18,Khammam,Vemsoor,0.0,26.5,39.0,35.3,81.4,0.0,5.3
2021-04-19,Khammam,Vemsoor,0.0,24.7,38.3,42.8,83.2,0.0,6.7
2021-04-20,Khammam,Vemsoor,0.0,26.8,39.9,38.2,84.6,0.2,9.2
2021-04-21,Khammam,Vemsoor,0.0,25.9,37.6,45.2,69.9,2.8,6.9
2021-04-22,Khammam,Vemsoor,0.0,24.3,37.2,42.8,84.3,0.0,7.5
2021-04-23,Khammam,Vemsoor,0.0,25.4,36.5,45.1,75.0,0.0,6.6
2021-04-24,Khammam,Vemsoor,0.9,22.9,36.2,47.2,71.3,0.0,4.9
2021-04-25,Khammam,Vemsoor,0.0,24.9,38.2,36.3,80.2,0.0,9.1
2021-04-26,Khammam,Vemsoor,0.0,25.7,40.4,31.9,88.1,0.0,6.5
2021-04-27,Khammam,Vemsoor,0.0,24.8,38.8,36.3,81.1,0.0,9.5
2021-04-28,Khammam,Vemsoor,38.8,23.0,40.3,40.9,93.9,0.0,6.5
2021-04-29,Khammam,Vemsoor,0.0,25.1,40.4,48.1,94.7,0.0,5.5
2021-04-30,Khammam,Vemsoor,0.4,21.5,38.0,45.2,76.5,0.0,9.0
2021-05-01,Khammam,Vemsoor,0.0,24.7,36.9,0.0,0.0,0.0,0.0
2021-05-02,Khammam,Vemsoor,0.0,23.7,36.1,0.0,0.0,0.0,0.0
2021-05-03,Khammam,Vemsoor,0.0,23.6,38.6,0.0,0.0,0.0,0.0
2021-05-04,Khammam,Vemsoor,0.0,26.0,38.3,0.0,0.0,0.0,0.0
2021-05-05,Khammam,Vemsoor,0.0,24.2,36.1,0.0,0.0,0.0,0.0
2021-05-06,Khammam,Vemsoor,0.0,24.0,39.2,0.0,0.0,0.0,0.0
2021-05-07,Khammam,Vemsoor,0.0,24.6,37.3,0.0,0.0,0.0,0.0
2021-05-08,Khammam,Vemsoor,0.0,25.8,38.2,0.0,0.0,0.0,0.0
2021-05-09,Khammam,Vemsoor,0.0,26.4,38.1,0.0,0.0,0.0,0.0
2021-05-10,Khammam,Vemsoor,0.0,26.8,37.6,0.0,0.0,0.0,0.0
2021-05-11,Khammam,Vemsoor,0.0,26.6,38.4,0.0,0.0,0.0,0.0
2021-05-12,Khammam,Vemsoor,0.0,23.8,39.0,0.0,0.0,0.0,0.0
2021-05-13,Khammam,Vemsoor,0.0,26.7,37.7,0.0,0.0,0.0,0.0
2021-05-14,Khammam,Vemsoor,0.0,23.5,39.2,0.0,0.0,0.0,0.0
2021-05-15,Khammam,Vemsoor,0.0,26.4,38.2,0.0,0.0,0.0,0.0
2021-05-16,Khammam,Vemsoor,0.0,26.5,37.2,0.0,0.0,0.0,0.0
2021-05-17,Khammam,Vemsoor,3.0,26.7,32.9,68.0,89.1,0.0,8.0
2021-05-18,Khammam,Vemsoor,5.3,27.1,36.4,53.3,88.7,0.0,7.6
2021-05-19,Khammam,Vemsoor,0.7,26.8,38.1,49.7,89.3,0.0,6.7
2021-05-20,Khammam,Vemsoor,28.6,25.5,38.5,45.6,89.7,0.0,9.6
2021-05-21,Khammam,Vemsoor,3.0,25.2,37.0,46.1,88.9,0.0,5.7
2021-05-22,Khammam,Vemsoor,30.6,23.3,35.6,51.4,90.9,0.0,12.3
2021-05-23,Khammam,Vemsoor,0.0,25.1,34.9,57.4,86.8,0.0,8.3
2021-05-24,Khammam,Vemsoor,0.0,26.0,36.1,53.7,79.3,0.0,9.9
2021-05-25,Khammam,Vemsoor,0.0,28.0,36.4,43.9,80.1,0.0,6.6
2021-05-26,Khammam,Vemsoor,0.0,23.2,36.3,30.8,74.8,0.0,9.7
2021-05-27,Khammam,Vemsoor,0.0,29.4,39.6,24.4,62.6,0.0,14.5
2021-05-28,Khammam,Vemsoor,0.0,28.7,38.4,35.3,66.7,0.0,14.4
2021-05-29,Khammam,Vemsoor,0.0,27.8,38.0,42.4,74.5,0.0,8.9
2021-05-30,Khammam,Vemsoor,0.0,26.8,39.6,36.6,85.0,0.0,9.0
2021-05-31,Khammam,Vemsoor,0.0,27.1,39.2,39.7,82.7,0.0,10.2
2021-06-01,Khammam,Vemsoor,0.0,26.1,38.6,39.4,83.7,0.0,8.6
