Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Yerrupalem,0.0,17.2,29.8,48.9,91.9,,
2021-01-02,Khammam,Yerrupalem,0.0,15.6,29.8,45.9,95.4,,
2021-01-03,Khammam,Yerrupalem,0.0,17.5,29.5,44.0,91.9,,
2021-01-04,Khammam,Yerrupalem,0.0,15.5,29.8,43.4,95.9,,
2021-01-05,Khammam,Yerrupalem,0.0,20.5,30.7,45.3,87.3,,
2021-01-06,Khammam,Yerrupalem,0.0,22.6,31.8,47.5,87.8,,
2021-01-07,Khammam,Yerrupalem,0.0,21.5,29.5,42.2,89.2,,
2021-01-08,Khammam,Yerrupalem,0.0,20.9,30.3,56.1,93.1,,
2021-01-09,Khammam,Yerrupalem,0.0,19.2,32.2,48.7,91.9,,
2021-01-10,Khammam,Yerrupalem,0.0,17.2,31.1,41.3,95.4,,
2021-01-11,Khammam,Yerrupalem,0.0,17.5,32.7,35.8,94.4,,
2021-01-12,Khammam,Yerrupalem,0.0,16.8,31.1,41.3,95.1,,
2021-01-13,Khammam,Yerrupalem,0.0,17.7,31.9,42.0,95.1,,
2021-01-14,Khammam,Yerrupalem,0.0,18.3,31.5,46.8,95.1,,
2021-01-15,Khammam,Yerrupalem,0.0,19.3,31.7,48.7,94.6,,
2021-01-16,Khammam,Yerrupalem,0.0,17.8,33.5,43.2,95.4,,
2021-01-17,Khammam,Yerrupalem,0.0,16.9,34.2,37.0,95.9,,
2021-01-18,Khammam,Yerrupalem,0.0,17.4,31.4,48.1,95.4,,
2021-01-19,Khammam,Yerrupalem,0.0,17.3,30.8,46.2,95.4,,
2021-01-20,Khammam,Yerrupalem,0.0,16.0,31.2,46.8,95.6,,
2021-01-21,Khammam,Yerrupalem,0.0,17.2,33.1,45.6,95.4,,
2021-01-22,Khammam,Yerrupalem,0.0,18.6,33.5,37.6,94.4,,
2021-01-23,Khammam,Yerrupalem,0.0,20.1,32.7,46.8,95.1,,
2021-01-24,Khammam,Yerrupalem,0.0,18.4,32.7,42.6,95.6,,
2021-01-25,Khammam,Yerrupalem,0.0,16.7,33.1,43.2,93.6,,
2021-01-26,Khammam,Yerrupalem,0.0,16.4,32.5,45.0,94.6,,
2021-01-27,Khammam,Yerrupalem,0.0,18.4,33.6,38.9,94.6,,
2021-01-28,Khammam,Yerrupalem,0.0,18.6,31.1,46.8,95.6,,
2021-01-29,Khammam,Yerrupalem,0.0,19.2,31.1,49.3,95.1,,
2021-01-30,Khammam,Yerrupalem,0.0,18.3,32.2,42.6,95.6,,
2021-01-31,Khammam,Yerrupalem,0.0,19.9,32.2,51.8,95.1,,
2021-02-01,Khammam,Yerrupalem,0.0,20.5,32.3,44.4,93.1,,
2021-02-02,Khammam,Yerrupalem,0.0,18.3,32.0,46.2,94.9,,
2021-02-03,Khammam,Yerrupalem,0.0,19.7,32.6,37.0,85.2,,
2021-02-04,Khammam,Yerrupalem,0.0,15.8,33.0,31.7,97.6,,
2021-02-05,Khammam,Yerrupalem,0.0,13.9,31.3,28.1,94.6,,
2021-02-06,Khammam,Yerrupalem,0.0,15.6,32.6,24.4,93.6,,
2021-02-07,Khammam,Yerrupalem,0.0,16.3,32.5,30.2,93.1,,
2021-02-08,Khammam,Yerrupalem,0.0,17.4,31.5,37.6,94.4,,
2021-02-09,Khammam,Yerrupalem,0.0,16.5,31.8,38.6,94.1,,
2021-02-10,Khammam,Yerrupalem,0.0,16.8,31.9,36.1,94.6,,
2021-02-11,Khammam,Yerrupalem,0.0,17.0,32.2,38.9,94.6,,
2021-02-12,Khammam,Yerrupalem,0.0,17.0,31.9,42.6,93.9,,
2021-02-13,Khammam,Yerrupalem,0.0,17.0,32.5,38.9,94.4,,
2021-02-14,Khammam,Yerrupalem,0.0,15.6,31.9,43.2,94.6,,
2021-02-15,Khammam,Yerrupalem,0.0,19.4,33.8,31.2,94.4,,
2021-02-16,Khammam,Yerrupalem,0.0,17.9,33.9,35.5,93.4,,
2021-02-17,Khammam,Yerrupalem,0.0,16.6,33.3,35.8,93.6,,
2021-02-18,Khammam,Yerrupalem,0.0,18.1,32.7,36.4,93.4,,
2021-02-19,Khammam,Yerrupalem,0.0,20.1,31.8,41.3,88.7,,
2021-02-20,Khammam,Yerrupalem,0.0,20.8,28.9,56.1,85.4,,
2021-02-21,Khammam,Yerrupalem,0.0,22.3,31.2,43.2,82.1,,
2021-02-22,Khammam,Yerrupalem,0.0,20.1,31.4,47.5,93.1,,
2021-02-23,Khammam,Yerrupalem,0.0,18.7,33.0,45.0,93.4,,
2021-02-24,Khammam,Yerrupalem,0.0,18.9,34.5,35.5,93.4,,
2021-02-25,Khammam,Yerrupalem,0.0,18.1,35.5,33.4,93.4,,
2021-02-26,Khammam,Yerrupalem,0.0,17.3,36.7,27.1,92.9,,
2021-02-27,Khammam,Yerrupalem,0.0,18.5,38.0,21.2,92.4,,
2021-02-28,Khammam,Yerrupalem,0.0,19.6,37.0,33.0,94.4,,
2021-03-01,Khammam,Yerrupalem,0.0,19.8,37.0,33.7,95.1,,
2021-03-02,Khammam,Yerrupalem,0.0,20.9,35.5,30.7,93.6,,
2021-03-03,Khammam,Yerrupalem,0.0,18.2,34.6,39.2,90.4,,
