Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Kammarpalle,0.0,17.0,29.2,45.9,91.6,,
2021-01-02,Nizamabad,Kammarpalle,0.0,16.3,28.1,50.4,93.4,,
2021-01-03,Nizamabad,Kammarpalle,0.0,15.8,28.9,45.8,90.7,,
2021-01-04,Nizamabad,Kammarpalle,0.0,16.4,29.2,45.3,89.4,,
2021-01-05,Nizamabad,Kammarpalle,0.0,15.9,30.5,34.8,90.9,,
2021-01-06,Nizamabad,Kammarpalle,0.0,19.8,30.2,43.5,90.0,,
2021-01-07,Nizamabad,Kammarpalle,0.0,21.3,29.5,56.3,87.4,,
2021-01-08,Nizamabad,Kammarpalle,0.3,20.3,25.4,68.3,95.0,,
2021-01-09,Nizamabad,Kammarpalle,0.0,18.9,31.8,34.9,93.6,,
2021-01-10,Nizamabad,Kammarpalle,0.0,17.3,31.9,24.6,88.4,,
2021-01-11,Nizamabad,Kammarpalle,0.0,16.4,32.7,23.4,83.3,,
2021-01-12,Nizamabad,Kammarpalle,0.0,17.3,31.3,40.1,91.4,,
2021-01-13,Nizamabad,Kammarpalle,0.0,17.5,32.2,40.4,92.3,,
2021-01-14,Nizamabad,Kammarpalle,0.0,16.5,33.0,33.6,88.6,,
2021-01-15,Nizamabad,Kammarpalle,0.0,15.9,32.8,33.6,88.6,,
2021-01-16,Nizamabad,Kammarpalle,0.0,16.8,31.8,36.5,88.1,,
2021-01-17,Nizamabad,Kammarpalle,0.0,17.5,31.8,31.9,88.1,,
2021-01-18,Nizamabad,Kammarpalle,0.0,17.7,30.8,42.6,88.2,,
2021-01-19,Nizamabad,Kammarpalle,0.0,16.8,30.4,43.3,91.3,,
2021-01-20,Nizamabad,Kammarpalle,0.0,18.1,33.2,34.3,89.4,,
2021-01-21,Nizamabad,Kammarpalle,0.0,19.0,34.1,33.7,85.5,,
2021-01-22,Nizamabad,Kammarpalle,0.0,17.3,30.8,40.8,85.6,,
2021-01-23,Nizamabad,Kammarpalle,0.0,16.9,33.0,37.1,89.2,,
2021-01-24,Nizamabad,Kammarpalle,0.0,18.2,33.8,32.2,91.7,,
2021-01-25,Nizamabad,Kammarpalle,0.0,18.4,34.0,34.8,89.2,,
2021-01-26,Nizamabad,Kammarpalle,0.0,18.5,33.7,36.3,89.7,,
2021-01-27,Nizamabad,Kammarpalle,0.0,18.9,33.1,35.3,90.2,,
2021-01-28,Nizamabad,Kammarpalle,0.0,19.8,32.2,41.2,90.9,,
2021-01-29,Nizamabad,Kammarpalle,0.0,19.3,32.3,36.8,91.3,,
2021-01-30,Nizamabad,Kammarpalle,0.0,19.1,32.1,39.6,87.0,,
2021-01-31,Nizamabad,Kammarpalle,0.0,18.6,29.7,51.0,76.8,,
2021-02-01,Nizamabad,Kammarpalle,0.0,18.0,30.1,46.0,78.9,,
2021-02-02,Nizamabad,Kammarpalle,0.0,14.6,30.4,34.9,91.0,,
2021-02-03,Nizamabad,Kammarpalle,0.0,13.3,32.1,17.9,85.5,,
2021-02-04,Nizamabad,Kammarpalle,0.0,13.8,30.8,14.7,78.4,,
2021-02-05,Nizamabad,Kammarpalle,0.0,13.6,30.3,24.7,81.8,,
2021-02-06,Nizamabad,Kammarpalle,0.0,16.4,32.5,21.2,79.7,,
2021-02-07,Nizamabad,Kammarpalle,0.0,15.3,30.4,28.8,73.0,,
2021-02-08,Nizamabad,Kammarpalle,0.0,12.6,29.1,31.1,84.7,,
2021-02-09,Nizamabad,Kammarpalle,0.0,12.5,29.0,19.5,87.3,,
2021-02-10,Nizamabad,Kammarpalle,0.0,13.0,30.7,21.4,88.3,,
2021-02-11,Nizamabad,Kammarpalle,0.0,14.4,31.4,21.8,87.1,,
2021-02-12,Nizamabad,Kammarpalle,0.0,16.1,31.8,25.5,90.5,,
2021-02-13,Nizamabad,Kammarpalle,0.0,16.2,31.6,30.2,85.1,,
2021-02-14,Nizamabad,Kammarpalle,0.0,17.2,31.5,32.7,88.3,,
2021-02-15,Nizamabad,Kammarpalle,0.0,18.7,32.3,33.8,78.5,,
2021-02-16,Nizamabad,Kammarpalle,0.0,19.5,33.7,29.5,77.7,,
2021-02-17,Nizamabad,Kammarpalle,0.0,19.8,33.5,26.8,77.1,,
2021-02-18,Nizamabad,Kammarpalle,0.0,17.9,30.8,35.6,89.0,,
2021-02-19,Nizamabad,Kammarpalle,0.2,18.2,29.0,49.8,85.1,,
2021-02-20,Nizamabad,Kammarpalle,0.2,15.8,24.0,64.9,96.3,,
2021-02-21,Nizamabad,Kammarpalle,0.0,17.3,29.6,40.7,90.7,,
2021-02-22,Nizamabad,Kammarpalle,0.0,18.5,30.0,41.5,85.2,,
2021-02-23,Nizamabad,Kammarpalle,0.0,16.8,33.1,29.0,90.4,,
2021-02-24,Nizamabad,Kammarpalle,0.0,16.2,34.2,26.7,87.0,,
2021-02-25,Nizamabad,Kammarpalle,0.0,17.2,35.4,20.5,81.4,,
2021-02-26,Nizamabad,Kammarpalle,0.0,18.4,36.2,20.0,77.7,,
2021-02-27,Nizamabad,Kammarpalle,0.0,19.4,36.0,22.5,81.8,,
2021-02-28,Nizamabad,Kammarpalle,0.0,18.2,35.8,19.8,82.2,,
2021-03-01,Nizamabad,Kammarpalle,0.0,22.9,36.8,15.1,64.8,,
2021-03-02,Nizamabad,Kammarpalle,0.0,20.3,36.3,20.3,84.5,,
2021-03-03,Nizamabad,Kammarpalle,0.0,19.5,36.0,19.8,84.3,,
2021-03-04,Nizamabad,Kammarpalle,0.0,18.1,35.2,18.1,76.6,,
2021-03-05,Nizamabad,Kammarpalle,0.0,18.8,35.6,13.8,73.2,,
2021-03-06,Nizamabad,Kammarpalle,0.0,19.4,35.3,18.7,67.6,,
2021-03-07,Nizamabad,Kammarpalle,0.0,19.4,36.2,17.5,72.2,,
