Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Nizamabad_Rural,0.0,16.7,29.5,52.2,99.9,,
2021-01-02,Nizamabad,Nizamabad_Rural,0.0,16.8,28.7,60.9,100.0,,
2021-01-03,Nizamabad,Nizamabad_Rural,0.0,16.3,29.7,50.6,99.0,,
2021-01-04,Nizamabad,Nizamabad_Rural,0.0,16.0,29.8,54.3,100.0,,
2021-01-05,Nizamabad,Nizamabad_Rural,0.0,15.8,30.6,43.3,98.7,,
2021-01-06,Nizamabad,Nizamabad_Rural,0.0,18.5,30.1,53.1,98.6,,
2021-01-07,Nizamabad,Nizamabad_Rural,0.0,21.7,28.4,71.2,95.3,,
2021-01-08,Nizamabad,Nizamabad_Rural,0.0,21.2,26.3,78.3,99.2,,
2021-01-09,Nizamabad,Nizamabad_Rural,0.0,19.7,31.7,49.0,98.9,,
2021-01-10,Nizamabad,Nizamabad_Rural,0.0,18.1,31.6,30.8,97.6,,
2021-01-11,Nizamabad,Nizamabad_Rural,0.0,17.0,31.3,35.5,98.6,,
2021-01-12,Nizamabad,Nizamabad_Rural,0.0,18.5,32.2,46.1,99.6,,
2021-01-13,Nizamabad,Nizamabad_Rural,0.0,19.3,32.5,47.4,99.6,,
2021-01-14,Nizamabad,Nizamabad_Rural,0.0,17.6,32.6,43.9,97.4,,
2021-01-15,Nizamabad,Nizamabad_Rural,0.0,17.3,32.0,43.8,99.9,,
2021-01-16,Nizamabad,Nizamabad_Rural,0.0,17.4,33.0,39.5,100.0,,
2021-01-17,Nizamabad,Nizamabad_Rural,0.0,17.9,32.2,42.4,98.6,,
2021-01-18,Nizamabad,Nizamabad_Rural,0.0,17.8,31.4,50.3,100.0,,
2021-01-19,Nizamabad,Nizamabad_Rural,0.0,17.9,31.2,50.4,99.6,,
2021-01-20,Nizamabad,Nizamabad_Rural,0.0,18.4,33.6,47.4,100.0,,
2021-01-21,Nizamabad,Nizamabad_Rural,0.0,19.1,34.4,39.1,96.6,,
2021-01-22,Nizamabad,Nizamabad_Rural,0.0,18.9,32.0,47.1,97.9,,
2021-01-23,Nizamabad,Nizamabad_Rural,0.0,17.9,32.6,42.4,99.6,,
2021-01-24,Nizamabad,Nizamabad_Rural,0.0,18.8,35.2,36.8,97.7,,
2021-01-25,Nizamabad,Nizamabad_Rural,0.0,18.4,33.9,42.8,98.4,,
2021-01-26,Nizamabad,Nizamabad_Rural,0.0,18.8,34.2,41.9,100.0,,
2021-01-27,Nizamabad,Nizamabad_Rural,0.0,19.4,33.1,43.9,100.0,,
2021-01-28,Nizamabad,Nizamabad_Rural,0.0,20.1,34.3,40.5,97.6,,
2021-01-29,Nizamabad,Nizamabad_Rural,0.0,18.9,34.0,48.7,100.0,,
2021-01-30,Nizamabad,Nizamabad_Rural,0.0,19.3,33.4,43.6,100.0,,
2021-01-31,Nizamabad,Nizamabad_Rural,0.0,18.6,29.9,58.5,93.8,,
2021-02-01,Nizamabad,Nizamabad_Rural,0.0,17.6,30.2,55.2,97.1,,
2021-02-02,Nizamabad,Nizamabad_Rural,0.0,15.0,30.5,46.4,99.6,,
2021-02-03,Nizamabad,Nizamabad_Rural,0.0,13.9,32.3,24.9,100.0,,
2021-02-04,Nizamabad,Nizamabad_Rural,0.0,13.6,31.4,21.4,97.4,,
2021-02-05,Nizamabad,Nizamabad_Rural,0.0,13.7,30.2,28.7,97.4,,
2021-02-06,Nizamabad,Nizamabad_Rural,0.0,15.2,33.9,31.9,98.2,,
2021-02-07,Nizamabad,Nizamabad_Rural,0.0,14.5,32.3,33.6,91.8,,
2021-02-08,Nizamabad,Nizamabad_Rural,0.0,12.0,29.8,32.9,97.9,,
2021-02-09,Nizamabad,Nizamabad_Rural,0.0,11.6,32.3,15.8,98.9,,
2021-02-10,Nizamabad,Nizamabad_Rural,0.0,12.5,31.9,22.1,97.0,,
2021-02-11,Nizamabad,Nizamabad_Rural,0.0,13.7,33.1,24.0,98.1,,
2021-02-12,Nizamabad,Nizamabad_Rural,0.0,14.7,34.8,21.7,94.6,,
2021-02-13,Nizamabad,Nizamabad_Rural,0.0,16.4,31.8,43.2,89.0,,
2021-02-14,Nizamabad,Nizamabad_Rural,0.0,16.7,30.5,43.0,91.0,,
2021-02-15,Nizamabad,Nizamabad_Rural,0.0,17.4,30.5,49.0,92.0,,
2021-02-16,Nizamabad,Nizamabad_Rural,0.0,20.4,35.4,36.2,90.2,,
2021-02-17,Nizamabad,Nizamabad_Rural,0.0,17.8,34.8,32.7,94.5,,
2021-02-18,Nizamabad,Nizamabad_Rural,0.0,18.0,31.7,39.3,97.4,,
2021-02-19,Nizamabad,Nizamabad_Rural,0.0,16.6,28.5,48.6,97.2,,
2021-02-20,Nizamabad,Nizamabad_Rural,1.5,15.0,22.3,81.5,100.0,,
2021-02-21,Nizamabad,Nizamabad_Rural,0.0,16.8,29.0,51.8,98.6,,
2021-02-22,Nizamabad,Nizamabad_Rural,0.0,17.4,31.2,52.7,99.6,,
2021-02-23,Nizamabad,Nizamabad_Rural,0.0,16.2,34.2,28.1,98.7,,
2021-02-24,Nizamabad,Nizamabad_Rural,0.0,16.0,36.4,27.6,98.2,,
2021-02-25,Nizamabad,Nizamabad_Rural,0.0,16.2,35.5,24.6,95.7,,
2021-02-26,Nizamabad,Nizamabad_Rural,0.0,17.8,37.5,24.9,89.0,,
2021-02-27,Nizamabad,Nizamabad_Rural,0.0,17.8,36.3,21.7,97.0,,
2021-02-28,Nizamabad,Nizamabad_Rural,0.0,18.2,37.8,21.7,95.5,,
2021-03-01,Nizamabad,Nizamabad_Rural,0.0,22.8,37.7,15.3,75.6,,
2021-03-02,Nizamabad,Nizamabad_Rural,0.0,19.2,37.5,24.3,93.9,,
2021-03-03,Nizamabad,Nizamabad_Rural,0.0,18.5,38.2,15.4,89.0,,
2021-03-04,Nizamabad,Nizamabad_Rural,0.0,17.2,36.6,17.8,94.0,,
2021-03-05,Nizamabad,Nizamabad_Rural,0.0,17.4,36.5,19.5,89.3,,
2021-03-06,Nizamabad,Nizamabad_Rural,0.0,17.4,38.5,19.2,83.5,,
