Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Rudrur,0.0,17.2,28.2,46.5,75.0,,
2021-01-02,Nizamabad,Rudrur,0.0,16.6,28.2,50.7,87.2,,
2021-01-03,Nizamabad,Rudrur,0.0,17.8,29.3,44.5,87.6,,
2021-01-04,Nizamabad,Rudrur,0.0,18.3,27.8,52.3,86.9,,
2021-01-05,Nizamabad,Rudrur,0.0,16.1,32.0,27.1,74.6,,
2021-01-06,Nizamabad,Rudrur,0.0,19.3,28.7,48.9,75.0,,
2021-01-07,Nizamabad,Rudrur,0.5,20.8,28.3,62.3,74.8,,
2021-01-08,Nizamabad,Rudrur,0.0,21.1,27.8,62.9,75.0,,
2021-01-09,Nizamabad,Rudrur,0.0,20.6,30.1,46.6,74.7,,
2021-01-10,Nizamabad,Rudrur,0.0,18.7,32.0,26.8,74.4,,
2021-01-11,Nizamabad,Rudrur,0.0,17.0,31.2,39.2,74.9,,
2021-01-12,Nizamabad,Rudrur,0.0,17.5,32.0,31.4,74.7,,
2021-01-13,Nizamabad,Rudrur,0.0,18.3,29.9,48.2,74.6,,
2021-01-14,Nizamabad,Rudrur,0.0,17.8,31.0,38.7,75.0,,
2021-01-15,Nizamabad,Rudrur,0.0,17.6,30.6,38.4,75.0,,
2021-01-16,Nizamabad,Rudrur,0.0,18.1,30.5,45.4,74.9,,
2021-01-17,Nizamabad,Rudrur,0.0,18.8,30.8,42.4,74.8,,
2021-01-18,Nizamabad,Rudrur,0.0,20.7,30.9,42.4,74.2,,
2021-01-19,Nizamabad,Rudrur,0.0,18.3,30.1,45.6,75.0,,
2021-01-20,Nizamabad,Rudrur,0.0,20.7,31.9,38.3,72.0,,
2021-01-21,Nizamabad,Rudrur,0.0,19.4,33.9,32.1,74.6,,
2021-01-22,Nizamabad,Rudrur,0.0,19.7,30.5,42.4,74.6,,
2021-01-23,Nizamabad,Rudrur,0.0,18.3,31.7,36.0,74.6,,
2021-01-24,Nizamabad,Rudrur,0.0,20.1,31.5,37.4,74.5,,
2021-01-25,Nizamabad,Rudrur,0.0,20.9,31.4,44.5,74.5,,
2021-01-26,Nizamabad,Rudrur,0.0,22.0,31.9,45.9,70.1,,
2021-01-27,Nizamabad,Rudrur,0.0,19.6,31.6,40.8,75.0,,
2021-01-28,Nizamabad,Rudrur,0.0,22.4,32.9,34.3,73.1,,
2021-01-29,Nizamabad,Rudrur,0.0,20.8,31.7,39.0,74.2,,
2021-01-30,Nizamabad,Rudrur,0.0,20.7,31.6,38.1,74.8,,
2021-01-31,Nizamabad,Rudrur,0.0,19.3,28.4,57.0,74.9,,
2021-02-01,Nizamabad,Rudrur,0.0,19.2,29.2,49.1,75.2,,
2021-02-02,Nizamabad,Rudrur,0.0,16.5,30.1,40.5,75.5,,
2021-02-03,Nizamabad,Rudrur,0.0,14.6,30.2,25.8,74.8,,
2021-02-04,Nizamabad,Rudrur,0.0,14.0,30.7,22.1,74.3,,
2021-02-05,Nizamabad,Rudrur,0.0,16.1,30.1,23.0,69.5,,
2021-02-06,Nizamabad,Rudrur,0.0,16.7,30.9,24.7,74.0,,
2021-02-07,Nizamabad,Rudrur,0.0,17.1,29.0,36.0,74.2,,
2021-02-08,Nizamabad,Rudrur,0.0,12.6,27.6,38.1,75.2,,
2021-02-09,Nizamabad,Rudrur,0.0,12.2,27.8,23.3,71.6,,
2021-02-10,Nizamabad,Rudrur,0.0,13.9,29.6,22.8,74.7,,
2021-02-11,Nizamabad,Rudrur,0.0,16.0,30.7,26.3,74.1,,
2021-02-12,Nizamabad,Rudrur,0.0,16.8,31.0,26.7,75.0,,
2021-02-13,Nizamabad,Rudrur,0.0,18.7,31.3,31.7,66.8,,
2021-02-14,Nizamabad,Rudrur,0.0,21.2,31.0,36.6,64.9,,
2021-02-15,Nizamabad,Rudrur,0.0,21.5,31.7,33.3,58.4,,
2021-02-16,Nizamabad,Rudrur,0.0,24.3,32.7,28.3,64.9,,
2021-02-17,Nizamabad,Rudrur,0.0,20.4,34.7,22.8,69.7,,
2021-02-18,Nizamabad,Rudrur,0.0,18.2,31.1,35.2,75.2,,
2021-02-19,Nizamabad,Rudrur,1.0,17.2,28.7,33.9,74.7,,
2021-02-20,Nizamabad,Rudrur,0.0,15.5,22.6,61.0,75.1,,
2021-02-21,Nizamabad,Rudrur,0.0,18.2,28.1,42.0,74.4,,
2021-02-22,Nizamabad,Rudrur,0.0,17.5,29.1,45.6,74.7,,
2021-02-23,Nizamabad,Rudrur,0.0,17.7,30.5,38.7,74.5,,
2021-02-24,Nizamabad,Rudrur,0.0,16.4,32.1,26.4,74.5,,
2021-02-25,Nizamabad,Rudrur,0.0,17.3,33.1,26.8,70.9,,
2021-02-26,Nizamabad,Rudrur,0.0,18.6,34.9,22.3,71.7,,
2021-02-27,Nizamabad,Rudrur,0.0,18.8,34.5,28.3,72.4,,
2021-02-28,Nizamabad,Rudrur,0.0,18.4,35.4,21.6,71.5,,
2021-03-01,Nizamabad,Rudrur,0.0,23.5,35.1,18.9,58.4,,
2021-03-02,Nizamabad,Rudrur,0.0,21.0,35.8,19.7,72.7,,
2021-03-03,Nizamabad,Rudrur,0.0,19.0,34.7,19.6,74.1,,
2021-03-04,Nizamabad,Rudrur,0.0,18.0,33.6,23.6,70.0,,
2021-03-05,Nizamabad,Rudrur,0.0,19.7,34.1,21.0,62.2,,
2021-03-06,Nizamabad,Rudrur,0.0,18.9,34.7,21.6,62.3,,
2021-03-07,Nizamabad,Rudrur,0.0,20.8,34.9,21.1,61.3,,
2021-03-08,Nizamabad,Rudrur,0.0,19.9,36.6,16.6,70.9,,
2021-03-09,Nizamabad,Rudrur,0.0,23.4,34.8,26.6,67.9,,
2021-03-10,Nizamabad,Rudrur,0.0,22.1,34.4,28.3,66.0,,
2021-03-11,Nizamabad,Rudrur,0.0,21.1,34.0,30.7,69.7,,
2021-03-12,Nizamabad,Rudrur,0.0,20.4,34.9,21.4,73.0,,
2021-03-13,Nizamabad,Rudrur,0.0,19.8,34.5,22.1,70.0,,
2021-03-14,Nizamabad,Rudrur,0.0,18.4,32.1,30.8,63.1,,
2021-03-15,Nizamabad,Rudrur,0.0,19.2,33.3,22.8,64.4,,
2021-03-16,Nizamabad,Rudrur,0.0,21.2,34.3,25.2,57.4,,
2021-03-17,Nizamabad,Rudrur,0.0,21.8,33.6,32.2,64.9,,
2021-03-18,Nizamabad,Rudrur,0.0,24.8,35.6,26.3,66.7,,
2021-03-19,Nizamabad,Rudrur,0.0,22.8,35.6,25.7,68.7,,
2021-03-20,Nizamabad,Rudrur,0.0,22.1,34.8,25.6,70.8,,
2021-03-21,Nizamabad,Rudrur,0.0,20.8,32.9,38.1,70.4,,
2021-03-22,Nizamabad,Rudrur,0.0,22.2,33.4,29.1,67.5,,
2021-03-23,Nizamabad,Rudrur,0.0,22.2,32.7,38.0,70.4,,
2021-03-24,Nizamabad,Rudrur,0.0,20.9,31.9,41.6,71.7,,
2021-03-25,Nizamabad,Rudrur,0.0,21.1,32.8,31.9,72.4,,
2021-03-26,Nizamabad,Rudrur,0.0,22.2,35.3,22.7,66.7,,
2021-03-27,Nizamabad,Rudrur,0.0,21.9,34.6,30.8,67.3,,
2021-03-28,Nizamabad,Rudrur,0.0,21.2,36.7,18.5,69.0,,
2021-03-29,Nizamabad,Rudrur,0.0,22.6,37.0,15.9,65.1,,
2021-03-30,Nizamabad,Rudrur,0.0,22.1,38.8,15.6,66.1,,
2021-03-31,Nizamabad,Rudrur,0.0,23.8,38.6,17.1,63.3,,
2021-04-01,Nizamabad,Rudrur,0.0,24.1,39.1,11.5,39.5,0.0,11.8
2021-04-02,Nizamabad,Rudrur,0.0,23.3,37.8,17.1,43.5,0.0,15.0
2021-04-03,Nizamabad,Rudrur,0.0,23.5,39.1,15.8,41.7,0.0,10.4
2021-04-04,Nizamabad,Rudrur,0.0,23.8,39.7,13.8,50.8,0.0,9.0
2021-04-05,Nizamabad,Rudrur,0.0,21.8,36.9,18.7,57.9,0.0,10.6
2021-04-06,Nizamabad,Rudrur,0.0,24.1,36.7,28.9,74.3,0.0,15.7
2021-04-07,Nizamabad,Rudrur,0.0,23.3,39.2,20.4,74.7,0.0,19.5
2021-04-08,Nizamabad,Rudrur,0.0,27.0,39.0,19.7,56.4,0.0,14.5
2021-04-09,Nizamabad,Rudrur,0.0,25.7,35.7,25.6,54.3,0.0,12.9
2021-04-10,Nizamabad,Rudrur,0.0,25.4,36.8,21.3,65.2,0.0,0.9
2021-04-11,Nizamabad,Rudrur,0.5,23.9,37.4,25.8,74.5,0.0,14.9
2021-04-12,Nizamabad,Rudrur,0.0,23.6,35.0,31.9,72.5,0.0,10.4
2021-04-13,Nizamabad,Rudrur,0.0,24.1,34.1,34.5,70.8,0.0,13.6
2021-04-14,Nizamabad,Rudrur,5.8,22.2,35.0,35.3,74.4,0.0,15.5
2021-04-15,Nizamabad,Rudrur,0.0,21.8,34.6,31.0,67.2,0.0,17.4
2021-04-16,Nizamabad,Rudrur,0.0,23.6,34.1,31.1,67.5,0.0,12.7
2021-04-17,Nizamabad,Rudrur,0.0,24.4,36.4,22.5,61.6,0.0,13.7
2021-04-18,Nizamabad,Rudrur,0.0,22.8,37.9,23.6,73.7,0.0,14.2
2021-04-19,Nizamabad,Rudrur,0.0,26.2,37.9,21.6,60.5,0.0,13.7
2021-04-20,Nizamabad,Rudrur,0.0,26.8,39.6,16.9,53.5,0.0,10.0
2021-04-21,Nizamabad,Rudrur,0.0,27.8,39.2,16.8,54.0,0.0,12.9
2021-04-22,Nizamabad,Rudrur,0.0,23.5,38.1,26.3,68.7,0.0,11.2
2021-04-23,Nizamabad,Rudrur,0.0,25.3,36.6,23.9,60.9,0.0,13.3
2021-04-24,Nizamabad,Rudrur,0.0,24.4,38.4,23.0,64.8,0.0,13.3
2021-04-25,Nizamabad,Rudrur,0.0,24.5,39.0,16.7,59.9,0.0,11.0
2021-04-26,Nizamabad,Rudrur,0.0,27.3,39.6,16.6,52.6,0.0,15.9
2021-04-27,Nizamabad,Rudrur,0.5,23.3,38.7,19.1,71.5,0.0,14.3
