Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Vailpur,0.0,16.3,27.8,55.1,98.8,,
2021-01-02,Nizamabad,Vailpur,0.0,15.7,27.9,59.4,99.7,,
2021-01-03,Nizamabad,Vailpur,0.0,15.0,28.2,58.4,100.0,,
2021-01-04,Nizamabad,Vailpur,0.0,15.6,27.7,59.8,98.6,,
2021-01-05,Nizamabad,Vailpur,0.0,15.6,29.3,49.3,99.0,,
2021-01-06,Nizamabad,Vailpur,0.0,19.5,29.2,52.3,94.6,,
2021-01-07,Nizamabad,Vailpur,0.0,21.4,28.2,68.7,91.1,,
2021-01-08,Nizamabad,Vailpur,0.0,21.0,24.8,79.3,99.0,,
2021-01-09,Nizamabad,Vailpur,0.0,18.1,30.2,51.0,98.0,,
2021-01-10,Nizamabad,Vailpur,0.0,17.2,31.0,31.4,95.9,,
2021-01-11,Nizamabad,Vailpur,0.0,16.6,31.8,32.5,96.5,,
2021-01-12,Nizamabad,Vailpur,0.0,17.6,31.0,46.8,97.4,,
2021-01-13,Nizamabad,Vailpur,0.0,18.3,30.4,50.8,98.9,,
2021-01-14,Nizamabad,Vailpur,0.0,17.5,30.9,45.8,98.1,,
2021-01-15,Nizamabad,Vailpur,0.0,17.2,30.9,45.0,98.4,,
2021-01-16,Nizamabad,Vailpur,0.0,16.5,30.4,48.5,99.1,,
2021-01-17,Nizamabad,Vailpur,0.0,17.3,30.3,45.0,97.2,,
2021-01-18,Nizamabad,Vailpur,0.0,17.3,30.1,49.2,98.3,,
2021-01-19,Nizamabad,Vailpur,0.0,17.7,29.8,48.3,97.8,,
2021-01-20,Nizamabad,Vailpur,0.0,17.7,31.2,41.8,94.0,,
2021-01-21,Nizamabad,Vailpur,0.0,19.1,31.7,49.0,92.6,,
2021-01-22,Nizamabad,Vailpur,0.0,18.1,30.4,49.4,97.9,,
2021-01-23,Nizamabad,Vailpur,0.0,17.2,31.4,45.0,98.6,,
2021-01-24,Nizamabad,Vailpur,0.0,18.9,31.4,46.0,94.7,,
2021-01-25,Nizamabad,Vailpur,0.0,18.3,32.2,52.1,93.6,,
2021-01-26,Nizamabad,Vailpur,0.0,18.6,31.2,49.5,94.7,,
2021-01-27,Nizamabad,Vailpur,0.0,19.2,32.2,47.2,93.4,,
2021-01-28,Nizamabad,Vailpur,0.0,20.0,31.0,49.2,94.2,,
2021-01-29,Nizamabad,Vailpur,0.0,19.0,30.7,46.0,93.6,,
2021-01-30,Nizamabad,Vailpur,0.0,18.4,29.9,59.5,94.4,,
2021-01-31,Nizamabad,Vailpur,0.0,17.4,28.4,59.9,88.4,,
2021-02-01,Nizamabad,Vailpur,0.0,17.2,28.9,55.7,94.1,,
2021-02-02,Nizamabad,Vailpur,0.0,14.9,30.2,42.1,98.4,,
2021-02-03,Nizamabad,Vailpur,0.0,12.9,30.8,27.0,96.6,,
2021-02-04,Nizamabad,Vailpur,0.0,13.4,30.4,23.6,93.7,,
2021-02-05,Nizamabad,Vailpur,0.0,13.3,29.6,34.6,95.1,,
2021-02-06,Nizamabad,Vailpur,0.0,15.5,31.2,29.7,89.3,,
2021-02-07,Nizamabad,Vailpur,0.0,14.7,29.8,37.7,95.1,,
2021-02-08,Nizamabad,Vailpur,0.0,12.0,28.3,35.2,94.6,,
2021-02-09,Nizamabad,Vailpur,0.0,12.2,28.9,25.8,97.9,,
2021-02-10,Nizamabad,Vailpur,0.0,12.7,30.3,29.3,95.2,,
2021-02-11,Nizamabad,Vailpur,0.0,13.6,31.1,23.2,93.3,,
2021-02-12,Nizamabad,Vailpur,0.0,16.4,31.8,31.5,90.1,,
2021-02-13,Nizamabad,Vailpur,0.0,15.9,31.6,37.7,89.1,,
2021-02-14,Nizamabad,Vailpur,0.0,17.6,31.2,35.3,86.9,,
2021-02-15,Nizamabad,Vailpur,0.0,16.7,32.8,38.9,90.9,,
2021-02-16,Nizamabad,Vailpur,0.0,18.4,33.0,33.5,81.3,,
2021-02-17,Nizamabad,Vailpur,0.0,18.7,33.3,32.2,77.4,,
2021-02-18,Nizamabad,Vailpur,0.0,17.6,30.3,39.9,89.9,,
2021-02-19,Nizamabad,Vailpur,0.0,18.5,29.7,48.4,84.6,,
2021-02-20,Nizamabad,Vailpur,0.0,15.2,24.1,61.8,97.3,,
2021-02-21,Nizamabad,Vailpur,0.0,17.7,29.2,46.3,90.8,,
