Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Bheempoor,0.0,14.4,24.8,72.5,100.0,0.0,0.5
2022-01-02,Adilabad,Bheempoor,0.0,13.5,29.0,56.5,100.0,0.0,1.6
2022-01-03,Adilabad,Bheempoor,0.0,13.4,30.0,47.4,100.0,0.0,1.3
2022-01-04,Adilabad,Bheempoor,0.0,12.4,28.9,53.1,100.0,0.0,2.4
2022-01-05,Adilabad,Bheempoor,0.0,11.0,29.8,44.1,100.0,0.0,1.3
2022-01-06,Adilabad,Bheempoor,0.0,13.3,29.7,47.1,100.0,0.0,0.5
2022-01-07,Adilabad,Bheempoor,0.0,11.9,30.8,46.6,99.5,0.0,1.7
2022-01-08,Adilabad,Bheempoor,0.0,14.3,29.9,43.3,97.7,0.0,3.8
2022-01-09,Adilabad,Bheempoor,0.0,18.5,29.0,60.9,96.6,0.0,1.6
2022-01-10,Adilabad,Bheempoor,2.0,17.6,30.7,53.1,100.0,0.0,3.1
2022-01-11,Adilabad,Bheempoor,1.3,18.4,24.4,83.2,100.0,0.0,0.6
2022-01-12,Adilabad,Bheempoor,4.0,17.6,24.4,81.8,100.0,0.0,0.5
2022-01-13,Adilabad,Bheempoor,0.0,14.9,21.4,84.0,100.0,0.0,1.4
2022-01-14,Adilabad,Bheempoor,9.3,18.6,26.3,71.7,100.0,0.0,1.0
2022-01-15,Adilabad,Bheempoor,0.0,17.8,27.1,71.1,100.0,0.0,1.0
2022-01-16,Adilabad,Bheempoor,0.0,14.6,21.4,83.7,100.0,0.0,0.7
2022-01-17,Adilabad,Bheempoor,0.0,12.4,26.9,62.2,100.0,0.0,2.3
2022-01-18,Adilabad,Bheempoor,0.0,12.7,29.0,50.4,100.0,0.0,2.1
2022-01-19,Adilabad,Bheempoor,0.0,12.2,29.2,51.3,100.0,0.0,0.5
2022-01-20,Adilabad,Bheempoor,0.0,9.8,28.8,40.4,100.0,0.0,0.8
2022-01-21,Adilabad,Bheempoor,0.0,12.2,30.7,36.4,99.9,0.0,0.8
2022-01-22,Adilabad,Bheempoor,0.0,10.8,30.7,36.4,99.5,0.0,1.4
2022-01-23,Adilabad,Bheempoor,0.0,15.0,31.7,37.7,97.9,0.0,2.6
2022-01-24,Adilabad,Bheempoor,0.0,12.0,28.0,42.3,92.0,0.0,2.3
2022-01-25,Adilabad,Bheempoor,0.0,12.0,25.9,47.3,93.6,0.0,1.3
