Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Mavala,0.0,13.8,22.9,58.5,96.3,0.0,0.4
2022-01-02,Adilabad,Mavala,0.0,13.2,26.8,41.8,95.9,0.0,0.6
2022-01-03,Adilabad,Mavala,0.0,13.2,28.7,33.6,90.9,0.0,0.3
2022-01-04,Adilabad,Mavala,0.0,12.6,27.6,37.3,91.7,0.0,0.9
2022-01-05,Adilabad,Mavala,0.0,11.1,28.9,25.9,89.2,0.0,3.2
2022-01-06,Adilabad,Mavala,0.0,15.1,28.9,36.1,89.5,0.0,0.4
2022-01-07,Adilabad,Mavala,0.0,14.0,30.1,30.0,81.6,0.0,4.5
2022-01-08,Adilabad,Mavala,0.0,16.1,28.8,33.0,73.1,0.0,1.8
2022-01-09,Adilabad,Mavala,0.0,19.6,28.6,44.6,95.2,0.0,5.5
2022-01-10,Adilabad,Mavala,8.8,18.7,29.4,45.1,92.4,0.0,6.2
2022-01-11,Adilabad,Mavala,4.0,19.5,23.6,75.3,95.6,0.0,1.0
2022-01-12,Adilabad,Mavala,11.3,18.7,23.3,74.4,92.7,0.0,2.2
2022-01-13,Adilabad,Mavala,0.0,16.0,20.4,75.0,92.8,0.0,0.5
2022-01-14,Adilabad,Mavala,2.5,18.1,24.1,70.0,92.4,0.0,0.8
2022-01-15,Adilabad,Mavala,0.0,17.6,27.9,47.7,92.0,0.0,0.8
2022-01-16,Adilabad,Mavala,0.0,16.0,20.6,69.9,99.2,0.0,0.5
2022-01-17,Adilabad,Mavala,0.0,13.9,25.6,64.9,93.4,0.0,2.2
2022-01-18,Adilabad,Mavala,0.0,13.6,29.1,35.4,92.8,0.0,1.2
2022-01-19,Adilabad,Mavala,0.0,13.2,28.3,37.5,92.9,0.0,0.5
2022-01-20,Adilabad,Mavala,0.0,12.2,27.4,36.7,92.7,0.0,0.6
2022-01-21,Adilabad,Mavala,0.0,13.9,30.2,22.5,79.4,0.0,0.3
2022-01-22,Adilabad,Mavala,0.0,12.8,29.4,27.4,88.8,0.0,0.9
2022-01-23,Adilabad,Mavala,0.0,16.9,30.9,27.7,76.8,0.0,1.6
2022-01-24,Adilabad,Mavala,0.0,13.5,27.2,32.5,73.0,0.0,1.5
2022-01-25,Adilabad,Mavala,0.0,12.1,24.3,35.3,79.0,0.0,1.1
2022-01-26,Adilabad,Mavala,0.0,11.1,25.5,31.9,85.5,0.0,4.5
2022-01-27,Adilabad,Mavala,0.0,9.3,25.0,30.8,87.5,0.0,0.9
2022-01-28,Adilabad,Mavala,0.0,7.6,25.5,26.0,90.7,0.0,2.6
2022-01-29,Adilabad,Mavala,0.0,7.0,24.8,24.4,88.4,0.0,1.8
2022-01-30,Adilabad,Mavala,0.0,7.3,27.0,17.2,83.5,0.0,1.1
2022-01-31,Adilabad,Mavala,0.0,9.4,31.3,15.4,80.9,0.0,0.6
2022-02-01,Adilabad,Mavala,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Mavala,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Mavala,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Mavala,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Mavala,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Mavala,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Mavala,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Mavala,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Mavala,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Mavala,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Adilabad,Mavala,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Adilabad,Mavala,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Adilabad,Mavala,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Adilabad,Mavala,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Adilabad,Mavala,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Adilabad,Mavala,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Adilabad,Mavala,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Adilabad,Mavala,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Adilabad,Mavala,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Adilabad,Mavala,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Adilabad,Mavala,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Adilabad,Mavala,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Adilabad,Mavala,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Adilabad,Mavala,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Adilabad,Mavala,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Adilabad,Mavala,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Adilabad,Mavala,0.0,11.9,38.0,7.2,100.0,0.0,65.1
