Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Sirikonda,0.0,15.7,24.4,77.5,98.0,0.0,1.9
2022-01-02,Adilabad,Sirikonda,0.0,15.5,27.3,71.4,99.0,0.0,1.5
2022-01-03,Adilabad,Sirikonda,0.0,14.4,28.6,49.9,91.3,0.0,1.6
2022-01-04,Adilabad,Sirikonda,0.0,13.5,28.5,53.3,91.7,0.0,1.7
2022-01-05,Adilabad,Sirikonda,0.0,12.8,28.8,40.9,90.6,0.0,1.7
2022-01-06,Adilabad,Sirikonda,0.0,14.9,29.8,44.9,90.5,0.0,1.6
2022-01-07,Adilabad,Sirikonda,0.0,13.0,29.5,46.5,91.1,0.0,1.9
2022-01-08,Adilabad,Sirikonda,0.0,15.1,28.4,48.3,90.5,0.0,1.9
2022-01-09,Adilabad,Sirikonda,0.0,17.5,27.6,64.0,93.3,0.0,2.0
2022-01-10,Adilabad,Sirikonda,5.8,19.0,28.6,64.9,99.9,0.0,2.5
2022-01-11,Adilabad,Sirikonda,16.3,17.8,22.5,98.6,99.9,0.0,1.1
2022-01-12,Adilabad,Sirikonda,3.0,18.0,21.7,98.0,99.7,0.0,1.4
2022-01-13,Adilabad,Sirikonda,0.0,16.5,20.2,97.5,98.6,0.0,1.6
2022-01-14,Adilabad,Sirikonda,0.5,19.0,25.1,84.5,97.7,0.0,2.0
2022-01-15,Adilabad,Sirikonda,0.0,17.7,26.3,72.5,96.8,0.0,1.9
2022-01-16,Adilabad,Sirikonda,0.0,15.3,20.6,93.3,98.1,0.0,2.3
2022-01-17,Adilabad,Sirikonda,0.0,15.7,27.5,71.4,97.9,0.0,1.7
2022-01-18,Adilabad,Sirikonda,0.0,14.7,28.6,54.4,95.0,0.0,0.9
2022-01-19,Adilabad,Sirikonda,0.0,14.5,28.0,52.6,93.4,0.0,1.4
2022-01-20,Adilabad,Sirikonda,0.0,12.8,27.2,50.4,93.0,0.0,1.9
2022-01-21,Adilabad,Sirikonda,0.0,14.1,30.7,36.5,90.5,0.0,1.4
2022-01-22,Adilabad,Sirikonda,0.0,13.3,29.3,41.2,87.5,0.0,2.7
2022-01-23,Adilabad,Sirikonda,0.0,16.7,30.5,38.7,89.4,0.0,2.8
2022-01-24,Adilabad,Sirikonda,0.0,14.4,26.9,49.2,85.9,0.0,3.0
2022-01-25,Adilabad,Sirikonda,0.0,13.2,24.1,51.8,83.1,0.0,2.0
2022-01-26,Adilabad,Sirikonda,0.0,12.6,24.3,50.0,85.7,0.0,2.1
2022-01-27,Adilabad,Sirikonda,0.0,11.0,24.7,47.9,84.2,0.0,2.4
2022-01-28,Adilabad,Sirikonda,0.0,10.1,24.5,44.4,86.7,0.0,2.2
2022-01-29,Adilabad,Sirikonda,0.0,8.0,25.1,37.8,87.0,0.0,2.1
2022-01-30,Adilabad,Sirikonda,0.0,8.4,26.9,35.3,85.0,0.0,1.5
2022-01-31,Adilabad,Sirikonda,0.0,10.1,30.8,27.6,84.5,0.0,1.6
2022-02-01,Adilabad,Sirikonda,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Sirikonda,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Sirikonda,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Sirikonda,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Sirikonda,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Sirikonda,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Sirikonda,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Sirikonda,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Sirikonda,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Sirikonda,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Adilabad,Sirikonda,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Adilabad,Sirikonda,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Adilabad,Sirikonda,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Adilabad,Sirikonda,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Adilabad,Sirikonda,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Adilabad,Sirikonda,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Adilabad,Sirikonda,1.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Adilabad,Sirikonda,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Adilabad,Sirikonda,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Adilabad,Sirikonda,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Adilabad,Sirikonda,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Adilabad,Sirikonda,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Adilabad,Sirikonda,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Adilabad,Sirikonda,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Adilabad,Sirikonda,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Adilabad,Sirikonda,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Adilabad,Sirikonda,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Adilabad,Sirikonda,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Adilabad,Sirikonda,0.0,17.2,33.2,28.7,83.6,0.0,2.1
2022-03-02,Adilabad,Sirikonda,0.0,17.6,34.3,25.2,74.7,0.0,1.2
2022-03-03,Adilabad,Sirikonda,0.0,18.6,34.5,26.7,76.7,0.0,1.6
2022-03-04,Adilabad,Sirikonda,0.0,19.0,35.1,27.0,78.2,0.0,2.4
2022-03-05,Adilabad,Sirikonda,0.0,19.5,34.5,33.7,80.1,0.0,2.0
2022-03-06,Adilabad,Sirikonda,0.0,20.4,34.5,34.2,77.8,0.0,1.8
2022-03-07,Adilabad,Sirikonda,0.0,18.3,34.6,29.8,82.0,0.0,2.2
2022-03-08,Adilabad,Sirikonda,0.0,18.1,33.7,32.5,83.3,0.0,1.7
2022-03-09,Adilabad,Sirikonda,0.0,20.1,34.7,28.3,73.7,0.0,2.4
2022-03-10,Adilabad,Sirikonda,0.0,20.2,35.1,25.0,67.4,0.0,1.5
2022-03-11,Adilabad,Sirikonda,0.0,19.3,34.5,28.1,74.1,0.0,1.8
2022-03-12,Adilabad,Sirikonda,0.0,22.4,33.8,32.4,64.5,0.0,1.5
2022-03-13,Adilabad,Sirikonda,0.0,20.0,33.6,32.5,70.4,0.0,2.3
2022-03-14,Adilabad,Sirikonda,0.0,17.2,34.7,23.4,62.9,0.0,2.8
2022-03-15,Adilabad,Sirikonda,0.0,18.2,35.6,19.1,63.9,0.0,2.8
2022-03-16,Adilabad,Sirikonda,0.0,19.6,36.9,22.3,67.9,0.0,2.8
2022-03-17,Adilabad,Sirikonda,0.0,20.3,37.6,22.1,62.3,0.0,2.5
2022-03-18,Adilabad,Sirikonda,0.0,21.5,38.3,18.9,56.7,0.0,2.3
2022-03-19,Adilabad,Sirikonda,0.0,23.3,38.4,20.6,80.2,0.0,2.0
2022-03-20,Adilabad,Sirikonda,0.0,24.6,35.9,41.1,80.1,0.0,2.7
2022-03-21,Adilabad,Sirikonda,0.0,22.6,36.7,29.2,74.0,0.0,1.8
2022-03-22,Adilabad,Sirikonda,0.0,22.5,36.8,28.7,66.8,0.0,2.5
2022-03-23,Adilabad,Sirikonda,0.0,20.5,37.4,22.0,64.1,0.0,2.6
2022-03-24,Adilabad,Sirikonda,0.0,23.2,38.1,19.6,65.3,0.0,2.3
2022-03-25,Adilabad,Sirikonda,0.0,25.3,36.9,33.9,83.7,0.0,2.1
2022-03-26,Adilabad,Sirikonda,0.0,26.3,38.6,35.2,78.1,0.0,3.8
2022-03-27,Adilabad,Sirikonda,0.0,23.3,36.9,35.1,84.9,0.0,1.4
2022-03-28,Adilabad,Sirikonda,0.0,23.1,38.6,24.2,77.9,0.0,2.0
2022-03-29,Adilabad,Sirikonda,0.0,22.0,39.6,19.6,71.9,0.0,1.9
2022-03-30,Adilabad,Sirikonda,0.0,21.6,38.9,16.8,62.1,0.0,3.4
2022-03-31,Adilabad,Sirikonda,0.0,20.8,40.3,15.8,59.1,0.0,3.0
2022-04-01,Adilabad,Sirikonda,0.0,19.9,40.3,14.7,67.9,0.0,1.8
2022-04-02,Adilabad,Sirikonda,0.0,23.8,40.8,15.9,86.4,0.0,1.2
2022-04-03,Adilabad,Sirikonda,0.0,24.8,37.5,41.1,86.4,0.0,1.6
2022-04-04,Adilabad,Sirikonda,0.0,25.9,39.8,29.1,83.2,0.0,1.5
2022-04-05,Adilabad,Sirikonda,0.0,25.6,37.8,37.4,80.7,0.0,2.8
2022-04-06,Adilabad,Sirikonda,0.0,25.4,38.0,36.0,82.0,0.0,2.5
2022-04-07,Adilabad,Sirikonda,0.0,25.6,39.3,30.5,70.6,0.0,2.5
2022-04-08,Adilabad,Sirikonda,0.0,25.5,39.6,26.1,69.9,0.0,2.4
2022-04-09,Adilabad,Sirikonda,0.0,25.8,37.2,33.1,75.8,0.0,2.8
2022-04-10,Adilabad,Sirikonda,0.0,25.5,37.6,36.3,76.9,0.0,2.8
2022-04-11,Adilabad,Sirikonda,0.0,26.3,39.0,32.3,70.6,0.0,2.2
