Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Talamadugu,0.0,13.5,23.9,71.4,100.0,0.0,2.8
2022-01-02,Adilabad,Talamadugu,0.0,13.9,28.8,50.9,100.0,0.0,3.2
2022-01-03,Adilabad,Talamadugu,0.0,13.6,30.2,47.5,100.0,0.0,2.8
2022-01-04,Adilabad,Talamadugu,0.0,12.8,29.3,48.7,93.9,0.0,3.0
2022-01-05,Adilabad,Talamadugu,0.0,12.5,29.3,43.0,92.2,0.0,3.0
2022-01-06,Adilabad,Talamadugu,0.0,14.9,30.4,48.8,92.7,0.0,2.4
2022-01-07,Adilabad,Talamadugu,0.0,13.3,30.7,41.2,92.2,0.0,4.9
2022-01-08,Adilabad,Talamadugu,0.0,15.0,29.3,37.8,89.6,0.0,3.5
2022-01-09,Adilabad,Talamadugu,0.0,18.5,29.1,57.8,100.0,0.0,1.8
2022-01-10,Adilabad,Talamadugu,12.9,19.0,29.4,68.5,100.0,0.0,0.0
2022-01-11,Adilabad,Talamadugu,9.5,18.9,23.9,75.3,100.0,0.0,0.0
2022-01-12,Adilabad,Talamadugu,5.5,18.2,23.1,88.2,100.0,0.0,1.8
2022-01-13,Adilabad,Talamadugu,0.0,15.4,20.3,84.0,97.0,0.0,5.3
2022-01-14,Adilabad,Talamadugu,1.0,17.6,24.3,77.1,96.5,0.0,4.0
2022-01-15,Adilabad,Talamadugu,0.0,17.1,27.6,66.1,96.8,0.0,5.4
2022-01-16,Adilabad,Talamadugu,0.0,14.2,20.3,87.2,100.0,0.0,0.0
2022-01-17,Adilabad,Talamadugu,0.0,13.1,25.7,82.5,100.0,2.8,5.3
2022-01-18,Adilabad,Talamadugu,0.0,13.8,29.3,56.9,96.4,0.0,0.0
2022-01-19,Adilabad,Talamadugu,0.0,12.9,28.8,58.3,100.0,0.0,0.0
2022-01-20,Adilabad,Talamadugu,0.0,13.0,28.0,49.9,95.3,0.0,2.5
2022-01-21,Adilabad,Talamadugu,0.0,14.7,30.0,33.6,100.0,0.0,4.4
2022-01-22,Adilabad,Talamadugu,0.0,13.8,30.2,34.9,100.0,0.0,8.3
2022-01-23,Adilabad,Talamadugu,0.0,15.7,31.1,36.4,100.0,0.0,2.7
2022-01-24,Adilabad,Talamadugu,0.0,12.7,28.2,46.6,80.4,0.0,3.0
2022-01-25,Adilabad,Talamadugu,0.0,11.0,24.4,43.7,80.7,0.0,2.6
2022-01-26,Adilabad,Talamadugu,0.0,10.0,25.2,41.6,88.4,0.0,4.0
2022-01-27,Adilabad,Talamadugu,0.0,8.5,25.6,38.5,89.6,0.0,4.3
2022-01-28,Adilabad,Talamadugu,0.0,7.7,26.2,32.0,100.0,0.0,3.8
2022-01-29,Adilabad,Talamadugu,0.0,8.4,24.7,33.5,100.0,0.0,2.8
2022-01-30,Adilabad,Talamadugu,0.0,8.0,27.8,28.2,100.0,0.0,3.4
2022-01-31,Adilabad,Talamadugu,0.0,11.4,31.8,23.6,100.0,0.0,3.9
2022-02-01,Adilabad,Talamadugu,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Talamadugu,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Talamadugu,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Talamadugu,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Talamadugu,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Talamadugu,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Talamadugu,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Talamadugu,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Talamadugu,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Talamadugu,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Adilabad,Talamadugu,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Adilabad,Talamadugu,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Adilabad,Talamadugu,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Adilabad,Talamadugu,0.0,8.8,36.4,9.2,100.0,0.0,65.1
