Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Ellandakunta,0.0,17.5,30.5,59.8,97.1,0.0,2.7
2022-01-02,Karimnagar,Ellandakunta,0.0,17.7,30.6,62.6,96.7,0.0,2.2
2022-01-03,Karimnagar,Ellandakunta,0.0,19.0,30.8,45.8,94.8,0.0,4.5
2022-01-04,Karimnagar,Ellandakunta,0.0,17.1,33.0,48.4,96.4,0.0,3.4
2022-01-05,Karimnagar,Ellandakunta,0.0,18.6,32.4,54.8,95.5,0.0,5.0
2022-01-06,Karimnagar,Ellandakunta,0.0,19.3,30.2,62.6,95.8,0.0,6.9
2022-01-07,Karimnagar,Ellandakunta,0.0,19.4,30.7,52.0,95.9,0.0,6.2
2022-01-08,Karimnagar,Ellandakunta,0.0,20.1,30.3,56.1,95.4,0.0,7.7
2022-01-09,Karimnagar,Ellandakunta,0.0,20.6,30.6,65.0,96.1,0.0,8.7
2022-01-10,Karimnagar,Ellandakunta,0.0,20.1,30.1,68.4,96.2,0.0,9.6
2022-01-11,Karimnagar,Ellandakunta,12.3,20.2,30.3,69.3,96.2,0.0,25.9
2022-01-12,Karimnagar,Ellandakunta,77.0,19.5,30.2,76.5,98.8,0.0,8.7
2022-01-13,Karimnagar,Ellandakunta,2.3,20.2,25.8,78.8,98.3,0.1,4.2
2022-01-14,Karimnagar,Ellandakunta,0.0,20.6,27.2,79.2,98.2,0.0,4.9
2022-01-15,Karimnagar,Ellandakunta,32.0,19.5,30.2,76.5,98.7,0.0,6.1
2022-01-16,Karimnagar,Ellandakunta,0.0,19.9,29.7,76.4,97.9,0.0,2.9
2022-01-17,Karimnagar,Ellandakunta,0.0,20.5,27.1,83.1,97.7,0.0,0.4
2022-01-18,Karimnagar,Ellandakunta,0.0,18.6,30.7,70.1,98.2,0.0,4.1
2022-01-19,Karimnagar,Ellandakunta,0.0,18.3,32.1,58.0,97.4,0.0,5.7
2022-01-20,Karimnagar,Ellandakunta,0.0,17.5,28.1,62.6,97.3,0.0,7.7
2022-01-21,Karimnagar,Ellandakunta,0.0,18.0,32.1,46.8,96.8,0.0,4.2
2022-01-22,Karimnagar,Ellandakunta,0.0,18.0,32.8,55.0,96.0,0.0,7.9
2022-01-23,Karimnagar,Ellandakunta,0.0,20.5,32.5,48.3,95.6,0.0,7.3
2022-01-24,Karimnagar,Ellandakunta,0.0,18.5,32.8,52.3,90.4,0.0,9.4
2022-01-25,Karimnagar,Ellandakunta,0.0,18.5,26.0,53.4,89.2,0.0,6.2
2022-01-26,Karimnagar,Ellandakunta,0.0,18.1,29.8,49.0,88.8,0.0,5.1
2022-01-27,Karimnagar,Ellandakunta,0.0,18.5,30.5,53.0,81.3,0.0,5.2
