Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Jammikunta,0.0,17.0,30.7,48.1,94.3,0.0,4.9
2022-01-02,Karimnagar,Jammikunta,0.0,17.6,30.9,45.7,93.4,0.0,3.4
2022-01-03,Karimnagar,Jammikunta,0.0,16.6,30.6,43.5,92.4,0.0,3.9
2022-01-04,Karimnagar,Jammikunta,0.0,17.0,31.7,38.3,92.8,0.0,3.9
2022-01-05,Karimnagar,Jammikunta,0.0,17.9,31.4,42.0,93.2,0.0,3.6
2022-01-06,Karimnagar,Jammikunta,0.0,17.0,30.3,49.6,93.1,0.0,5.2
2022-01-07,Karimnagar,Jammikunta,0.0,18.2,30.5,42.3,92.9,0.0,5.4
2022-01-08,Karimnagar,Jammikunta,0.0,19.8,29.9,46.8,91.7,0.0,8.2
2022-01-09,Karimnagar,Jammikunta,0.0,20.2,30.0,53.6,92.2,0.0,8.0
2022-01-10,Karimnagar,Jammikunta,0.0,19.8,29.7,57.4,92.8,0.0,8.4
2022-01-11,Karimnagar,Jammikunta,4.9,19.9,30.0,57.8,100.0,0.0,62.0
2022-01-12,Karimnagar,Jammikunta,60.6,18.4,29.6,59.6,100.0,0.0,7.1
2022-01-13,Karimnagar,Jammikunta,0.0,20.0,26.9,76.5,100.0,0.0,6.1
2022-01-14,Karimnagar,Jammikunta,0.0,20.1,28.0,75.5,100.0,0.0,5.6
2022-01-15,Karimnagar,Jammikunta,16.4,18.6,30.3,59.8,100.0,0.0,6.0
2022-01-16,Karimnagar,Jammikunta,0.0,18.5,28.8,64.9,100.0,0.0,4.7
2022-01-17,Karimnagar,Jammikunta,0.0,18.7,26.7,70.1,100.0,0.0,3.5
2022-01-18,Karimnagar,Jammikunta,0.0,18.2,30.0,52.0,100.0,0.0,3.9
2022-01-19,Karimnagar,Jammikunta,0.0,18.0,30.5,45.8,95.2,0.0,5.3
2022-01-20,Karimnagar,Jammikunta,0.0,16.7,29.9,47.9,94.8,0.0,8.8
2022-01-21,Karimnagar,Jammikunta,0.0,17.5,30.7,34.0,99.6,0.0,4.1
2022-01-22,Karimnagar,Jammikunta,0.0,17.6,32.0,40.8,100.0,0.0,7.4
2022-01-23,Karimnagar,Jammikunta,0.0,19.2,31.8,40.6,100.0,0.0,7.2
2022-01-24,Karimnagar,Jammikunta,0.0,17.6,31.2,40.0,85.6,0.0,7.6
2022-01-25,Karimnagar,Jammikunta,0.0,16.6,27.5,40.4,85.6,0.0,7.0
2022-01-26,Karimnagar,Jammikunta,0.0,16.4,27.5,40.2,83.7,0.0,5.9
2022-01-27,Karimnagar,Jammikunta,0.0,16.2,29.8,42.0,78.5,0.0,5.0
2022-01-28,Karimnagar,Jammikunta,0.0,14.1,28.5,37.7,85.8,0.0,5.6
2022-01-29,Karimnagar,Jammikunta,0.0,11.9,27.6,29.9,84.5,0.0,5.8
2022-01-30,Karimnagar,Jammikunta,0.0,13.7,28.5,29.5,100.0,0.0,5.9
2022-01-31,Karimnagar,Jammikunta,0.0,13.2,30.8,21.6,100.0,0.0,4.8
2022-02-01,Karimnagar,Jammikunta,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Karimnagar,Jammikunta,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Karimnagar,Jammikunta,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Karimnagar,Jammikunta,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Karimnagar,Jammikunta,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Karimnagar,Jammikunta,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Karimnagar,Jammikunta,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Karimnagar,Jammikunta,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Karimnagar,Jammikunta,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Karimnagar,Jammikunta,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Karimnagar,Jammikunta,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Karimnagar,Jammikunta,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Karimnagar,Jammikunta,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Karimnagar,Jammikunta,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Karimnagar,Jammikunta,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Karimnagar,Jammikunta,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Karimnagar,Jammikunta,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Karimnagar,Jammikunta,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Karimnagar,Jammikunta,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Karimnagar,Jammikunta,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Karimnagar,Jammikunta,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Karimnagar,Jammikunta,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Karimnagar,Jammikunta,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Karimnagar,Jammikunta,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Karimnagar,Jammikunta,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Karimnagar,Jammikunta,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Karimnagar,Jammikunta,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Karimnagar,Jammikunta,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Karimnagar,Jammikunta,0.0,18.1,33.6,29.5,88.0,0.0,7.2
2022-03-02,Karimnagar,Jammikunta,0.0,19.4,35.6,27.2,86.1,0.0,9.7
2022-03-03,Karimnagar,Jammikunta,0.0,19.3,34.7,31.2,87.2,0.0,5.2
2022-03-04,Karimnagar,Jammikunta,0.0,20.3,34.5,37.9,87.6,0.0,6.3
2022-03-05,Karimnagar,Jammikunta,0.0,19.9,36.0,24.3,86.8,0.0,6.0
2022-03-06,Karimnagar,Jammikunta,0.0,20.1,33.5,29.1,87.6,0.0,6.2
2022-03-07,Karimnagar,Jammikunta,0.0,20.3,36.1,33.0,93.4,0.0,5.5
2022-03-08,Karimnagar,Jammikunta,0.0,20.6,37.0,28.7,86.3,0.0,4.1
2022-03-09,Karimnagar,Jammikunta,0.0,19.9,36.1,33.0,91.5,0.0,6.3
2022-03-10,Karimnagar,Jammikunta,0.0,20.3,37.6,28.7,88.5,0.0,7.8
2022-03-11,Karimnagar,Jammikunta,0.0,21.2,37.4,28.7,89.0,0.0,5.0
2022-03-12,Karimnagar,Jammikunta,0.0,21.9,36.1,32.3,88.2,0.0,22.9
2022-03-13,Karimnagar,Jammikunta,0.0,21.2,35.2,31.6,87.9,0.0,5.3
2022-03-14,Karimnagar,Jammikunta,0.0,19.2,39.3,24.3,82.6,0.0,5.6
2022-03-15,Karimnagar,Jammikunta,0.0,16.2,38.6,13.1,91.2,0.0,5.0
2022-03-16,Karimnagar,Jammikunta,0.0,18.9,39.6,16.9,94.7,0.0,6.4
2022-03-17,Karimnagar,Jammikunta,0.0,19.8,41.3,16.4,87.8,0.0,6.0
2022-03-18,Karimnagar,Jammikunta,0.0,20.5,42.3,17.2,95.0,0.0,5.3
2022-03-19,Karimnagar,Jammikunta,0.0,22.9,37.1,34.0,91.5,0.0,6.7
2022-03-20,Karimnagar,Jammikunta,0.0,24.3,37.5,36.4,89.2,0.0,5.9
2022-03-21,Karimnagar,Jammikunta,0.0,22.9,37.9,39.9,95.4,0.0,5.4
2022-03-22,Karimnagar,Jammikunta,0.0,23.3,38.5,36.9,85.1,0.0,5.5
2022-03-23,Karimnagar,Jammikunta,0.0,24.1,39.2,37.9,97.2,0.0,4.5
2022-03-24,Karimnagar,Jammikunta,0.0,24.1,40.5,34.7,97.3,0.0,4.3
2022-03-25,Karimnagar,Jammikunta,0.0,24.7,38.2,41.2,92.9,0.0,7.9
2022-03-26,Karimnagar,Jammikunta,0.0,24.1,37.7,41.2,96.9,0.0,6.4
2022-03-27,Karimnagar,Jammikunta,0.0,23.6,38.9,41.6,96.9,0.0,7.7
2022-03-28,Karimnagar,Jammikunta,0.0,24.2,39.7,35.7,98.3,0.0,7.1
