Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Manakondur,0.0,16.5,29.6,56.6,100.0,0.0,7.0
2022-01-02,Karimnagar,Manakondur,0.0,16.4,30.2,41.7,100.0,0.0,5.4
2022-01-03,Karimnagar,Manakondur,0.0,15.5,29.6,39.4,100.0,0.0,6.2
2022-01-04,Karimnagar,Manakondur,0.0,15.5,31.5,47.5,100.0,0.0,6.2
2022-01-05,Karimnagar,Manakondur,0.0,15.7,28.6,47.8,100.0,0.0,8.7
2022-01-06,Karimnagar,Manakondur,0.0,16.6,28.7,54.1,100.0,0.0,8.1
2022-01-07,Karimnagar,Manakondur,0.0,17.1,29.9,45.9,100.0,0.0,8.4
2022-01-08,Karimnagar,Manakondur,0.0,19.2,29.3,49.3,100.0,0.0,12.1
2022-01-09,Karimnagar,Manakondur,0.0,19.6,30.0,56.0,98.3,0.0,14.5
2022-01-10,Karimnagar,Manakondur,0.0,18.5,29.8,58.8,100.0,0.0,11.9
2022-01-11,Karimnagar,Manakondur,0.7,18.8,29.5,63.4,100.0,0.0,9.9
2022-01-12,Karimnagar,Manakondur,40.3,17.8,28.2,72.6,100.0,0.0,32.4
2022-01-13,Karimnagar,Manakondur,0.0,18.1,24.2,81.5,100.0,0.0,5.6
2022-01-14,Karimnagar,Manakondur,0.0,19.5,29.0,77.5,100.0,0.0,7.7
2022-01-15,Karimnagar,Manakondur,9.3,17.8,29.3,59.6,100.0,0.0,11.2
2022-01-16,Karimnagar,Manakondur,0.0,17.4,26.3,74.3,100.0,0.0,7.1
2022-01-17,Karimnagar,Manakondur,0.0,17.3,24.1,80.0,100.0,0.0,5.8
2022-01-18,Karimnagar,Manakondur,0.0,16.5,27.5,60.9,100.0,0.0,5.8
2022-01-19,Karimnagar,Manakondur,0.0,16.3,32.9,52.5,100.0,0.0,6.0
2022-01-20,Karimnagar,Manakondur,0.0,16.2,27.8,56.5,100.0,0.0,3.9
2022-01-21,Karimnagar,Manakondur,0.0,17.3,30.8,37.1,100.0,0.0,7.7
2022-01-22,Karimnagar,Manakondur,0.0,15.7,32.9,39.3,100.0,0.0,12.2
2022-01-23,Karimnagar,Manakondur,0.0,19.0,33.9,41.2,100.0,0.0,12.1
2022-01-24,Karimnagar,Manakondur,0.0,16.4,30.3,41.6,97.0,0.0,15.7
2022-01-25,Karimnagar,Manakondur,0.0,15.2,29.9,49.1,99.9,0.0,6.6
2022-01-26,Karimnagar,Manakondur,0.0,14.7,29.7,46.3,99.9,0.0,6.0
2022-01-27,Karimnagar,Manakondur,0.0,15.6,27.1,49.0,99.9,0.0,7.9
2022-01-28,Karimnagar,Manakondur,0.0,11.1,30.8,44.2,99.9,0.0,7.3
2022-01-29,Karimnagar,Manakondur,0.0,10.4,29.6,34.9,99.9,0.0,8.5
2022-01-30,Karimnagar,Manakondur,0.0,12.3,30.5,28.3,99.9,0.0,7.3
2022-01-31,Karimnagar,Manakondur,0.0,14.3,32.9,33.3,99.9,0.0,6.6
2022-02-01,Karimnagar,Manakondur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Karimnagar,Manakondur,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Karimnagar,Manakondur,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Karimnagar,Manakondur,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Karimnagar,Manakondur,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Karimnagar,Manakondur,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Karimnagar,Manakondur,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Karimnagar,Manakondur,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Karimnagar,Manakondur,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Karimnagar,Manakondur,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Karimnagar,Manakondur,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Karimnagar,Manakondur,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Karimnagar,Manakondur,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Karimnagar,Manakondur,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Karimnagar,Manakondur,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Karimnagar,Manakondur,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Karimnagar,Manakondur,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Karimnagar,Manakondur,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Karimnagar,Manakondur,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Karimnagar,Manakondur,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Karimnagar,Manakondur,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Karimnagar,Manakondur,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Karimnagar,Manakondur,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Karimnagar,Manakondur,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Karimnagar,Manakondur,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Karimnagar,Manakondur,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Karimnagar,Manakondur,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Karimnagar,Manakondur,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Karimnagar,Manakondur,0.0,18.6,34.4,27.6,99.9,0.0,9.6
2022-03-02,Karimnagar,Manakondur,0.0,16.7,36.3,40.9,99.9,0.0,7.4
2022-03-03,Karimnagar,Manakondur,0.0,17.7,36.2,42.1,99.9,0.0,8.2
2022-03-04,Karimnagar,Manakondur,0.0,18.7,34.0,42.0,99.9,0.0,8.2
2022-03-05,Karimnagar,Manakondur,0.0,18.6,33.9,34.5,99.9,0.0,10.8
2022-03-06,Karimnagar,Manakondur,0.0,18.0,36.3,39.0,99.9,0.0,8.4
2022-03-07,Karimnagar,Manakondur,0.0,19.2,34.8,45.6,100.0,0.0,9.3
