Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Ramadugu,0.0,16.8,27.5,57.6,100.0,0.0,2.1
2022-01-02,Karimnagar,Ramadugu,0.0,15.9,29.6,48.3,100.0,0.0,0.1
2022-01-03,Karimnagar,Ramadugu,0.0,16.2,29.7,38.6,100.0,0.0,2.2
2022-01-04,Karimnagar,Ramadugu,0.0,15.4,28.3,37.1,100.0,0.0,1.5
2022-01-05,Karimnagar,Ramadugu,0.0,16.4,28.9,38.2,100.0,0.0,1.0
2022-01-06,Karimnagar,Ramadugu,0.0,16.5,28.9,44.4,100.0,0.0,0.2
2022-01-07,Karimnagar,Ramadugu,0.0,16.2,29.7,45.5,100.0,0.0,3.1
2022-01-08,Karimnagar,Ramadugu,0.0,18.2,28.1,47.2,100.0,0.0,0.2
2022-01-09,Karimnagar,Ramadugu,0.0,19.6,29.0,58.5,100.0,0.0,2.3
2022-01-10,Karimnagar,Ramadugu,0.0,19.2,28.5,67.8,100.0,0.0,0.8
2022-01-11,Karimnagar,Ramadugu,11.3,19.6,27.5,66.2,100.0,0.0,3.3
2022-01-12,Karimnagar,Ramadugu,19.2,18.9,27.3,76.0,99.5,0.0,0.2
2022-01-13,Karimnagar,Ramadugu,0.0,18.4,23.4,82.2,99.4,0.0,0.1
2022-01-14,Karimnagar,Ramadugu,0.0,20.3,26.0,99.6,100.0,0.1,2.5
2022-01-15,Karimnagar,Ramadugu,28.4,18.2,28.6,86.1,100.0,0.0,4.7
2022-01-16,Karimnagar,Ramadugu,0.0,17.3,25.9,96.0,100.0,0.1,1.4
2022-01-17,Karimnagar,Ramadugu,0.0,17.8,24.9,75.4,98.6,0.0,1.3
2022-01-18,Karimnagar,Ramadugu,0.0,16.8,26.9,64.5,100.0,0.0,1.0
2022-01-19,Karimnagar,Ramadugu,0.0,16.0,27.9,45.5,100.0,0.0,0.7
2022-01-20,Karimnagar,Ramadugu,0.0,15.5,27.6,49.4,100.0,0.0,2.5
2022-01-21,Karimnagar,Ramadugu,0.0,16.6,30.5,35.2,100.0,0.0,1.3
2022-01-22,Karimnagar,Ramadugu,0.0,15.4,31.6,35.2,100.0,0.0,6.3
2022-01-23,Karimnagar,Ramadugu,0.0,18.4,32.1,33.0,100.0,0.0,4.1
2022-01-24,Karimnagar,Ramadugu,0.0,17.1,30.1,38.2,100.0,0.0,2.5
2022-01-25,Karimnagar,Ramadugu,0.0,14.8,26.3,39.0,98.4,0.0,0.9
2022-01-26,Karimnagar,Ramadugu,0.0,14.2,26.6,40.5,100.0,0.0,2.2
2022-01-27,Karimnagar,Ramadugu,0.0,14.6,26.4,41.2,96.9,0.0,0.1
2022-01-28,Karimnagar,Ramadugu,0.0,11.1,26.5,36.8,100.0,0.0,0.4
2022-01-29,Karimnagar,Ramadugu,0.0,9.8,26.4,27.4,100.0,0.0,2.0
2022-01-30,Karimnagar,Ramadugu,0.0,10.7,27.6,21.0,100.0,0.0,1.0
2022-01-31,Karimnagar,Ramadugu,0.0,12.2,31.0,17.9,100.0,0.0,0.4
2022-02-01,Karimnagar,Ramadugu,0.0,8.7,36.8,6.8,100.0,0.0,65.1
