Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Thimmapur,0.0,17.0,29.6,56.6,100.0,0.0,7.3
2022-01-02,Karimnagar,Thimmapur,0.0,17.7,29.2,56.6,100.0,0.0,8.7
2022-01-03,Karimnagar,Thimmapur,0.0,15.1,30.1,41.1,100.0,0.0,6.0
2022-01-04,Karimnagar,Thimmapur,0.0,14.9,29.8,42.3,100.0,0.0,5.0
2022-01-05,Karimnagar,Thimmapur,0.0,16.5,30.3,45.6,100.0,0.0,8.8
2022-01-06,Karimnagar,Thimmapur,0.0,15.8,30.3,48.5,100.0,0.0,11.2
2022-01-07,Karimnagar,Thimmapur,0.0,16.9,31.3,39.1,100.0,0.0,8.8
2022-01-08,Karimnagar,Thimmapur,0.0,19.0,30.7,47.3,98.2,0.0,10.5
2022-01-09,Karimnagar,Thimmapur,0.0,19.5,31.4,55.2,100.0,0.0,9.4
2022-01-10,Karimnagar,Thimmapur,0.0,19.3,30.7,57.3,94.7,0.0,12.2
2022-01-11,Karimnagar,Thimmapur,1.5,19.2,29.9,64.4,100.0,0.0,9.9
2022-01-12,Karimnagar,Thimmapur,18.2,18.6,28.0,84.9,100.0,0.0,12.1
2022-01-13,Karimnagar,Thimmapur,0.0,19.2,25.6,84.3,100.0,0.5,6.5
2022-01-14,Karimnagar,Thimmapur,0.0,20.2,27.7,84.9,100.0,0.0,4.7
2022-01-15,Karimnagar,Thimmapur,1.7,18.7,30.3,60.1,100.0,0.0,5.8
2022-01-16,Karimnagar,Thimmapur,0.0,18.4,27.8,81.4,100.0,0.0,1.8
2022-01-17,Karimnagar,Thimmapur,0.0,18.3,25.6,81.5,100.0,0.0,1.9
2022-01-18,Karimnagar,Thimmapur,0.0,16.7,27.9,67.3,100.0,0.0,4.0
2022-01-19,Karimnagar,Thimmapur,0.0,17.3,30.7,45.7,100.0,0.0,7.6
2022-01-20,Karimnagar,Thimmapur,0.0,17.2,29.3,53.8,100.0,0.0,6.7
2022-01-21,Karimnagar,Thimmapur,0.0,18.2,32.8,34.4,100.0,0.0,5.9
2022-01-22,Karimnagar,Thimmapur,0.0,16.4,32.5,36.5,99.9,0.0,5.5
2022-01-23,Karimnagar,Thimmapur,0.0,19.2,31.8,38.3,99.2,0.0,13.9
2022-01-24,Karimnagar,Thimmapur,0.0,15.9,30.5,38.7,83.2,0.0,10.2
2022-01-25,Karimnagar,Thimmapur,0.0,15.0,26.4,45.3,83.3,0.0,4.1
2022-01-26,Karimnagar,Thimmapur,0.0,16.1,26.5,46.8,80.8,0.0,9.0
2022-01-27,Karimnagar,Thimmapur,0.0,16.7,30.6,48.2,78.5,0.0,6.3
2022-01-28,Karimnagar,Thimmapur,0.0,11.9,26.4,43.9,91.8,0.0,6.2
2022-01-29,Karimnagar,Thimmapur,0.0,10.3,26.3,31.3,90.8,0.0,6.8
2022-01-30,Karimnagar,Thimmapur,0.0,11.4,28.2,24.0,91.7,0.0,8.2
2022-01-31,Karimnagar,Thimmapur,0.0,13.0,30.4,29.3,92.3,0.0,9.0
2022-02-01,Karimnagar,Thimmapur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
