Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Bonakal,0.0,20.8,31.5,50.3,99.9,0.0,5.4
2022-01-02,Khammam,Bonakal,0.0,20.5,31.2,55.2,99.9,0.0,0.3
2022-01-03,Khammam,Bonakal,0.0,19.8,32.1,49.7,99.9,0.0,0.3
2022-01-04,Khammam,Bonakal,0.0,18.2,33.8,50.9,99.9,0.0,3.3
2022-01-05,Khammam,Bonakal,0.0,17.9,32.1,55.3,99.9,0.0,0.7
2022-01-06,Khammam,Bonakal,0.0,18.5,32.0,46.5,99.9,0.0,6.8
2022-01-07,Khammam,Bonakal,0.0,18.4,32.7,47.7,99.9,0.0,1.2
2022-01-08,Khammam,Bonakal,0.0,20.3,32.6,50.1,99.9,0.0,6.5
2022-01-09,Khammam,Bonakal,0.0,19.9,32.8,56.6,99.9,0.0,8.8
2022-01-10,Khammam,Bonakal,0.0,20.8,32.9,57.4,99.9,0.0,9.6
2022-01-11,Khammam,Bonakal,0.0,21.0,32.5,58.6,99.9,0.0,3.8
2022-01-12,Khammam,Bonakal,0.0,21.4,32.6,55.9,98.9,0.0,2.8
2022-01-13,Khammam,Bonakal,2.4,21.7,32.3,63.8,99.9,0.0,7.1
2022-01-14,Khammam,Bonakal,11.2,20.5,27.7,84.6,99.9,0.0,1.4
2022-01-15,Khammam,Bonakal,2.7,20.9,29.7,79.1,99.9,0.0,4.4
2022-01-16,Khammam,Bonakal,0.0,21.6,30.5,63.1,99.9,0.0,0.3
2022-01-17,Khammam,Bonakal,0.0,20.9,32.7,62.4,99.3,0.0,7.7
2022-01-18,Khammam,Bonakal,0.0,20.4,31.2,55.0,99.9,0.0,1.3
2022-01-19,Khammam,Bonakal,0.0,19.2,31.6,52.9,99.9,0.0,0.4
2022-01-20,Khammam,Bonakal,0.0,19.3,32.2,53.2,99.9,0.0,0.1
2022-01-21,Khammam,Bonakal,0.0,18.3,31.6,45.6,99.9,0.0,5.8
2022-01-22,Khammam,Bonakal,0.0,20.9,32.9,54.6,99.9,0.0,14.5
2022-01-23,Khammam,Bonakal,0.0,22.2,32.4,47.1,99.4,0.0,0.2
2022-01-24,Khammam,Bonakal,0.0,21.6,32.9,55.0,99.9,0.0,6.0
2022-01-25,Khammam,Bonakal,0.0,16.1,32.1,50.1,92.1,0.0,11.7
2022-01-26,Khammam,Bonakal,0.0,17.2,32.2,45.3,97.5,0.0,9.6
2022-01-27,Khammam,Bonakal,0.0,19.0,32.2,54.8,98.1,0.0,1.6
2022-01-28,Khammam,Bonakal,0.0,15.3,30.3,49.3,97.2,0.0,11.0
2022-01-29,Khammam,Bonakal,0.0,11.9,32.2,30.8,88.7,0.0,11.8
2022-01-30,Khammam,Bonakal,0.0,14.5,30.4,41.3,99.9,0.0,0.9
2022-01-31,Khammam,Bonakal,0.0,14.6,32.0,34.8,99.9,0.0,4.5
2022-02-01,Khammam,Bonakal,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Bonakal,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Bonakal,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Bonakal,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Bonakal,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Bonakal,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Bonakal,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Bonakal,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Bonakal,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Bonakal,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Bonakal,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Bonakal,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Bonakal,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Bonakal,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Bonakal,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Bonakal,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Bonakal,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Bonakal,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Bonakal,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Bonakal,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Bonakal,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Bonakal,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Bonakal,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Bonakal,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Bonakal,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Bonakal,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Bonakal,0.0,11.9,38.0,7.2,100.0,0.0,65.1
