Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Chinthakani,0.0,18.4,31.7,52.4,98.2,0.0,6.4
2022-01-02,Khammam,Chinthakani,0.0,18.9,31.6,52.4,99.1,0.0,9.2
2022-01-03,Khammam,Chinthakani,0.0,17.8,32.5,47.7,99.5,0.0,9.8
2022-01-04,Khammam,Chinthakani,0.0,17.4,31.3,46.8,99.1,0.0,5.4
2022-01-05,Khammam,Chinthakani,0.0,17.0,29.8,54.0,100.0,0.0,6.2
2022-01-06,Khammam,Chinthakani,0.0,16.8,31.1,44.2,100.0,0.0,8.8
2022-01-07,Khammam,Chinthakani,0.0,17.3,32.9,43.7,99.1,0.0,12.3
2022-01-08,Khammam,Chinthakani,0.0,18.1,32.5,48.9,99.6,0.0,12.6
2022-01-09,Khammam,Chinthakani,0.0,18.4,32.2,50.7,100.0,0.0,11.8
2022-01-10,Khammam,Chinthakani,0.0,18.8,32.0,53.9,99.6,0.0,9.8
2022-01-11,Khammam,Chinthakani,0.0,18.6,32.6,48.9,99.0,0.0,12.5
2022-01-12,Khammam,Chinthakani,0.0,21.0,32.4,53.9,98.5,0.0,14.0
2022-01-13,Khammam,Chinthakani,17.1,21.4,31.6,56.5,100.0,0.0,14.1
2022-01-14,Khammam,Chinthakani,11.8,19.6,27.5,70.4,100.0,0.0,13.2
2022-01-15,Khammam,Chinthakani,0.4,20.2,28.1,67.6,100.0,0.0,13.9
2022-01-16,Khammam,Chinthakani,0.0,21.1,31.5,57.0,97.2,0.0,11.6
2022-01-17,Khammam,Chinthakani,4.1,20.3,30.6,56.0,99.0,0.0,8.5
2022-01-18,Khammam,Chinthakani,0.0,18.9,31.8,50.7,99.6,0.0,9.1
2022-01-19,Khammam,Chinthakani,0.0,16.7,31.9,48.4,99.6,0.0,5.3
2022-01-20,Khammam,Chinthakani,0.0,16.5,32.3,44.8,100.0,0.0,4.6
2022-01-21,Khammam,Chinthakani,0.0,17.7,32.0,43.7,100.0,0.0,7.4
2022-01-22,Khammam,Chinthakani,0.0,18.9,31.8,51.9,100.0,0.0,8.1
2022-01-23,Khammam,Chinthakani,0.0,20.9,33.3,44.0,99.5,0.0,7.7
2022-01-24,Khammam,Chinthakani,0.0,21.0,33.1,46.6,99.5,0.0,10.2
2022-01-25,Khammam,Chinthakani,0.0,15.1,32.7,44.2,94.2,0.0,7.1
2022-01-26,Khammam,Chinthakani,0.0,16.3,32.7,40.1,93.3,0.0,6.4
2022-01-27,Khammam,Chinthakani,0.0,17.0,32.2,46.6,99.6,0.0,6.4
2022-01-28,Khammam,Chinthakani,0.0,14.0,30.5,43.3,87.0,0.0,11.6
2022-01-29,Khammam,Chinthakani,0.0,11.4,31.5,30.0,86.9,0.0,5.9
2022-01-30,Khammam,Chinthakani,0.0,13.2,31.7,37.2,96.1,0.0,5.0
2022-01-31,Khammam,Chinthakani,0.0,13.0,32.5,31.4,97.9,0.0,11.1
2022-02-01,Khammam,Chinthakani,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Chinthakani,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Chinthakani,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Chinthakani,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Chinthakani,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Chinthakani,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Chinthakani,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Chinthakani,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Chinthakani,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Chinthakani,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Chinthakani,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Chinthakani,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Chinthakani,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Chinthakani,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Chinthakani,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Chinthakani,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Chinthakani,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Chinthakani,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Chinthakani,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Chinthakani,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Chinthakani,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Chinthakani,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Chinthakani,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Chinthakani,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Chinthakani,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Chinthakani,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Chinthakani,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Khammam,Chinthakani,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Khammam,Chinthakani,0.0,17.0,37.4,24.9,100.0,0.0,5.8
2022-03-02,Khammam,Chinthakani,0.0,16.6,37.0,27.1,99.6,0.0,4.8
2022-03-03,Khammam,Chinthakani,0.0,17.9,36.9,31.7,98.7,0.0,5.7
2022-03-04,Khammam,Chinthakani,0.0,18.1,37.3,35.5,100.0,0.0,6.4
2022-03-05,Khammam,Chinthakani,0.0,18.3,36.2,24.2,99.1,0.0,7.0
