Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Enkuru,0.0,16.1,32.8,39.3,100.0,0.0,0.8
2022-01-02,Khammam,Enkuru,0.0,16.5,32.2,40.5,100.0,0.0,0.8
2022-01-03,Khammam,Enkuru,0.0,16.0,32.7,39.4,100.0,0.0,1.5
2022-01-04,Khammam,Enkuru,0.0,15.3,32.3,38.9,100.0,0.0,0.9
2022-01-05,Khammam,Enkuru,0.0,15.6,32.8,38.8,100.0,0.0,0.5
2022-01-06,Khammam,Enkuru,0.0,15.1,31.6,36.4,100.0,0.0,1.0
2022-01-07,Khammam,Enkuru,0.0,15.3,32.2,37.9,99.3,0.0,1.2
2022-01-08,Khammam,Enkuru,0.0,16.1,31.2,40.5,99.0,0.1,1.6
2022-01-09,Khammam,Enkuru,0.0,16.4,31.2,42.0,100.0,0.0,1.2
2022-01-10,Khammam,Enkuru,0.0,17.6,29.7,46.6,99.8,0.0,1.4
2022-01-11,Khammam,Enkuru,0.0,18.6,30.8,43.6,97.9,0.0,1.5
2022-01-12,Khammam,Enkuru,0.0,20.9,30.4,47.6,96.3,0.0,1.2
2022-01-13,Khammam,Enkuru,2.8,20.7,27.3,65.1,100.0,0.0,1.3
2022-01-14,Khammam,Enkuru,10.8,18.8,30.1,75.0,100.0,0.0,0.7
2022-01-15,Khammam,Enkuru,0.0,19.6,29.0,69.0,99.8,0.0,1.2
2022-01-16,Khammam,Enkuru,0.0,20.0,31.6,46.1,97.4,0.0,0.9
2022-01-17,Khammam,Enkuru,0.0,19.7,32.3,62.8,98.9,0.0,1.2
2022-01-18,Khammam,Enkuru,0.0,17.0,31.6,43.0,99.3,0.0,0.7
2022-01-19,Khammam,Enkuru,0.0,15.3,32.1,37.2,99.5,0.0,1.3
2022-01-20,Khammam,Enkuru,0.0,14.9,30.7,40.0,99.5,0.0,1.7
2022-01-21,Khammam,Enkuru,0.0,16.7,31.3,37.9,99.5,0.0,1.7
2022-01-22,Khammam,Enkuru,0.0,15.8,32.5,40.5,98.4,0.0,1.9
2022-01-23,Khammam,Enkuru,0.0,19.4,31.8,37.9,96.8,0.0,1.6
2022-01-24,Khammam,Enkuru,0.0,19.4,31.1,40.0,100.0,0.0,2.1
2022-01-25,Khammam,Enkuru,0.0,15.6,32.0,35.4,98.7,0.0,2.2
2022-01-26,Khammam,Enkuru,0.0,16.0,31.6,33.1,86.9,0.0,1.7
2022-01-27,Khammam,Enkuru,0.0,17.2,32.3,34.9,92.3,0.0,1.2
2022-01-28,Khammam,Enkuru,0.0,14.1,30.4,34.4,87.5,0.0,3.4
2022-01-29,Khammam,Enkuru,0.0,11.2,31.3,24.1,83.5,0.0,1.4
2022-01-30,Khammam,Enkuru,0.0,11.6,31.0,26.2,95.0,0.0,1.7
2022-01-31,Khammam,Enkuru,0.0,10.8,33.9,23.7,94.2,0.0,2.3
2022-02-01,Khammam,Enkuru,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Enkuru,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Enkuru,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Enkuru,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Enkuru,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Enkuru,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Enkuru,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Enkuru,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Enkuru,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Enkuru,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Enkuru,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Enkuru,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Enkuru,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Enkuru,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Enkuru,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Enkuru,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Enkuru,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Enkuru,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Enkuru,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Enkuru,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Enkuru,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Enkuru,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Enkuru,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Enkuru,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Enkuru,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Enkuru,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Enkuru,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Khammam,Enkuru,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Khammam,Enkuru,0.0,16.3,35.0,17.2,96.7,0.0,1.7
2022-03-02,Khammam,Enkuru,0.0,15.4,35.9,19.7,91.6,0.0,1.5
2022-03-03,Khammam,Enkuru,0.0,17.1,37.0,22.1,92.0,0.0,1.7
2022-03-04,Khammam,Enkuru,0.0,17.6,34.9,31.9,94.8,0.0,1.7
2022-03-05,Khammam,Enkuru,0.0,18.5,35.8,19.7,95.1,0.0,1.7
2022-03-06,Khammam,Enkuru,0.0,18.8,35.5,25.2,91.0,0.0,1.4
2022-03-07,Khammam,Enkuru,0.0,19.3,34.7,31.9,97.0,0.0,2.0
2022-03-08,Khammam,Enkuru,0.0,20.3,35.7,26.4,94.9,0.0,1.2
2022-03-09,Khammam,Enkuru,0.0,19.5,34.9,28.2,92.3,0.0,1.4
2022-03-10,Khammam,Enkuru,0.0,21.1,36.5,22.7,90.4,0.0,1.5
2022-03-11,Khammam,Enkuru,0.0,19.9,35.9,27.0,95.4,0.0,2.1
2022-03-12,Khammam,Enkuru,0.0,20.0,35.9,27.0,88.4,0.0,1.3
2022-03-13,Khammam,Enkuru,0.0,20.0,35.7,24.5,83.3,0.0,1.7
2022-03-14,Khammam,Enkuru,0.0,18.8,38.1,19.3,88.0,0.0,1.7
2022-03-15,Khammam,Enkuru,0.0,19.0,36.4,23.5,88.4,0.0,1.5
2022-03-16,Khammam,Enkuru,0.0,19.1,39.2,17.4,84.9,0.0,2.2
2022-03-17,Khammam,Enkuru,0.0,19.4,38.5,21.1,94.1,0.0,1.3
2022-03-18,Khammam,Enkuru,0.0,22.7,39.4,30.4,91.2,0.2,2.8
