Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Kusumanchi,0.0,19.5,32.1,54.8,99.2,0.0,8.9
2022-01-02,Khammam,Kusumanchi,0.0,20.2,30.6,58.3,99.9,0.0,10.3
2022-01-03,Khammam,Kusumanchi,0.0,20.1,32.6,56.4,99.1,0.0,6.1
2022-01-04,Khammam,Kusumanchi,0.0,19.9,32.9,49.5,98.2,0.0,1.6
2022-01-05,Khammam,Kusumanchi,0.0,19.3,30.1,57.8,98.7,0.0,6.5
2022-01-06,Khammam,Kusumanchi,0.0,19.3,33.0,46.8,98.1,0.0,4.6
2022-01-07,Khammam,Kusumanchi,0.0,20.8,32.7,49.5,99.9,0.0,7.7
2022-01-08,Khammam,Kusumanchi,0.0,21.8,32.4,57.1,99.9,0.0,5.4
2022-01-09,Khammam,Kusumanchi,0.0,19.9,33.0,57.9,91.0,0.0,5.0
2022-01-10,Khammam,Kusumanchi,0.0,20.0,32.2,62.6,99.9,0.0,5.6
2022-01-11,Khammam,Kusumanchi,0.0,20.7,32.3,58.0,99.9,0.0,5.3
2022-01-12,Khammam,Kusumanchi,1.9,22.6,32.7,58.7,99.9,0.0,5.7
2022-01-13,Khammam,Kusumanchi,17.8,20.4,27.5,90.3,100.0,0.0,10.6
2022-01-14,Khammam,Kusumanchi,5.3,20.8,25.5,90.8,100.0,0.0,8.3
2022-01-15,Khammam,Kusumanchi,0.0,22.0,29.6,80.0,100.0,0.0,5.3
2022-01-16,Khammam,Kusumanchi,0.0,21.3,30.6,62.8,96.3,0.0,10.8
2022-01-17,Khammam,Kusumanchi,0.0,21.0,29.7,76.4,98.5,0.0,11.4
2022-01-18,Khammam,Kusumanchi,0.0,20.4,30.2,62.3,99.9,0.0,14.6
2022-01-19,Khammam,Kusumanchi,0.0,18.7,29.8,56.3,100.0,0.0,5.4
2022-01-20,Khammam,Kusumanchi,0.0,18.4,32.7,55.7,97.2,0.0,10.4
2022-01-21,Khammam,Kusumanchi,0.0,20.5,30.7,49.6,99.9,0.0,11.5
