Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Nelakondapalle,0.0,19.9,31.7,52.9,100.0,0.0,5.1
2022-01-02,Khammam,Nelakondapalle,0.0,20.1,32.1,55.8,100.0,0.0,5.7
2022-01-03,Khammam,Nelakondapalle,0.0,20.7,32.5,56.6,100.0,0.0,1.6
2022-01-04,Khammam,Nelakondapalle,0.0,19.2,31.7,55.2,100.0,0.0,0.9
2022-01-05,Khammam,Nelakondapalle,0.0,20.0,32.5,52.0,100.0,0.0,3.2
2022-01-06,Khammam,Nelakondapalle,0.0,18.9,32.9,49.0,100.0,0.0,2.8
2022-01-07,Khammam,Nelakondapalle,0.0,18.6,31.5,43.3,100.0,0.0,4.1
2022-01-08,Khammam,Nelakondapalle,0.0,19.0,32.9,47.2,100.0,0.0,5.6
2022-01-09,Khammam,Nelakondapalle,0.0,19.2,32.7,63.1,100.0,0.0,2.7
2022-01-10,Khammam,Nelakondapalle,0.0,19.5,32.8,58.9,96.2,0.0,2.8
2022-01-11,Khammam,Nelakondapalle,0.0,20.1,32.3,60.2,100.0,0.0,4.6
2022-01-12,Khammam,Nelakondapalle,1.8,22.5,33.8,63.2,100.0,0.0,2.4
2022-01-13,Khammam,Nelakondapalle,1.6,21.9,32.5,73.8,100.0,0.0,4.8
2022-01-14,Khammam,Nelakondapalle,5.2,20.2,27.1,91.5,99.2,0.0,5.1
2022-01-15,Khammam,Nelakondapalle,0.0,21.1,30.0,83.8,100.0,0.0,4.6
2022-01-16,Khammam,Nelakondapalle,0.0,22.2,32.1,69.0,100.0,0.0,4.9
2022-01-17,Khammam,Nelakondapalle,0.0,21.7,31.2,65.7,100.0,0.0,3.1
2022-01-18,Khammam,Nelakondapalle,0.0,20.8,32.0,58.2,100.0,0.0,2.0
2022-01-19,Khammam,Nelakondapalle,0.0,20.3,30.6,45.0,100.0,0.0,2.7
2022-01-20,Khammam,Nelakondapalle,0.0,21.7,32.6,52.7,96.8,0.0,1.1
