Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Penuballi,0.0,19.0,32.8,45.9,99.9,0.0,16.0
2022-01-02,Khammam,Penuballi,0.0,19.5,32.3,49.6,99.9,0.0,17.7
2022-01-03,Khammam,Penuballi,0.0,19.2,33.0,43.1,99.9,0.0,18.9
2022-01-04,Khammam,Penuballi,0.0,16.5,33.0,41.4,100.0,0.0,3.2
2022-01-05,Khammam,Penuballi,0.0,17.6,32.3,48.2,100.0,0.0,13.1
2022-01-06,Khammam,Penuballi,0.0,18.8,31.9,34.3,100.0,0.0,13.9
2022-01-07,Khammam,Penuballi,0.0,18.9,32.6,41.4,100.0,0.0,19.0
2022-01-08,Khammam,Penuballi,0.0,19.0,32.6,44.0,99.9,0.0,27.7
2022-01-09,Khammam,Penuballi,0.0,20.4,33.7,50.0,99.9,0.0,20.6
2022-01-10,Khammam,Penuballi,0.0,20.5,32.4,55.0,99.9,0.0,24.9
2022-01-11,Khammam,Penuballi,0.0,21.0,32.3,50.0,100.0,0.0,20.6
2022-01-12,Khammam,Penuballi,0.0,21.7,34.3,51.8,94.4,0.0,21.4
2022-01-13,Khammam,Penuballi,48.9,21.4,30.5,65.2,99.9,0.0,23.4
2022-01-14,Khammam,Penuballi,10.4,19.4,29.9,77.5,100.0,0.0,25.9
2022-01-15,Khammam,Penuballi,0.5,20.4,28.2,77.7,100.0,0.0,4.0
2022-01-16,Khammam,Penuballi,0.0,20.6,32.4,55.4,100.0,0.0,15.0
2022-01-17,Khammam,Penuballi,0.6,20.3,34.0,55.6,100.0,0.0,20.1
2022-01-18,Khammam,Penuballi,0.0,17.8,32.8,46.3,100.0,0.0,12.7
2022-01-19,Khammam,Penuballi,0.0,16.5,33.5,36.5,100.0,0.0,5.7
2022-01-20,Khammam,Penuballi,0.0,15.6,33.4,50.2,100.0,0.0,5.8
2022-01-21,Khammam,Penuballi,0.0,18.7,33.8,46.8,100.0,0.0,7.2
2022-01-22,Khammam,Penuballi,0.0,18.7,33.9,47.5,100.0,0.0,4.6
2022-01-23,Khammam,Penuballi,0.0,20.9,34.4,43.1,100.0,0.0,14.6
2022-01-24,Khammam,Penuballi,0.0,21.6,34.0,48.0,100.0,0.0,8.2
2022-01-25,Khammam,Penuballi,0.0,17.6,33.7,50.7,100.0,0.0,21.3
2022-01-26,Khammam,Penuballi,0.0,18.5,32.2,34.8,90.1,0.0,19.6
2022-01-27,Khammam,Penuballi,0.0,18.7,33.8,43.2,100.0,0.0,10.5
2022-01-28,Khammam,Penuballi,0.0,14.4,30.5,35.1,86.6,0.0,31.3
2022-01-29,Khammam,Penuballi,0.0,14.6,32.3,25.6,82.5,0.0,22.9
2022-01-30,Khammam,Penuballi,0.0,12.9,32.9,29.7,100.0,0.0,14.8
2022-01-31,Khammam,Penuballi,0.0,13.6,34.7,24.5,100.0,0.0,10.7
2022-02-01,Khammam,Penuballi,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Penuballi,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Penuballi,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Penuballi,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Penuballi,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Penuballi,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Penuballi,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Penuballi,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Penuballi,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Penuballi,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Penuballi,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Penuballi,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Penuballi,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Penuballi,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Penuballi,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Penuballi,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Penuballi,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Penuballi,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Penuballi,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Penuballi,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Penuballi,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Penuballi,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Penuballi,0.0,11.5,38.7,6.9,100.0,0.0,65.1
