Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Raghunadhapalem,0.0,17.0,30.9,47.9,100.0,0.0,7.6
2022-01-02,Khammam,Raghunadhapalem,0.0,18.1,29.9,53.0,100.0,0.0,5.3
2022-01-03,Khammam,Raghunadhapalem,0.0,17.4,32.0,44.0,100.0,0.0,4.8
2022-01-04,Khammam,Raghunadhapalem,0.0,16.7,30.6,46.5,100.0,0.0,3.3
2022-01-05,Khammam,Raghunadhapalem,0.0,17.0,30.4,48.4,100.0,0.0,7.7
2022-01-06,Khammam,Raghunadhapalem,0.0,16.9,30.3,38.8,100.0,0.0,10.2
2022-01-07,Khammam,Raghunadhapalem,0.0,17.4,32.0,39.9,100.0,0.0,9.7
2022-01-08,Khammam,Raghunadhapalem,0.0,18.5,30.4,50.5,100.0,0.0,11.0
2022-01-09,Khammam,Raghunadhapalem,0.0,19.0,30.0,57.7,100.0,0.0,35.8
2022-01-10,Khammam,Raghunadhapalem,0.0,19.6,29.9,59.6,100.0,0.0,39.2
2022-01-11,Khammam,Raghunadhapalem,0.0,20.1,31.0,56.3,100.0,0.0,8.2
2022-01-12,Khammam,Raghunadhapalem,0.0,21.9,31.3,55.9,100.0,0.0,10.9
2022-01-13,Khammam,Raghunadhapalem,30.2,19.8,28.0,81.5,100.0,0.0,9.6
2022-01-14,Khammam,Raghunadhapalem,4.9,19.8,26.2,85.1,100.0,0.0,13.2
2022-01-15,Khammam,Raghunadhapalem,1.0,21.0,28.5,85.5,100.0,0.0,9.9
2022-01-16,Khammam,Raghunadhapalem,0.0,20.6,29.7,71.2,100.0,0.0,5.4
2022-01-17,Khammam,Raghunadhapalem,0.0,21.0,29.1,64.7,100.0,0.0,8.4
2022-01-18,Khammam,Raghunadhapalem,0.0,18.3,29.6,65.1,100.0,0.0,4.4
2022-01-19,Khammam,Raghunadhapalem,0.0,16.1,30.3,44.7,100.0,0.0,6.8
2022-01-20,Khammam,Raghunadhapalem,0.0,15.9,30.5,46.3,100.0,0.0,5.0
2022-01-21,Khammam,Raghunadhapalem,0.0,17.9,31.2,41.4,100.0,0.0,9.4
2022-01-22,Khammam,Raghunadhapalem,0.0,17.2,31.8,47.9,100.0,0.0,10.2
2022-01-23,Khammam,Raghunadhapalem,0.0,21.4,32.6,44.0,100.0,0.0,10.9
2022-01-24,Khammam,Raghunadhapalem,0.0,19.7,32.8,43.6,100.0,0.0,8.1
2022-01-25,Khammam,Raghunadhapalem,0.0,15.9,32.1,38.8,100.0,0.0,10.1
2022-01-26,Khammam,Raghunadhapalem,0.0,16.6,31.9,35.6,99.7,0.0,7.6
2022-01-27,Khammam,Raghunadhapalem,0.0,16.8,31.5,43.6,97.8,0.0,8.0
2022-01-28,Khammam,Raghunadhapalem,0.0,13.2,28.9,38.4,88.4,0.0,10.6
2022-01-29,Khammam,Raghunadhapalem,0.0,11.5,30.4,22.2,86.8,0.0,10.8
2022-01-30,Khammam,Raghunadhapalem,0.0,12.8,32.3,21.9,95.4,0.0,8.1
2022-01-31,Khammam,Raghunadhapalem,0.0,12.0,32.7,21.5,89.3,0.0,9.9
2022-02-01,Khammam,Raghunadhapalem,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Raghunadhapalem,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Raghunadhapalem,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Raghunadhapalem,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Raghunadhapalem,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Raghunadhapalem,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Raghunadhapalem,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Raghunadhapalem,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Raghunadhapalem,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Raghunadhapalem,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Raghunadhapalem,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Raghunadhapalem,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Raghunadhapalem,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Raghunadhapalem,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Raghunadhapalem,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Raghunadhapalem,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Raghunadhapalem,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Raghunadhapalem,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Raghunadhapalem,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Raghunadhapalem,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Raghunadhapalem,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Raghunadhapalem,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Raghunadhapalem,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Raghunadhapalem,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Raghunadhapalem,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Raghunadhapalem,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Raghunadhapalem,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Khammam,Raghunadhapalem,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Khammam,Raghunadhapalem,0.0,17.4,35.3,15.9,100.0,0.0,11.5
2022-03-02,Khammam,Raghunadhapalem,0.0,16.7,36.5,13.3,100.0,0.0,9.4
2022-03-03,Khammam,Raghunadhapalem,0.0,18.6,36.1,16.5,100.0,0.0,9.0
2022-03-04,Khammam,Raghunadhapalem,0.0,19.4,35.2,24.2,100.0,0.0,12.1
2022-03-05,Khammam,Raghunadhapalem,0.0,19.2,35.5,15.9,100.0,0.0,13.7
2022-03-06,Khammam,Raghunadhapalem,0.0,19.1,35.2,23.6,91.0,0.0,9.3
2022-03-07,Khammam,Raghunadhapalem,0.0,19.6,34.4,33.6,100.0,0.0,12.8
2022-03-08,Khammam,Raghunadhapalem,0.0,20.3,35.6,26.8,100.0,0.0,9.6
2022-03-09,Khammam,Raghunadhapalem,0.0,21.1,36.7,22.9,100.0,0.0,7.0
2022-03-10,Khammam,Raghunadhapalem,0.0,20.9,35.9,28.5,100.0,0.0,7.2
2022-03-11,Khammam,Raghunadhapalem,0.0,21.0,36.2,26.8,98.4,0.0,7.0
2022-03-12,Khammam,Raghunadhapalem,0.0,21.3,37.3,23.8,84.6,0.0,4.8
