Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Thallada,0.0,19.0,32.2,42.3,100.0,0.0,6.7
2022-01-02,Khammam,Thallada,0.0,19.4,32.6,43.9,100.0,0.0,5.4
2022-01-03,Khammam,Thallada,0.0,18.7,32.4,39.6,100.0,0.0,5.9
2022-01-04,Khammam,Thallada,0.0,17.7,30.7,42.8,100.0,0.0,5.2
2022-01-05,Khammam,Thallada,0.0,17.7,31.0,43.9,100.0,0.0,6.1
2022-01-06,Khammam,Thallada,0.0,17.7,32.2,40.7,100.0,0.0,6.2
2022-01-07,Khammam,Thallada,0.0,17.9,31.8,41.7,100.0,0.0,8.4
2022-01-08,Khammam,Thallada,0.0,19.0,32.3,40.5,100.0,0.0,4.6
2022-01-09,Khammam,Thallada,0.0,19.4,32.4,42.8,100.0,0.0,8.4
2022-01-10,Khammam,Thallada,0.0,19.3,30.9,44.5,100.0,0.0,4.1
2022-01-11,Khammam,Thallada,0.0,19.3,31.6,43.9,100.0,0.0,6.3
2022-01-12,Khammam,Thallada,0.0,21.5,31.5,47.2,100.0,0.0,5.8
2022-01-13,Khammam,Thallada,4.8,21.4,28.9,70.0,100.0,0.0,8.3
2022-01-14,Khammam,Thallada,6.8,19.7,28.8,87.1,100.0,0.0,6.5
2022-01-15,Khammam,Thallada,0.6,21.1,28.7,90.8,100.0,0.0,7.3
2022-01-16,Khammam,Thallada,0.0,20.9,32.3,60.6,100.0,0.0,7.1
2022-01-17,Khammam,Thallada,0.0,20.4,30.7,51.0,100.0,0.0,6.7
2022-01-18,Khammam,Thallada,0.0,19.7,31.6,49.3,100.0,0.0,7.7
2022-01-19,Khammam,Thallada,0.0,17.2,31.7,43.9,100.0,0.0,4.7
2022-01-20,Khammam,Thallada,0.0,16.7,31.8,42.8,100.0,0.0,4.2
2022-01-21,Khammam,Thallada,0.0,18.4,32.5,40.7,100.0,0.0,7.1
2022-01-22,Khammam,Thallada,0.0,17.5,32.9,39.4,100.0,0.0,5.0
2022-01-23,Khammam,Thallada,0.0,20.7,32.7,47.2,100.0,0.0,4.7
2022-01-24,Khammam,Thallada,0.0,21.2,33.0,43.4,100.0,0.0,10.3
2022-01-25,Khammam,Thallada,0.0,16.5,32.3,42.8,100.0,0.0,12.0
2022-01-26,Khammam,Thallada,0.0,17.3,31.8,38.0,100.0,0.0,9.9
2022-01-27,Khammam,Thallada,0.0,18.6,31.3,42.8,100.0,0.0,4.9
2022-01-28,Khammam,Thallada,0.0,14.5,30.7,38.2,99.9,0.0,12.2
2022-01-29,Khammam,Thallada,0.0,12.2,31.5,28.1,94.4,0.0,13.7
2022-01-30,Khammam,Thallada,0.0,15.3,32.1,36.3,100.0,0.0,5.6
2022-01-31,Khammam,Thallada,0.0,13.9,32.8,27.1,100.0,0.0,6.9
2022-02-01,Khammam,Thallada,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Thallada,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Thallada,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Thallada,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Thallada,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Thallada,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Thallada,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Thallada,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Thallada,0.0,15.4,36.5,23.7,100.0,0.0,67.4
