Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Thirumalayapalem,0.0,17.9,30.7,52.6,100.0,0.0,5.3
2022-01-02,Khammam,Thirumalayapalem,0.0,18.7,30.0,59.0,100.0,0.0,7.1
2022-01-03,Khammam,Thirumalayapalem,0.0,17.3,31.2,43.9,100.0,0.0,4.4
2022-01-04,Khammam,Thirumalayapalem,0.0,16.8,30.6,49.4,100.0,0.0,2.3
2022-01-05,Khammam,Thirumalayapalem,0.0,16.6,30.2,53.1,100.0,0.0,6.0
2022-01-06,Khammam,Thirumalayapalem,0.0,16.5,30.5,46.1,100.0,0.0,5.8
2022-01-07,Khammam,Thirumalayapalem,0.0,17.3,31.3,45.0,100.0,0.0,5.3
2022-01-08,Khammam,Thirumalayapalem,0.0,17.8,31.2,51.6,100.0,0.0,10.8
2022-01-09,Khammam,Thirumalayapalem,0.0,18.9,30.4,59.5,100.0,0.0,8.4
2022-01-10,Khammam,Thirumalayapalem,0.0,18.4,30.3,66.2,100.0,0.0,8.8
2022-01-11,Khammam,Thirumalayapalem,0.0,19.2,30.4,62.4,100.0,0.0,7.8
2022-01-12,Khammam,Thirumalayapalem,0.0,21.5,31.2,58.5,100.0,0.0,10.3
2022-01-13,Khammam,Thirumalayapalem,27.3,19.7,29.7,76.2,100.0,0.0,8.9
2022-01-14,Khammam,Thirumalayapalem,15.1,20.0,27.5,85.2,100.0,0.0,6.5
2022-01-15,Khammam,Thirumalayapalem,0.0,20.9,29.2,76.4,99.8,0.0,5.3
2022-01-16,Khammam,Thirumalayapalem,16.3,21.0,31.0,66.9,100.0,0.0,8.5
2022-01-17,Khammam,Thirumalayapalem,0.3,21.3,29.1,76.4,100.0,0.0,11.3
2022-01-18,Khammam,Thirumalayapalem,0.0,18.6,30.1,62.1,100.0,0.0,10.3
2022-01-19,Khammam,Thirumalayapalem,0.0,16.6,30.5,48.8,100.0,0.0,6.2
2022-01-20,Khammam,Thirumalayapalem,0.0,16.7,30.6,50.0,100.0,0.0,6.9
2022-01-21,Khammam,Thirumalayapalem,0.0,18.0,31.8,41.1,100.0,0.0,7.5
2022-01-22,Khammam,Thirumalayapalem,0.0,17.2,32.7,50.9,100.0,0.0,7.1
2022-01-23,Khammam,Thirumalayapalem,0.0,20.0,32.6,45.9,100.0,0.0,5.7
2022-01-24,Khammam,Thirumalayapalem,0.0,20.2,32.8,42.0,100.0,0.0,8.6
2022-01-25,Khammam,Thirumalayapalem,0.0,16.5,30.6,43.3,94.7,0.0,16.1
2022-01-26,Khammam,Thirumalayapalem,0.0,17.2,31.6,39.7,97.1,0.0,9.6
2022-01-27,Khammam,Thirumalayapalem,0.0,17.6,30.2,46.1,86.3,0.0,7.2
2022-01-28,Khammam,Thirumalayapalem,0.0,12.9,29.5,38.3,91.8,0.0,10.1
2022-01-29,Khammam,Thirumalayapalem,0.0,12.5,30.2,22.3,100.0,0.0,9.6
2022-01-30,Khammam,Thirumalayapalem,0.0,12.6,30.5,22.6,100.0,0.0,6.3
2022-01-31,Khammam,Thirumalayapalem,0.0,13.8,31.9,22.8,100.0,0.0,9.6
2022-02-01,Khammam,Thirumalayapalem,0.0,8.7,36.8,6.8,100.0,0.0,65.1
