Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Wyra,0.0,18.6,32.0,56.6,100.0,0.0,6.7
2022-01-02,Khammam,Wyra,0.0,18.8,32.5,55.6,100.0,0.0,5.4
2022-01-03,Khammam,Wyra,0.0,18.3,32.5,45.4,100.0,0.0,5.9
2022-01-04,Khammam,Wyra,0.0,17.8,32.2,54.7,99.6,0.0,5.2
2022-01-05,Khammam,Wyra,0.0,17.2,32.8,57.5,100.0,0.0,6.1
2022-01-06,Khammam,Wyra,0.0,17.3,32.3,47.6,100.0,0.0,6.2
2022-01-07,Khammam,Wyra,0.0,17.6,33.6,50.3,100.0,0.0,8.4
2022-01-08,Khammam,Wyra,0.0,17.9,32.8,54.8,100.0,0.0,4.6
2022-01-09,Khammam,Wyra,0.0,19.1,32.8,61.3,100.0,0.0,8.4
2022-01-10,Khammam,Wyra,0.0,19.0,32.5,62.8,100.0,0.0,0.1
2022-01-11,Khammam,Wyra,0.0,19.2,33.6,63.1,100.0,0.0,6.3
2022-01-12,Khammam,Wyra,0.0,20.9,33.6,63.4,99.0,0.0,5.8
2022-01-13,Khammam,Wyra,3.2,21.1,29.8,70.0,100.0,0.0,8.3
2022-01-14,Khammam,Wyra,8.9,19.2,29.9,81.1,100.0,0.0,6.5
2022-01-15,Khammam,Wyra,0.3,20.9,30.6,78.7,100.0,0.0,7.3
2022-01-16,Khammam,Wyra,0.3,19.9,32.1,64.6,100.0,0.0,7.1
2022-01-17,Khammam,Wyra,0.0,20.3,32.9,62.3,99.4,0.0,6.7
2022-01-18,Khammam,Wyra,0.0,19.0,30.7,60.4,99.5,0.0,7.7
2022-01-19,Khammam,Wyra,0.0,17.2,32.5,49.7,100.0,0.0,4.7
2022-01-20,Khammam,Wyra,0.0,15.8,33.0,50.3,100.0,0.0,4.2
2022-01-21,Khammam,Wyra,0.0,17.6,33.6,45.3,100.0,0.0,7.1
2022-01-22,Khammam,Wyra,0.0,17.4,33.6,52.7,99.6,0.0,5.0
2022-01-23,Khammam,Wyra,0.0,20.9,34.2,52.7,100.0,0.0,4.7
2022-01-24,Khammam,Wyra,0.0,21.3,33.6,50.7,99.5,0.0,10.3
2022-01-25,Khammam,Wyra,0.0,17.7,34.0,49.6,87.0,0.0,12.0
2022-01-26,Khammam,Wyra,0.0,17.3,33.6,42.6,91.5,0.0,9.9
2022-01-27,Khammam,Wyra,0.0,18.8,32.0,52.8,97.7,0.0,4.9
2022-01-28,Khammam,Wyra,0.0,14.7,33.6,46.0,88.1,0.0,12.2
2022-01-29,Khammam,Wyra,0.0,12.2,33.6,33.5,92.4,0.0,13.7
2022-01-30,Khammam,Wyra,0.0,14.8,33.6,34.5,93.1,0.0,5.6
2022-01-31,Khammam,Wyra,0.0,13.1,33.6,29.9,92.6,0.0,6.9
2022-02-01,Khammam,Wyra,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Wyra,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Wyra,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Wyra,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Wyra,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Wyra,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Wyra,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Wyra,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Wyra,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Wyra,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Wyra,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Wyra,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Wyra,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Wyra,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Wyra,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Wyra,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Wyra,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Wyra,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Wyra,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Wyra,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Wyra,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Wyra,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Wyra,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Wyra,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Wyra,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Wyra,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Wyra,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Khammam,Wyra,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Khammam,Wyra,0.0,17.5,38.7,26.4,95.6,0.0,4.6
2022-03-02,Khammam,Wyra,0.0,16.9,37.2,26.3,98.2,0.0,6.5
2022-03-03,Khammam,Wyra,0.0,19.0,36.4,27.6,98.0,0.0,6.2
2022-03-04,Khammam,Wyra,0.0,19.4,38.7,40.7,98.5,0.0,7.1
2022-03-05,Khammam,Wyra,0.0,19.6,37.4,29.6,96.2,0.0,8.2
2022-03-06,Khammam,Wyra,0.0,19.9,37.4,32.8,89.9,0.0,6.9
2022-03-07,Khammam,Wyra,0.0,20.3,36.7,42.4,99.2,0.0,6.3
2022-03-08,Khammam,Wyra,0.0,20.5,36.6,39.7,96.0,0.0,7.0
2022-03-09,Khammam,Wyra,0.0,20.8,37.1,35.8,98.0,0.0,1.7
2022-03-10,Khammam,Wyra,0.0,20.5,36.3,41.3,97.0,0.0,6.7
2022-03-11,Khammam,Wyra,0.0,20.7,36.7,36.9,95.4,0.0,6.3
