Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Armur,0.0,15.8,27.1,61.3,100.0,0.0,8.9
2022-01-02,Nizamabad,Armur,0.0,15.0,31.2,47.1,100.0,0.0,4.6
2022-01-03,Nizamabad,Armur,0.0,13.8,30.4,40.2,100.0,0.0,11.4
2022-01-04,Nizamabad,Armur,0.0,14.1,31.2,39.2,100.0,0.0,8.9
2022-01-05,Nizamabad,Armur,0.0,14.0,30.7,32.7,100.0,0.0,5.2
2022-01-06,Nizamabad,Armur,0.0,14.7,31.8,42.5,100.0,0.0,2.6
2022-01-07,Nizamabad,Armur,0.0,15.0,32.6,27.9,100.0,0.0,7.1
2022-01-08,Nizamabad,Armur,0.0,16.3,31.2,31.3,100.0,0.0,14.5
2022-01-09,Nizamabad,Armur,0.0,19.1,30.0,58.8,100.0,0.0,9.1
2022-01-10,Nizamabad,Armur,4.5,19.0,32.2,46.9,100.0,0.0,9.7
2022-01-11,Nizamabad,Armur,1.4,18.8,27.7,67.1,100.0,0.0,10.2
2022-01-12,Nizamabad,Armur,0.0,18.9,26.3,72.5,100.0,0.0,7.4
2022-01-13,Nizamabad,Armur,0.0,17.0,24.3,75.0,99.8,0.0,9.6
2022-01-14,Nizamabad,Armur,0.4,18.5,28.8,58.1,100.0,0.0,10.1
2022-01-15,Nizamabad,Armur,0.0,18.3,29.3,42.4,99.5,0.0,5.0
2022-01-16,Nizamabad,Armur,0.0,15.3,25.8,65.4,100.0,0.0,7.2
2022-01-17,Nizamabad,Armur,0.0,15.6,28.1,58.5,100.0,0.0,7.9
2022-01-18,Nizamabad,Armur,0.0,14.4,30.2,51.0,100.0,0.0,9.0
2022-01-19,Nizamabad,Armur,0.0,15.4,29.5,45.5,100.0,0.0,1.7
2022-01-20,Nizamabad,Armur,0.0,13.6,29.8,34.7,100.0,0.0,1.7
2022-01-21,Nizamabad,Armur,0.0,14.6,31.1,30.7,100.0,0.0,2.1
2022-01-22,Nizamabad,Armur,0.0,13.7,30.4,32.8,100.0,0.0,7.7
2022-01-23,Nizamabad,Armur,0.0,17.1,31.9,35.6,100.0,0.0,6.5
2022-01-24,Nizamabad,Armur,0.0,14.1,28.2,47.5,100.0,0.0,5.3
2022-01-25,Nizamabad,Armur,0.0,12.9,25.2,44.3,100.0,0.0,4.1
2022-01-26,Nizamabad,Armur,0.0,11.8,27.8,38.0,100.0,0.0,6.1
2022-01-27,Nizamabad,Armur,0.0,11.8,27.6,36.8,100.0,0.0,2.6
2022-01-28,Nizamabad,Armur,0.0,9.9,28.7,33.1,100.0,0.0,5.9
2022-01-29,Nizamabad,Armur,0.0,7.8,27.1,28.4,100.0,0.0,4.8
2022-01-30,Nizamabad,Armur,0.0,8.6,29.4,12.8,100.0,0.0,3.4
2022-01-31,Nizamabad,Armur,0.0,11.0,31.8,20.2,100.0,0.0,5.1
2022-02-01,Nizamabad,Armur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Armur,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Armur,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Armur,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Armur,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Armur,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Armur,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Armur,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Armur,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Armur,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Armur,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Armur,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Armur,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Armur,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Armur,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Armur,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Armur,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Armur,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Armur,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Armur,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Armur,0.0,10.0,37.2,15.5,100.0,0.0,65.1
