Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Balkonda,0.0,17.2,26.4,62.0,82.7,0.0,3.6
2022-01-02,Nizamabad,Balkonda,0.0,16.2,27.8,54.7,81.1,0.0,4.2
2022-01-03,Nizamabad,Balkonda,0.0,15.9,28.1,46.4,79.7,0.0,5.3
2022-01-04,Nizamabad,Balkonda,0.0,15.2,27.8,48.3,82.7,0.0,3.3
2022-01-05,Nizamabad,Balkonda,0.0,15.8,28.2,43.7,80.1,0.0,4.1
2022-01-06,Nizamabad,Balkonda,0.0,15.8,28.4,55.2,83.8,0.0,2.7
2022-01-07,Nizamabad,Balkonda,0.0,17.7,29.4,42.3,80.0,0.0,5.2
2022-01-08,Nizamabad,Balkonda,0.0,19.3,28.2,43.4,79.2,0.0,9.1
2022-01-09,Nizamabad,Balkonda,0.0,18.9,27.7,61.2,81.2,0.0,4.4
2022-01-10,Nizamabad,Balkonda,0.5,20.2,28.3,60.3,83.1,0.0,7.3
2022-01-11,Nizamabad,Balkonda,0.0,19.6,26.6,70.4,84.9,0.0,4.0
2022-01-12,Nizamabad,Balkonda,0.0,19.3,24.8,75.8,84.9,0.0,3.6
2022-01-13,Nizamabad,Balkonda,0.0,17.5,22.9,76.2,83.1,0.0,3.1
2022-01-14,Nizamabad,Balkonda,2.0,19.5,26.1,68.8,84.6,0.0,5.4
2022-01-15,Nizamabad,Balkonda,0.0,18.8,27.8,63.2,84.7,0.0,6.2
2022-01-16,Nizamabad,Balkonda,0.0,16.6,24.6,70.9,83.9,0.0,3.8
2022-01-17,Nizamabad,Balkonda,0.0,17.6,25.5,67.6,83.5,0.0,4.9
2022-01-18,Nizamabad,Balkonda,0.0,16.8,27.0,55.4,82.7,0.0,6.4
2022-01-19,Nizamabad,Balkonda,0.0,16.3,27.4,53.0,83.8,0.0,2.6
2022-01-20,Nizamabad,Balkonda,0.0,16.1,27.2,49.5,81.2,0.0,2.6
2022-01-21,Nizamabad,Balkonda,0.0,17.3,30.3,37.3,78.8,0.0,2.9
2022-01-22,Nizamabad,Balkonda,0.0,16.4,29.1,45.3,77.8,0.0,3.9
2022-01-23,Nizamabad,Balkonda,0.0,18.9,30.2,45.6,78.3,0.0,3.0
2022-01-24,Nizamabad,Balkonda,0.0,15.0,27.0,52.0,75.8,0.0,3.8
2022-01-25,Nizamabad,Balkonda,0.0,14.5,24.3,48.9,77.3,0.0,3.4
2022-01-26,Nizamabad,Balkonda,0.0,14.1,24.9,46.3,76.7,0.0,3.6
2022-01-27,Nizamabad,Balkonda,0.0,14.7,26.1,43.9,75.1,0.0,3.2
2022-01-28,Nizamabad,Balkonda,0.0,13.9,26.3,41.2,71.8,0.0,3.7
2022-01-29,Nizamabad,Balkonda,0.0,14.2,25.4,37.1,69.7,0.0,6.0
