Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Bheemgal,0.0,17.1,28.2,57.9,98.0,0.0,1.1
2022-01-02,Nizamabad,Bheemgal,0.0,16.8,28.5,54.1,96.3,0.0,4.5
2022-01-03,Nizamabad,Bheemgal,0.0,16.3,29.4,44.8,95.8,0.0,1.2
2022-01-04,Nizamabad,Bheemgal,0.0,16.3,29.2,45.2,96.0,0.0,0.9
2022-01-05,Nizamabad,Bheemgal,0.0,15.7,29.5,38.9,94.8,0.0,0.9
2022-01-06,Nizamabad,Bheemgal,0.0,16.7,29.7,46.3,97.0,0.0,1.2
2022-01-07,Nizamabad,Bheemgal,0.0,17.3,30.3,36.2,93.0,0.0,1.9
2022-01-08,Nizamabad,Bheemgal,0.0,20.3,29.1,38.7,86.9,0.0,2.2
2022-01-09,Nizamabad,Bheemgal,0.0,20.9,28.1,61.3,89.6,0.0,1.2
2022-01-10,Nizamabad,Bheemgal,13.8,19.4,30.4,54.2,99.2,0.0,2.4
2022-01-11,Nizamabad,Bheemgal,7.6,19.4,28.0,67.2,100.0,0.0,1.3
2022-01-12,Nizamabad,Bheemgal,12.5,19.5,24.8,80.1,99.8,0.0,1.0
2022-01-13,Nizamabad,Bheemgal,0.0,18.1,24.0,83.1,98.9,0.0,0.9
2022-01-14,Nizamabad,Bheemgal,7.3,19.3,26.5,69.8,98.9,0.0,0.9
2022-01-15,Nizamabad,Bheemgal,0.0,19.1,29.4,49.8,97.9,0.0,2.2
2022-01-16,Nizamabad,Bheemgal,0.0,17.0,25.7,74.7,99.0,0.0,1.3
2022-01-17,Nizamabad,Bheemgal,0.0,17.6,25.4,73.1,99.8,0.0,1.4
2022-01-18,Nizamabad,Bheemgal,0.0,16.7,28.0,58.3,99.3,0.0,1.7
2022-01-19,Nizamabad,Bheemgal,0.0,16.5,27.7,52.1,98.5,0.0,1.6
2022-01-20,Nizamabad,Bheemgal,0.0,16.0,27.2,50.4,96.3,0.0,2.0
2022-01-21,Nizamabad,Bheemgal,0.0,17.0,29.0,40.8,91.6,0.0,1.6
2022-01-22,Nizamabad,Bheemgal,0.0,16.2,28.7,49.3,92.4,0.0,3.1
2022-01-23,Nizamabad,Bheemgal,0.0,18.1,30.8,43.2,94.5,0.0,0.9
2022-01-24,Nizamabad,Bheemgal,0.0,15.7,27.1,53.6,88.2,0.0,2.5
2022-01-25,Nizamabad,Bheemgal,0.0,14.8,24.5,49.9,93.8,0.0,2.2
2022-01-26,Nizamabad,Bheemgal,0.0,14.4,25.2,48.5,91.4,0.0,1.7
2022-01-27,Nizamabad,Bheemgal,0.0,14.3,26.2,45.8,93.3,0.0,1.3
2022-01-28,Nizamabad,Bheemgal,0.0,12.4,26.2,41.0,94.9,0.0,1.4
2022-01-29,Nizamabad,Bheemgal,0.0,11.2,25.8,36.4,94.1,0.0,1.4
2022-01-30,Nizamabad,Bheemgal,0.0,11.5,27.4,31.9,91.5,0.0,1.6
2022-01-31,Nizamabad,Bheemgal,0.0,13.1,29.1,29.4,87.7,0.0,2.1
2022-02-01,Nizamabad,Bheemgal,0.0,8.7,36.8,6.8,100.0,0.0,65.1
