Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Chandur,0.0,16.7,26.6,70.9,95.1,0.0,7.2
2022-01-02,Nizamabad,Chandur,0.0,16.5,28.2,63.8,95.6,0.0,9.9
2022-01-03,Nizamabad,Chandur,0.0,15.1,29.5,53.5,94.9,0.0,8.8
2022-01-04,Nizamabad,Chandur,0.0,15.0,28.2,53.1,93.3,0.0,10.8
2022-01-05,Nizamabad,Chandur,0.0,15.6,28.7,52.2,94.2,0.0,10.6
2022-01-06,Nizamabad,Chandur,0.0,16.8,28.3,56.2,93.0,0.0,10.8
2022-01-07,Nizamabad,Chandur,0.0,17.1,29.3,49.7,88.1,0.0,8.6
2022-01-08,Nizamabad,Chandur,0.0,19.9,30.0,46.7,86.2,0.0,6.0
2022-01-09,Nizamabad,Chandur,0.0,21.0,28.6,60.7,87.5,0.0,5.5
2022-01-10,Nizamabad,Chandur,28.5,18.2,30.0,57.1,95.1,0.0,10.4
2022-01-11,Nizamabad,Chandur,0.0,19.1,26.8,74.5,95.8,0.0,6.0
2022-01-12,Nizamabad,Chandur,0.0,19.2,25.3,81.0,94.9,0.0,11.6
2022-01-13,Nizamabad,Chandur,0.0,17.6,24.8,80.1,96.0,0.0,6.9
2022-01-14,Nizamabad,Chandur,0.0,17.6,25.9,72.4,96.5,0.0,7.2
2022-01-15,Nizamabad,Chandur,0.0,19.1,28.8,54.0,96.8,0.0,11.6
2022-01-16,Nizamabad,Chandur,0.0,17.1,26.1,72.4,95.6,0.0,8.0
2022-01-17,Nizamabad,Chandur,0.0,17.1,25.6,74.5,97.0,0.0,6.3
2022-01-18,Nizamabad,Chandur,0.0,15.2,28.3,62.5,97.2,0.0,4.2
2022-01-19,Nizamabad,Chandur,0.0,15.1,28.2,59.3,96.2,0.0,8.0
2022-01-20,Nizamabad,Chandur,0.0,13.3,27.2,58.0,95.8,0.0,8.4
2022-01-21,Nizamabad,Chandur,0.0,15.0,28.6,48.3,94.7,0.0,7.6
2022-01-22,Nizamabad,Chandur,0.0,14.1,28.7,55.3,90.9,0.0,13.3
2022-01-23,Nizamabad,Chandur,0.0,16.1,32.0,48.6,93.5,0.0,9.6
2022-01-24,Nizamabad,Chandur,0.0,14.4,27.9,58.4,92.1,0.0,10.0
2022-01-25,Nizamabad,Chandur,0.0,12.9,23.3,61.9,95.5,0.0,8.0
2022-01-26,Nizamabad,Chandur,0.0,13.0,24.9,57.5,95.3,0.0,10.6
2022-01-27,Nizamabad,Chandur,0.0,13.2,25.4,58.4,94.2,0.0,7.3
2022-01-28,Nizamabad,Chandur,0.0,11.1,25.7,53.5,90.9,0.0,7.3
2022-01-29,Nizamabad,Chandur,0.0,10.7,26.0,49.3,89.8,0.0,11.1
2022-01-30,Nizamabad,Chandur,0.0,8.4,26.3,47.3,92.0,0.0,10.5
2022-01-31,Nizamabad,Chandur,0.0,11.1,28.4,46.1,91.4,0.0,7.5
2022-02-01,Nizamabad,Chandur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Chandur,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Chandur,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Chandur,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Chandur,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Chandur,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Chandur,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Chandur,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Chandur,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Chandur,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Chandur,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Chandur,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Chandur,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Chandur,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Chandur,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Chandur,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Chandur,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Chandur,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Chandur,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Chandur,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Chandur,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Chandur,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Chandur,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Chandur,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Chandur,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Chandur,0.0,11.4,38.3,5.2,100.0,0.0,65.1
