Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Indalwai,0.0,16.9,28.1,62.3,99.9,0.0,7.2
2022-01-02,Nizamabad,Indalwai,0.0,17.6,29.6,54.6,99.9,0.0,4.7
2022-01-03,Nizamabad,Indalwai,0.0,15.1,30.1,54.3,99.9,0.0,6.2
2022-01-04,Nizamabad,Indalwai,0.0,16.9,28.5,45.9,99.9,0.0,3.9
2022-01-05,Nizamabad,Indalwai,0.0,18.2,30.4,42.2,99.9,0.0,5.4
2022-01-06,Nizamabad,Indalwai,0.0,16.8,32.1,47.7,99.9,0.0,3.9
2022-01-07,Nizamabad,Indalwai,0.0,16.8,30.8,33.7,99.9,0.0,5.7
2022-01-08,Nizamabad,Indalwai,0.0,19.9,29.9,40.2,99.9,0.0,8.5
2022-01-09,Nizamabad,Indalwai,0.0,20.4,29.9,65.3,99.9,0.0,8.8
2022-01-10,Nizamabad,Indalwai,13.3,20.3,30.7,51.0,99.9,0.0,8.4
2022-01-11,Nizamabad,Indalwai,4.3,19.6,27.9,88.0,99.9,0.0,6.5
2022-01-12,Nizamabad,Indalwai,1.0,19.4,27.1,94.4,99.9,0.0,7.0
2022-01-13,Nizamabad,Indalwai,0.0,20.0,25.5,93.0,99.9,0.0,7.1
2022-01-14,Nizamabad,Indalwai,29.3,19.8,28.1,80.0,99.9,0.0,8.7
2022-01-15,Nizamabad,Indalwai,0.0,19.7,28.6,47.6,99.9,0.0,4.1
2022-01-16,Nizamabad,Indalwai,0.0,17.7,27.6,84.2,99.9,0.0,7.5
2022-01-17,Nizamabad,Indalwai,0.0,17.0,25.7,75.5,99.9,0.0,4.3
2022-01-18,Nizamabad,Indalwai,0.0,17.7,28.8,73.0,99.9,0.0,5.9
2022-01-19,Nizamabad,Indalwai,0.0,16.1,30.0,63.0,99.9,0.0,2.4
2022-01-20,Nizamabad,Indalwai,0.0,14.2,28.3,51.5,99.9,0.0,7.0
2022-01-21,Nizamabad,Indalwai,0.0,16.6,30.7,42.9,99.9,0.0,5.4
2022-01-22,Nizamabad,Indalwai,0.0,17.9,30.5,44.7,99.9,0.0,7.4
2022-01-23,Nizamabad,Indalwai,0.0,18.9,32.2,40.1,99.9,0.0,3.9
2022-01-24,Nizamabad,Indalwai,0.0,18.3,28.9,52.4,99.9,0.0,5.4
2022-01-25,Nizamabad,Indalwai,0.0,17.7,25.5,60.2,99.9,0.0,5.3
2022-01-26,Nizamabad,Indalwai,0.0,13.5,27.8,49.0,99.9,0.0,5.9
2022-01-27,Nizamabad,Indalwai,0.0,14.1,27.4,49.3,99.9,0.0,6.0
2022-01-28,Nizamabad,Indalwai,0.0,11.8,27.9,51.1,99.9,0.0,7.3
2022-01-29,Nizamabad,Indalwai,0.0,11.7,27.3,36.5,99.9,0.0,5.7
2022-01-30,Nizamabad,Indalwai,0.0,10.4,26.6,29.7,99.9,0.0,7.6
2022-01-31,Nizamabad,Indalwai,0.0,12.2,30.5,29.7,99.9,0.0,7.1
2022-02-01,Nizamabad,Indalwai,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Indalwai,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Indalwai,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Indalwai,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Indalwai,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Indalwai,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Indalwai,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Indalwai,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Indalwai,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Indalwai,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Indalwai,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Indalwai,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Indalwai,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Indalwai,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Indalwai,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Indalwai,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Indalwai,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Indalwai,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Indalwai,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Indalwai,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Indalwai,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Indalwai,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Indalwai,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Indalwai,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Indalwai,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Indalwai,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Indalwai,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Indalwai,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Indalwai,0.0,20.4,33.8,31.4,96.2,0.0,13.9
2022-03-02,Nizamabad,Indalwai,0.0,20.5,34.8,26.4,88.6,0.0,6.2
2022-03-03,Nizamabad,Indalwai,0.0,19.2,34.7,27.6,76.0,0.0,2.8
2022-03-04,Nizamabad,Indalwai,0.0,20.0,35.1,26.1,99.9,0.0,1.6
2022-03-05,Nizamabad,Indalwai,0.0,21.1,34.4,37.6,91.9,0.0,5.4
2022-03-06,Nizamabad,Indalwai,0.0,19.7,32.4,42.1,76.1,0.0,10.0
2022-03-07,Nizamabad,Indalwai,0.0,21.3,33.2,32.3,99.9,0.0,6.8
2022-03-08,Nizamabad,Indalwai,0.0,20.9,32.6,42.6,99.9,0.0,12.7
2022-03-09,Nizamabad,Indalwai,0.0,19.5,34.0,38.7,99.9,0.0,3.4
2022-03-10,Nizamabad,Indalwai,0.0,20.1,33.7,32.8,73.5,0.0,2.1
2022-03-11,Nizamabad,Indalwai,0.0,20.0,33.9,39.4,89.7,0.0,4.9
2022-03-12,Nizamabad,Indalwai,5.0,20.0,34.7,46.9,95.9,0.0,4.9
2022-03-13,Nizamabad,Indalwai,0.0,19.6,32.2,43.0,100.0,0.0,7.8
2022-03-14,Nizamabad,Indalwai,0.0,17.1,34.1,29.2,100.0,0.0,4.8
2022-03-15,Nizamabad,Indalwai,0.0,16.5,33.4,18.3,77.5,0.0,0.2
2022-03-16,Nizamabad,Indalwai,0.0,18.3,35.8,13.6,73.8,0.0,0.1
2022-03-17,Nizamabad,Indalwai,0.0,18.3,36.1,17.6,69.4,0.0,1.1
2022-03-18,Nizamabad,Indalwai,0.0,18.5,38.6,10.4,68.7,0.0,0.1
2022-03-19,Nizamabad,Indalwai,0.0,21.1,36.4,22.4,99.0,0.0,3.9
2022-03-20,Nizamabad,Indalwai,0.0,23.7,36.0,39.6,87.3,0.0,15.2
2022-03-21,Nizamabad,Indalwai,0.0,21.8,35.4,37.0,92.8,0.0,7.6
2022-03-22,Nizamabad,Indalwai,0.0,22.0,35.0,34.0,97.9,0.0,5.9
2022-03-23,Nizamabad,Indalwai,0.0,21.2,35.4,38.7,79.5,0.0,7.0
2022-03-24,Nizamabad,Indalwai,0.0,22.8,36.2,18.5,100.0,0.0,7.2
2022-03-25,Nizamabad,Indalwai,0.0,24.0,34.9,35.0,100.0,0.0,9.1
