Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Kotgiri,0.0,17.7,27.6,66.5,91.3,0.0,2.5
2022-01-02,Nizamabad,Kotgiri,0.0,17.2,27.2,51.8,92.6,0.0,1.0
2022-01-03,Nizamabad,Kotgiri,0.0,15.5,28.3,41.8,93.0,0.0,8.8
2022-01-04,Nizamabad,Kotgiri,0.0,15.8,27.7,41.9,93.0,0.0,0.4
2022-01-05,Nizamabad,Kotgiri,0.0,15.4,27.9,41.2,92.5,0.0,0.1
2022-01-06,Nizamabad,Kotgiri,0.0,14.8,29.6,39.6,91.1,0.0,0.3
2022-01-07,Nizamabad,Kotgiri,0.0,16.6,29.1,23.8,92.1,0.0,6.3
2022-01-08,Nizamabad,Kotgiri,0.0,19.7,29.7,31.0,91.5,0.0,2.7
2022-01-09,Nizamabad,Kotgiri,0.0,20.4,27.8,50.6,92.0,0.0,6.0
2022-01-10,Nizamabad,Kotgiri,1.7,18.2,30.5,43.9,90.9,0.0,9.2
2022-01-11,Nizamabad,Kotgiri,0.0,19.5,29.6,60.3,92.3,0.0,0.6
2022-01-12,Nizamabad,Kotgiri,0.0,19.9,29.4,83.5,92.3,0.0,0.6
2022-01-13,Nizamabad,Kotgiri,0.0,17.7,27.6,81.6,91.4,0.0,3.0
2022-01-14,Nizamabad,Kotgiri,0.0,18.6,28.1,71.8,92.1,0.0,1.0
2022-01-15,Nizamabad,Kotgiri,0.0,18.9,29.5,41.3,91.7,0.0,4.0
2022-01-16,Nizamabad,Kotgiri,0.0,17.8,27.6,8.5,91.9,0.0,1.6
2022-01-17,Nizamabad,Kotgiri,0.0,18.3,28.0,67.5,93.1,0.0,0.3
2022-01-18,Nizamabad,Kotgiri,0.0,17.6,27.5,52.8,93.1,0.0,1.0
2022-01-19,Nizamabad,Kotgiri,0.0,17.4,27.5,45.2,92.9,0.0,2.3
2022-01-20,Nizamabad,Kotgiri,0.0,15.1,27.4,33.4,93.1,0.0,0.3
2022-01-21,Nizamabad,Kotgiri,0.0,15.2,29.3,26.6,92.1,0.0,0.4
2022-01-22,Nizamabad,Kotgiri,0.0,14.8,29.5,33.7,91.1,0.0,11.7
2022-01-23,Nizamabad,Kotgiri,0.0,18.9,31.2,23.2,90.0,0.0,8.7
2022-01-24,Nizamabad,Kotgiri,0.0,17.2,28.4,39.5,82.9,0.0,9.9
2022-01-25,Nizamabad,Kotgiri,0.0,14.1,23.4,45.6,87.5,0.0,0.3
2022-01-26,Nizamabad,Kotgiri,0.0,14.8,25.0,37.4,87.1,0.0,0.6
2022-01-27,Nizamabad,Kotgiri,0.0,12.7,25.1,30.0,88.6,0.0,1.1
2022-01-28,Nizamabad,Kotgiri,0.0,11.7,25.1,29.1,88.2,0.0,0.6
2022-01-29,Nizamabad,Kotgiri,0.0,10.2,25.1,16.5,90.2,0.0,2.0
2022-01-30,Nizamabad,Kotgiri,0.0,11.2,25.8,35.5,92.5,0.0,0.2
2022-01-31,Nizamabad,Kotgiri,0.0,13.8,30.0,28.1,92.2,0.0,0.6
2022-02-01,Nizamabad,Kotgiri,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Kotgiri,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Kotgiri,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Kotgiri,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Kotgiri,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Kotgiri,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Kotgiri,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Kotgiri,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Kotgiri,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Kotgiri,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Kotgiri,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Kotgiri,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Kotgiri,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Kotgiri,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Kotgiri,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Kotgiri,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Kotgiri,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Kotgiri,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Kotgiri,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Kotgiri,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Kotgiri,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Kotgiri,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Kotgiri,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Kotgiri,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Kotgiri,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Kotgiri,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Kotgiri,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Kotgiri,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Kotgiri,0.0,20.9,33.1,12.6,77.7,0.0,0.3
2022-03-02,Nizamabad,Kotgiri,0.0,20.3,32.8,26.2,72.7,0.0,0.2
2022-03-03,Nizamabad,Kotgiri,0.0,20.8,33.1,26.2,78.4,0.0,0.3
2022-03-04,Nizamabad,Kotgiri,0.0,19.3,32.2,37.6,75.8,0.0,5.8
2022-03-05,Nizamabad,Kotgiri,0.0,22.7,33.0,34.4,82.7,0.0,9.0
2022-03-06,Nizamabad,Kotgiri,0.0,21.8,33.1,25.0,61.6,0.0,8.8
2022-03-07,Nizamabad,Kotgiri,0.0,21.2,32.7,21.1,87.7,0.0,2.2
2022-03-08,Nizamabad,Kotgiri,0.0,20.1,32.4,39.8,92.0,0.0,1.5
2022-03-09,Nizamabad,Kotgiri,0.0,19.6,32.9,39.9,85.7,0.0,0.7
2022-03-10,Nizamabad,Kotgiri,0.0,21.2,33.0,36.4,55.5,0.0,10.0
2022-03-11,Nizamabad,Kotgiri,0.0,22.5,32.9,16.6,92.3,0.0,0.2
2022-03-12,Nizamabad,Kotgiri,0.0,23.9,32.5,22.2,80.8,0.0,1.3
2022-03-13,Nizamabad,Kotgiri,0.0,20.0,32.4,36.9,74.7,0.0,1.2
2022-03-14,Nizamabad,Kotgiri,0.0,20.3,33.5,27.5,87.2,0.0,2.0
2022-03-15,Nizamabad,Kotgiri,0.0,18.2,35.4,20.3,76.8,0.0,0.7
2022-03-16,Nizamabad,Kotgiri,0.0,21.6,36.4,6.5,63.7,0.0,7.2
2022-03-17,Nizamabad,Kotgiri,0.0,21.8,37.1,10.1,57.3,0.0,8.5
2022-03-18,Nizamabad,Kotgiri,0.0,18.7,37.9,17.0,62.3,0.0,8.3
2022-03-19,Nizamabad,Kotgiri,0.0,23.7,37.5,22.9,80.2,0.0,2.8
2022-03-20,Nizamabad,Kotgiri,0.0,24.2,34.6,39.2,77.6,0.0,0.6
2022-03-21,Nizamabad,Kotgiri,0.0,25.5,33.9,35.6,72.1,0.0,0.1
2022-03-22,Nizamabad,Kotgiri,0.0,24.9,34.9,26.8,65.7,0.0,1.0
2022-03-23,Nizamabad,Kotgiri,0.0,22.4,35.5,30.2,73.1,0.0,9.7
2022-03-24,Nizamabad,Kotgiri,0.0,23.1,36.4,11.6,81.2,0.0,1.0
2022-03-25,Nizamabad,Kotgiri,0.0,23.6,37.0,32.6,80.6,0.0,6.5
2022-03-26,Nizamabad,Kotgiri,0.0,25.0,37.0,32.8,69.8,0.0,10.7
2022-03-27,Nizamabad,Kotgiri,0.0,23.1,36.6,35.2,80.4,0.0,5.3
2022-03-28,Nizamabad,Kotgiri,0.0,20.8,36.9,14.6,68.5,0.0,1.4
2022-03-29,Nizamabad,Kotgiri,0.0,20.8,38.4,9.2,60.0,0.0,3.4
2022-03-30,Nizamabad,Kotgiri,0.0,21.8,39.1,21.7,55.0,0.0,1.4
2022-03-31,Nizamabad,Kotgiri,0.0,22.2,39.1,16.8,50.5,0.0,1.9
2022-04-01,Nizamabad,Kotgiri,0.0,21.4,39.8,14.8,83.6,0.0,7.2
2022-04-02,Nizamabad,Kotgiri,0.0,21.7,39.0,15.5,85.6,0.0,3.6
2022-04-03,Nizamabad,Kotgiri,0.0,22.2,37.7,24.3,76.3,0.0,8.0
2022-04-04,Nizamabad,Kotgiri,0.0,24.5,37.2,20.6,67.3,0.0,4.3
2022-04-05,Nizamabad,Kotgiri,0.0,25.7,38.7,24.0,64.9,0.0,2.8
2022-04-06,Nizamabad,Kotgiri,0.0,23.8,38.6,14.0,64.7,0.0,5.0
2022-04-07,Nizamabad,Kotgiri,0.0,26.4,39.6,30.6,54.3,0.0,0.3
2022-04-08,Nizamabad,Kotgiri,0.0,23.9,39.5,26.6,55.4,0.0,8.0
2022-04-09,Nizamabad,Kotgiri,0.0,24.6,37.4,28.2,61.0,0.9,10.8
2022-04-10,Nizamabad,Kotgiri,0.0,27.0,37.6,34.9,66.0,0.0,9.0
2022-04-11,Nizamabad,Kotgiri,0.0,27.4,38.4,29.9,55.0,0.0,6.1
2022-04-12,Nizamabad,Kotgiri,0.0,27.0,39.0,27.7,55.2,0.0,2.7
2022-04-13,Nizamabad,Kotgiri,0.0,27.0,39.9,26.6,55.2,0.0,4.0
2022-04-14,Nizamabad,Kotgiri,0.0,28.0,38.8,29.8,55.1,0.0,8.2
2022-04-15,Nizamabad,Kotgiri,0.0,28.1,38.8,30.0,51.2,0.0,2.6
2022-04-16,Nizamabad,Kotgiri,0.0,25.9,39.0,22.7,55.7,0.0,6.2
2022-04-17,Nizamabad,Kotgiri,0.0,25.7,38.9,19.4,55.2,0.0,4.4
