Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Mosra,0.0,18.2,26.1,65.5,88.2,0.1,3.0
2022-01-02,Nizamabad,Mosra,0.0,17.8,27.6,61.2,87.5,0.0,1.1
2022-01-03,Nizamabad,Mosra,0.0,18.4,27.6,59.6,89.4,0.0,54.6
2022-01-04,Nizamabad,Mosra,0.0,15.3,27.6,48.1,89.1,0.0,25.4
2022-01-05,Nizamabad,Mosra,0.0,15.7,28.3,43.6,89.1,0.0,1.6
2022-01-06,Nizamabad,Mosra,0.0,16.0,28.9,52.2,89.4,0.0,0.4
2022-01-07,Nizamabad,Mosra,0.0,17.3,28.6,43.8,88.1,0.0,2.4
2022-01-08,Nizamabad,Mosra,0.0,20.0,30.7,38.2,79.8,0.0,1.1
2022-01-09,Nizamabad,Mosra,0.0,21.0,30.3,52.7,80.9,0.0,0.9
2022-01-10,Nizamabad,Mosra,24.8,18.7,29.3,51.4,91.4,0.0,5.7
2022-01-11,Nizamabad,Mosra,0.0,19.4,27.7,59.7,89.9,0.0,4.8
2022-01-12,Nizamabad,Mosra,0.0,19.4,25.1,73.7,89.7,0.0,5.7
2022-01-13,Nizamabad,Mosra,0.0,18.0,24.8,71.7,89.2,0.0,6.2
2022-01-14,Nizamabad,Mosra,1.0,17.7,27.0,61.4,92.0,0.0,63.9
2022-01-15,Nizamabad,Mosra,0.0,19.4,29.6,45.0,90.2,0.0,59.1
2022-01-16,Nizamabad,Mosra,0.0,17.4,25.4,65.9,90.1,0.0,1.5
2022-01-17,Nizamabad,Mosra,0.0,17.5,26.2,62.6,91.6,0.0,0.9
2022-01-18,Nizamabad,Mosra,0.0,16.1,27.5,57.9,91.3,0.0,65.1
2022-01-19,Nizamabad,Mosra,0.0,16.0,27.8,52.1,91.0,0.0,11.2
2022-01-20,Nizamabad,Mosra,0.0,14.6,27.3,50.2,89.1,0.0,19.0
2022-01-21,Nizamabad,Mosra,0.0,16.1,29.9,37.8,85.7,0.0,0.8
2022-01-22,Nizamabad,Mosra,0.0,14.9,29.1,46.2,81.4,0.0,7.0
2022-01-23,Nizamabad,Mosra,0.0,17.9,32.0,38.9,79.0,0.0,18.7
2022-01-24,Nizamabad,Mosra,0.0,14.8,28.5,52.7,82.6,0.0,1.5
2022-01-25,Nizamabad,Mosra,0.0,14.5,23.3,53.4,86.8,0.0,27.0
2022-01-26,Nizamabad,Mosra,0.0,14.0,25.8,49.2,85.1,0.0,0.8
2022-01-27,Nizamabad,Mosra,0.0,14.8,25.2,49.7,78.7,0.0,0.8
2022-01-28,Nizamabad,Mosra,0.0,11.9,25.5,46.6,85.0,0.0,1.0
2022-01-29,Nizamabad,Mosra,0.0,11.2,25.4,38.1,78.7,0.0,1.4
2022-01-30,Nizamabad,Mosra,0.0,10.0,26.1,34.9,84.2,0.0,1.4
2022-01-31,Nizamabad,Mosra,0.0,12.7,29.2,34.9,82.3,0.0,0.4
2022-02-01,Nizamabad,Mosra,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Mosra,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Mosra,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Mosra,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Mosra,0.0,6.0,34.5,8.4,100.0,0.0,65.1
