Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Mupkal,0.0,16.5,29.2,57.6,98.4,0.0,5.9
2022-01-02,Nizamabad,Mupkal,0.0,16.1,31.3,48.0,93.7,0.0,7.0
2022-01-03,Nizamabad,Mupkal,0.0,16.3,30.2,42.1,92.7,0.0,9.0
2022-01-04,Nizamabad,Mupkal,0.0,16.5,29.7,43.1,95.6,0.0,5.3
2022-01-05,Nizamabad,Mupkal,0.0,15.2,30.6,38.6,95.1,0.0,6.6
2022-01-06,Nizamabad,Mupkal,0.0,16.5,31.7,44.9,97.9,0.0,4.6
2022-01-07,Nizamabad,Mupkal,0.0,15.7,31.6,37.2,95.1,0.0,8.8
2022-01-08,Nizamabad,Mupkal,0.0,16.8,30.1,38.3,96.5,0.0,14.9
2022-01-09,Nizamabad,Mupkal,0.0,18.6,30.0,55.5,96.4,0.0,7.7
2022-01-10,Nizamabad,Mupkal,5.2,19.9,32.4,49.6,97.3,0.0,12.1
2022-01-11,Nizamabad,Mupkal,4.2,19.4,29.2,64.5,99.5,0.0,6.2
2022-01-12,Nizamabad,Mupkal,0.0,19.0,26.4,74.1,99.1,0.0,5.3
2022-01-13,Nizamabad,Mupkal,0.0,17.0,26.5,70.5,98.4,0.0,4.0
2022-01-14,Nizamabad,Mupkal,1.8,19.4,27.7,63.7,99.2,0.0,9.0
2022-01-15,Nizamabad,Mupkal,0.0,18.2,29.9,57.6,99.5,0.0,10.5
2022-01-16,Nizamabad,Mupkal,0.0,15.9,27.8,61.2,99.4,0.0,5.7
2022-01-17,Nizamabad,Mupkal,0.0,16.7,27.9,62.2,99.7,0.0,8.4
2022-01-18,Nizamabad,Mupkal,0.0,16.5,29.6,49.3,98.9,0.0,10.8
2022-01-19,Nizamabad,Mupkal,0.0,16.2,30.0,43.3,99.7,0.0,4.1
