Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Nizamabad_North,0.0,15.9,30.7,58.2,99.3,0.0,6.1
2022-01-02,Nizamabad,Nizamabad_North,0.0,15.9,32.2,50.6,99.9,0.0,3.6
2022-01-03,Nizamabad,Nizamabad_North,0.0,14.7,32.3,41.2,97.2,0.0,4.1
2022-01-04,Nizamabad,Nizamabad_North,0.0,15.5,30.3,40.4,98.0,0.0,3.8
2022-01-05,Nizamabad,Nizamabad_North,0.0,14.6,32.7,36.5,98.0,0.0,4.3
2022-01-06,Nizamabad,Nizamabad_North,0.0,15.4,32.2,41.6,95.5,0.0,3.5
2022-01-07,Nizamabad,Nizamabad_North,0.0,18.9,32.3,39.2,96.8,0.0,4.5
2022-01-08,Nizamabad,Nizamabad_North,0.0,19.9,32.4,42.9,92.9,0.0,7.6
2022-01-09,Nizamabad,Nizamabad_North,0.0,20.2,30.5,57.8,95.8,0.0,6.2
2022-01-10,Nizamabad,Nizamabad_North,13.2,19.9,32.7,55.0,99.3,0.0,9.9
2022-01-11,Nizamabad,Nizamabad_North,0.0,20.2,28.5,54.5,99.0,0.0,7.4
2022-01-12,Nizamabad,Nizamabad_North,0.0,19.9,28.6,50.8,99.3,0.0,6.0
2022-01-13,Nizamabad,Nizamabad_North,1.7,17.8,29.9,48.3,98.1,0.0,9.2
2022-01-14,Nizamabad,Nizamabad_North,22.4,18.0,28.6,66.8,98.7,0.0,13.5
2022-01-15,Nizamabad,Nizamabad_North,0.0,19.4,30.6,43.3,94.9,0.0,12.1
2022-01-16,Nizamabad,Nizamabad_North,0.0,17.2,27.1,66.6,97.9,0.0,8.4
2022-01-17,Nizamabad,Nizamabad_North,0.0,16.8,28.2,65.2,98.0,0.0,7.8
2022-01-18,Nizamabad,Nizamabad_North,0.0,16.0,30.1,53.5,99.2,0.0,7.1
2022-01-19,Nizamabad,Nizamabad_North,0.0,17.7,32.3,36.0,97.0,0.0,23.2
2022-01-20,Nizamabad,Nizamabad_North,0.0,15.9,29.2,27.2,98.5,0.0,6.3
2022-01-21,Nizamabad,Nizamabad_North,0.0,17.0,34.3,28.0,89.5,0.0,6.0
2022-01-22,Nizamabad,Nizamabad_North,0.0,16.3,32.9,29.8,90.1,0.0,9.3
2022-01-23,Nizamabad,Nizamabad_North,0.0,18.5,32.4,28.2,82.8,0.0,43.9
2022-01-24,Nizamabad,Nizamabad_North,0.0,16.4,32.2,38.8,83.7,0.0,23.7
2022-01-25,Nizamabad,Nizamabad_North,0.0,14.3,28.1,38.3,89.9,0.0,9.8
2022-01-26,Nizamabad,Nizamabad_North,0.0,13.9,30.3,37.7,81.8,0.0,4.8
2022-01-27,Nizamabad,Nizamabad_North,0.0,17.0,30.1,37.5,89.0,0.0,14.0
2022-01-28,Nizamabad,Nizamabad_North,0.0,12.6,27.7,39.8,76.3,0.0,4.6
2022-01-29,Nizamabad,Nizamabad_North,0.0,12.0,30.5,26.7,93.7,0.0,7.7
2022-01-30,Nizamabad,Nizamabad_North,0.0,11.9,28.6,21.2,90.4,0.0,5.9
2022-01-31,Nizamabad,Nizamabad_North,0.0,12.1,30.5,21.7,96.4,0.0,5.1
