Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Nizamabad_South,0.0,17.4,30.2,61.9,99.9,0.0,7.1
2022-01-02,Nizamabad,Nizamabad_South,0.0,17.0,32.2,46.5,99.9,0.0,6.3
2022-01-03,Nizamabad,Nizamabad_South,0.0,18.2,30.4,39.1,99.9,0.0,6.3
2022-01-04,Nizamabad,Nizamabad_South,0.0,17.9,30.7,39.1,99.9,0.0,5.2
2022-01-05,Nizamabad,Nizamabad_South,0.0,16.6,30.8,38.8,99.9,0.0,7.9
2022-01-06,Nizamabad,Nizamabad_South,0.0,19.3,30.2,46.5,99.9,0.0,4.6
2022-01-07,Nizamabad,Nizamabad_South,0.0,19.0,31.1,30.5,99.9,0.0,6.4
2022-01-08,Nizamabad,Nizamabad_South,0.0,20.2,32.2,31.4,95.7,0.0,7.5
2022-01-09,Nizamabad,Nizamabad_South,0.0,21.4,29.9,58.7,96.2,0.0,7.0
2022-01-10,Nizamabad,Nizamabad_South,25.9,19.6,32.2,46.8,99.9,0.0,5.3
2022-01-11,Nizamabad,Nizamabad_South,0.5,20.0,30.7,66.0,99.9,0.0,7.7
2022-01-12,Nizamabad,Nizamabad_South,0.0,19.7,28.2,74.6,99.9,0.1,8.4
2022-01-13,Nizamabad,Nizamabad_South,0.0,19.2,25.5,78.6,99.9,0.0,7.5
2022-01-14,Nizamabad,Nizamabad_South,30.9,19.3,29.7,76.4,99.9,0.0,8.1
2022-01-15,Nizamabad,Nizamabad_South,0.0,19.4,32.3,42.7,99.9,0.0,5.8
2022-01-16,Nizamabad,Nizamabad_South,0.0,17.1,27.9,70.3,99.9,0.0,9.3
2022-01-17,Nizamabad,Nizamabad_South,0.0,18.3,27.6,71.8,99.9,0.0,8.8
2022-01-18,Nizamabad,Nizamabad_South,0.0,16.4,28.8,47.1,99.9,0.0,7.4
2022-01-19,Nizamabad,Nizamabad_South,0.0,18.8,30.1,46.5,99.9,0.0,4.2
