Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Geesugonda,0.0,16.5,29.6,43.3,100.0,0.0,8.3
2022-01-02,Warangal,Geesugonda,0.0,16.6,31.0,42.7,100.0,0.0,5.9
2022-01-03,Warangal,Geesugonda,0.0,13.9,30.7,32.2,100.0,0.0,8.5
2022-01-04,Warangal,Geesugonda,0.0,14.4,30.3,36.5,100.0,0.0,6.4
2022-01-05,Warangal,Geesugonda,0.0,16.6,31.2,36.5,100.0,0.0,5.7
2022-01-06,Warangal,Geesugonda,0.0,15.5,31.3,38.8,100.0,0.0,8.4
2022-01-07,Warangal,Geesugonda,0.0,16.7,31.3,33.6,100.0,0.0,10.0
2022-01-08,Warangal,Geesugonda,0.0,18.7,30.2,37.6,100.0,0.0,12.7
2022-01-09,Warangal,Geesugonda,0.0,18.9,30.3,42.7,100.0,0.0,12.1
2022-01-10,Warangal,Geesugonda,0.0,19.8,29.3,48.9,100.0,1.0,12.9
2022-01-11,Warangal,Geesugonda,19.3,19.7,29.4,50.1,100.0,0.4,10.4
2022-01-12,Warangal,Geesugonda,45.5,18.8,29.9,53.2,100.0,0.0,12.3
2022-01-13,Warangal,Geesugonda,11.1,19.9,26.7,81.2,100.0,0.0,5.2
2022-01-14,Warangal,Geesugonda,2.3,19.7,26.3,74.2,99.8,0.0,6.2
2022-01-15,Warangal,Geesugonda,0.0,18.8,29.5,64.0,100.0,0.0,7.7
2022-01-16,Warangal,Geesugonda,0.3,18.1,28.6,66.3,100.0,1.0,7.6
2022-01-17,Warangal,Geesugonda,0.2,18.1,25.0,82.1,100.0,0.0,6.4
2022-01-18,Warangal,Geesugonda,0.0,16.8,28.3,57.2,100.0,0.0,9.0
2022-01-19,Warangal,Geesugonda,0.0,15.3,30.3,38.2,100.0,0.0,8.7
2022-01-20,Warangal,Geesugonda,0.0,14.8,29.9,41.8,100.0,0.0,8.4
2022-01-21,Warangal,Geesugonda,0.0,17.6,32.5,24.2,100.0,0.0,5.1
2022-01-22,Warangal,Geesugonda,0.0,15.3,30.4,34.8,100.0,0.0,15.3
2022-01-23,Warangal,Geesugonda,0.0,19.8,31.9,35.1,100.0,0.5,8.9
2022-01-24,Warangal,Geesugonda,0.0,16.5,30.4,39.3,100.0,0.0,16.8
2022-01-25,Warangal,Geesugonda,0.0,16.1,27.7,37.3,82.2,0.2,15.3
2022-01-26,Warangal,Geesugonda,0.0,15.3,29.0,34.5,90.0,0.0,11.8
2022-01-27,Warangal,Geesugonda,0.0,15.2,30.1,35.4,80.9,0.3,11.4
2022-01-28,Warangal,Geesugonda,0.0,11.5,26.7,30.6,100.0,0.0,9.8
2022-01-29,Warangal,Geesugonda,0.0,10.7,27.1,19.2,80.3,0.0,11.6
2022-01-30,Warangal,Geesugonda,0.0,10.4,29.3,19.9,89.5,0.0,6.5
2022-01-31,Warangal,Geesugonda,0.0,10.3,30.5,16.8,100.0,0.0,10.2
2022-02-01,Warangal,Geesugonda,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Geesugonda,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Geesugonda,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Geesugonda,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Geesugonda,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Geesugonda,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Geesugonda,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Geesugonda,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Warangal,Geesugonda,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Warangal,Geesugonda,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Warangal,Geesugonda,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Warangal,Geesugonda,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Warangal,Geesugonda,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Warangal,Geesugonda,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Warangal,Geesugonda,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Warangal,Geesugonda,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Warangal,Geesugonda,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Warangal,Geesugonda,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Warangal,Geesugonda,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Warangal,Geesugonda,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Warangal,Geesugonda,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Warangal,Geesugonda,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Warangal,Geesugonda,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Warangal,Geesugonda,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Warangal,Geesugonda,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Warangal,Geesugonda,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Warangal,Geesugonda,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Warangal,Geesugonda,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Warangal,Geesugonda,0.0,17.5,34.7,15.2,100.0,0.0,10.9
2022-03-02,Warangal,Geesugonda,0.0,18.9,36.2,16.0,100.0,0.0,9.8
2022-03-03,Warangal,Geesugonda,0.0,19.5,35.6,16.5,100.0,0.0,10.3
2022-03-04,Warangal,Geesugonda,0.0,18.1,34.5,29.1,100.0,0.0,11.4
